SYS,seg_id,set_id,metric,score
WMTBiomedBaseline.388,independent.281139::1,0,TER,-84.0
WMTBiomedBaseline.388,independent.281139::2,1,TER,-64.28571428571429
WMTBiomedBaseline.388,independent.281139::3,2,TER,-57.02479338842975
WMTBiomedBaseline.388,independent.281139::4,3,TER,-71.83098591549295
WMTBiomedBaseline.388,independent.281139::5,4,TER,-53.84615384615385
WMTBiomedBaseline.388,independent.281139::6,5,TER,-63.888888888888886
WMTBiomedBaseline.388,independent.281139::7,6,TER,-81.81818181818183
WMTBiomedBaseline.388,independent.281139::8,7,TER,-47.19101123595505
WMTBiomedBaseline.388,independent.281139::9,8,TER,-66.66666666666666
WMTBiomedBaseline.388,independent.281139::10,9,TER,-40.909090909090914
WMTBiomedBaseline.388,independent.281139::11,10,TER,-61.904761904761905
WMTBiomedBaseline.388,independent.281139::12,11,TER,-50.0
WMTBiomedBaseline.388,independent.281139::13,12,TER,-68.18181818181817
WMTBiomedBaseline.388,en.ndtv.com.13152::1,13,TER,-65.625
WMTBiomedBaseline.388,en.ndtv.com.13152::2,14,TER,-200.0
WMTBiomedBaseline.388,en.ndtv.com.13152::3,15,TER,-52.0
WMTBiomedBaseline.388,en.ndtv.com.13152::4,16,TER,-63.1578947368421
WMTBiomedBaseline.388,en.ndtv.com.13152::5,17,TER,-41.66666666666667
WMTBiomedBaseline.388,en.ndtv.com.13152::6,18,TER,-65.42553191489363
WMTBiomedBaseline.388,en.ndtv.com.13152::7,19,TER,-34.61538461538461
WMTBiomedBaseline.388,en.ndtv.com.13152::8,20,TER,-73.61963190184049
WMTBiomedBaseline.388,en.ndtv.com.13152::9,21,TER,-57.6923076923077
WMTBiomedBaseline.388,en.ndtv.com.13152::10,22,TER,-46.875
WMTBiomedBaseline.388,en.ndtv.com.13152::11,23,TER,-70.4225352112676
WMTBiomedBaseline.388,cnn.385674::1,24,TER,-7.3170731707317085
WMTBiomedBaseline.388,cnn.385674::2,25,TER,-42.1875
WMTBiomedBaseline.388,cnn.385674::3,26,TER,-49.58677685950413
WMTBiomedBaseline.388,cnn.385674::4,27,TER,-81.08108108108108
WMTBiomedBaseline.388,cnn.385674::5,28,TER,-55.86206896551724
WMTBiomedBaseline.388,cnn.385674::6,29,TER,-54.54545454545454
WMTBiomedBaseline.388,cnn.385674::7,30,TER,-42.30769230769231
WMTBiomedBaseline.388,cnn.385674::8,31,TER,-55.26315789473685
WMTBiomedBaseline.388,cnn.385674::9,32,TER,-56.25
WMTBiomedBaseline.388,cnn.385674::10,33,TER,-67.64705882352942
WMTBiomedBaseline.388,seattle_times.7755::1,34,TER,-40.0
WMTBiomedBaseline.388,seattle_times.7755::2,35,TER,-70.96774193548387
WMTBiomedBaseline.388,seattle_times.7755::3,36,TER,-40.44943820224719
WMTBiomedBaseline.388,seattle_times.7755::4,37,TER,-39.62264150943396
WMTBiomedBaseline.388,seattle_times.7755::5,38,TER,-71.25
WMTBiomedBaseline.388,seattle_times.7755::6,39,TER,-55.434782608695656
WMTBiomedBaseline.388,reuters.276709::1,40,TER,-32.43243243243243
WMTBiomedBaseline.388,reuters.276709::2,41,TER,-51.92307692307693
WMTBiomedBaseline.388,reuters.276709::3,42,TER,-34.42622950819672
WMTBiomedBaseline.388,reuters.276709::4,43,TER,-29.508196721311474
WMTBiomedBaseline.388,reuters.276709::5,44,TER,-41.86046511627907
WMTBiomedBaseline.388,reuters.276709::6,45,TER,-44.03669724770642
WMTBiomedBaseline.388,reuters.276709::7,46,TER,-16.901408450704224
WMTBiomedBaseline.388,reuters.276709::8,47,TER,-45.51724137931034
WMTBiomedBaseline.388,reuters.276709::9,48,TER,-43.333333333333336
WMTBiomedBaseline.388,reuters.276709::10,49,TER,-47.61904761904761
WMTBiomedBaseline.388,reuters.276709::11,50,TER,-82.56880733944953
WMTBiomedBaseline.388,reuters.276709::12,51,TER,-46.308724832214764
WMTBiomedBaseline.388,reuters.276709::13,52,TER,-24.545454545454547
WMTBiomedBaseline.388,rt.com.113906::1,53,TER,-38.88888888888889
WMTBiomedBaseline.388,rt.com.113906::2,54,TER,-31.428571428571427
WMTBiomedBaseline.388,rt.com.113906::3,55,TER,-25.263157894736842
WMTBiomedBaseline.388,rt.com.113906::4,56,TER,-48.21428571428571
WMTBiomedBaseline.388,rt.com.113906::5,57,TER,-82.89473684210526
WMTBiomedBaseline.388,rt.com.113906::6,58,TER,-49.09090909090909
WMTBiomedBaseline.388,rt.com.113906::7,59,TER,-31.843575418994412
WMTBiomedBaseline.388,stv.tv.21636::1,60,TER,-65.21739130434783
WMTBiomedBaseline.388,stv.tv.21636::2,61,TER,-61.764705882352935
WMTBiomedBaseline.388,stv.tv.21636::3,62,TER,-40.0
WMTBiomedBaseline.388,stv.tv.21636::4,63,TER,-57.14285714285714
WMTBiomedBaseline.388,stv.tv.21636::5,64,TER,-41.17647058823529
WMTBiomedBaseline.388,stv.tv.21636::6,65,TER,-61.01694915254237
WMTBiomedBaseline.388,stv.tv.21636::7,66,TER,-60.57692307692308
WMTBiomedBaseline.388,stv.tv.21636::8,67,TER,-36.36363636363637
WMTBiomedBaseline.388,stv.tv.21636::9,68,TER,-46.15384615384615
WMTBiomedBaseline.388,stv.tv.21636::10,69,TER,-38.70967741935484
WMTBiomedBaseline.388,stv.tv.21636::11,70,TER,-68.31683168316832
WMTBiomedBaseline.388,stv.tv.21636::12,71,TER,-49.31506849315069
WMTBiomedBaseline.388,stv.tv.21636::13,72,TER,-64.28571428571429
WMTBiomedBaseline.388,stv.tv.21636::14,73,TER,-55.38461538461538
WMTBiomedBaseline.388,stv.tv.21636::15,74,TER,-64.58333333333334
WMTBiomedBaseline.388,stv.tv.21636::16,75,TER,-45.762711864406775
WMTBiomedBaseline.388,stv.tv.21636::17,76,TER,-62.96296296296296
WMTBiomedBaseline.388,en.ndtv.com.12997::1,77,TER,-103.125
WMTBiomedBaseline.388,en.ndtv.com.12997::2,78,TER,-64.28571428571429
WMTBiomedBaseline.388,en.ndtv.com.12997::3,79,TER,-45.45454545454545
WMTBiomedBaseline.388,en.ndtv.com.12997::4,80,TER,-65.93406593406593
WMTBiomedBaseline.388,en.ndtv.com.12997::5,81,TER,-52.38095238095239
WMTBiomedBaseline.388,en.ndtv.com.12997::6,82,TER,-25.352112676056336
WMTBiomedBaseline.388,en.ndtv.com.12997::7,83,TER,-51.42857142857144
WMTBiomedBaseline.388,en.ndtv.com.12997::8,84,TER,-45.0
WMTBiomedBaseline.388,en.ndtv.com.12997::9,85,TER,-48.11320754716981
WMTBiomedBaseline.388,en.ndtv.com.12997::10,86,TER,-79.24528301886792
WMTBiomedBaseline.388,en.ndtv.com.12997::11,87,TER,-62.727272727272734
WMTBiomedBaseline.388,en.ndtv.com.12997::12,88,TER,-48.148148148148145
WMTBiomedBaseline.388,en.ndtv.com.12997::13,89,TER,-28.915662650602407
WMTBiomedBaseline.388,en.ndtv.com.12997::14,90,TER,-43.47826086956522
WMTBiomedBaseline.388,en.ndtv.com.12997::15,91,TER,-58.4070796460177
WMTBiomedBaseline.388,en.ndtv.com.12997::16,92,TER,-27.906976744186046
WMTBiomedBaseline.388,en.ndtv.com.12997::17,93,TER,-50.56179775280899
WMTBiomedBaseline.388,en.ndtv.com.12997::18,94,TER,-51.724137931034484
WMTBiomedBaseline.388,en.ndtv.com.12997::19,95,TER,-77.31958762886597
WMTBiomedBaseline.388,en.ndtv.com.12997::20,96,TER,-61.64383561643836
WMTBiomedBaseline.388,en.ndtv.com.12997::21,97,TER,-65.85365853658537
WMTBiomedBaseline.388,en.ndtv.com.12997::22,98,TER,-43.373493975903614
WMTBiomedBaseline.388,en.ndtv.com.12997::23,99,TER,-63.52941176470589
WMTBiomedBaseline.388,en.ndtv.com.12997::24,100,TER,-58.620689655172406
WMTBiomedBaseline.388,rte.en.ie.5333::1,101,TER,-78.26086956521738
WMTBiomedBaseline.388,rte.en.ie.5333::2,102,TER,-65.21739130434783
WMTBiomedBaseline.388,rte.en.ie.5333::3,103,TER,-69.82758620689656
WMTBiomedBaseline.388,rte.en.ie.5333::4,104,TER,-36.734693877551024
WMTBiomedBaseline.388,rte.en.ie.5333::5,105,TER,-48.00000000000001
WMTBiomedBaseline.388,rte.en.ie.5333::6,106,TER,-53.93258426966292
WMTBiomedBaseline.388,rte.en.ie.5333::7,107,TER,-85.71428571428572
WMTBiomedBaseline.388,rte.en.ie.5333::8,108,TER,-57.53424657534247
WMTBiomedBaseline.388,rte.en.ie.5333::9,109,TER,-10.169491525423728
WMTBiomedBaseline.388,rte.en.ie.5333::10,110,TER,-80.48780487804879
WMTBiomedBaseline.388,rte.en.ie.5333::11,111,TER,-54.83870967741935
WMTBiomedBaseline.388,rte.en.ie.5333::12,112,TER,-77.41935483870968
WMTBiomedBaseline.388,rte.en.ie.5333::13,113,TER,-55.81395348837209
WMTBiomedBaseline.388,upi.205660::1,114,TER,-40.54054054054054
WMTBiomedBaseline.388,upi.205660::2,115,TER,-70.0
WMTBiomedBaseline.388,upi.205660::3,116,TER,-66.66666666666666
WMTBiomedBaseline.388,upi.205660::4,117,TER,-57.35294117647059
WMTBiomedBaseline.388,upi.205660::5,118,TER,-48.9795918367347
WMTBiomedBaseline.388,upi.205660::6,119,TER,-45.205479452054796
WMTBiomedBaseline.388,upi.205660::7,120,TER,-48.9795918367347
WMTBiomedBaseline.388,upi.205660::8,121,TER,-68.64406779661016
WMTBiomedBaseline.388,cnbc.com.33889::1,122,TER,-40.909090909090914
WMTBiomedBaseline.388,cnbc.com.33889::2,123,TER,-47.368421052631575
WMTBiomedBaseline.388,cnbc.com.33889::3,124,TER,-57.14285714285714
WMTBiomedBaseline.388,cnbc.com.33889::4,125,TER,-58.59375
WMTBiomedBaseline.388,cnbc.com.33889::5,126,TER,-35.0
WMTBiomedBaseline.388,cnbc.com.33889::6,127,TER,-56.41025641025641
WMTBiomedBaseline.388,cnbc.com.33889::7,128,TER,-40.645161290322584
WMTBiomedBaseline.388,cnbc.com.33889::8,129,TER,-40.909090909090914
WMTBiomedBaseline.388,cnbc.com.33889::9,130,TER,-31.967213114754102
WMTBiomedBaseline.388,cnbc.com.33889::10,131,TER,-44.38775510204082
WMTBiomedBaseline.388,cnn.385672::1,132,TER,-61.53846153846154
WMTBiomedBaseline.388,cnn.385672::2,133,TER,-43.82022471910112
WMTBiomedBaseline.388,cnn.385672::3,134,TER,-35.294117647058826
WMTBiomedBaseline.388,cnn.385672::4,135,TER,-59.21052631578948
WMTBiomedBaseline.388,cnn.385672::5,136,TER,-25.352112676056336
WMTBiomedBaseline.388,cnn.385672::6,137,TER,-76.19047619047619
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::1,138,TER,-78.57142857142857
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::2,139,TER,-61.061946902654874
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::3,140,TER,-58.06451612903225
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::4,141,TER,-62.5
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::5,142,TER,-31.132075471698112
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::6,143,TER,-39.13043478260869
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::7,144,TER,-92.3076923076923
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::8,145,TER,-66.66666666666666
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::9,146,TER,-68.75
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::10,147,TER,-40.298507462686565
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::11,148,TER,-32.30769230769231
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::12,149,TER,-47.89915966386555
WMTBiomedBaseline.388,brisbanetimes.com.au.225990::13,150,TER,-10.0
WMTBiomedBaseline.388,seattle_times.7043::1,151,TER,-84.0
WMTBiomedBaseline.388,seattle_times.7043::2,152,TER,-65.80645161290323
WMTBiomedBaseline.388,seattle_times.7043::3,153,TER,-69.86301369863014
WMTBiomedBaseline.388,seattle_times.7043::4,154,TER,-67.1875
WMTBiomedBaseline.388,seattle_times.7043::5,155,TER,-78.68852459016395
WMTBiomedBaseline.388,seattle_times.7043::6,156,TER,-63.77952755905512
WMTBiomedBaseline.388,seattle_times.7043::7,157,TER,-60.0
WMTBiomedBaseline.388,seattle_times.7043::8,158,TER,-62.65822784810127
WMTBiomedBaseline.388,seattle_times.7043::9,159,TER,-80.48780487804879
WMTBiomedBaseline.388,seattle_times.7043::10,160,TER,-57.27272727272727
WMTBiomedBaseline.388,seattle_times.7043::11,161,TER,-69.64285714285714
WMTBiomedBaseline.388,seattle_times.7043::12,162,TER,-70.37037037037037
WMTBiomedBaseline.388,seattle_times.7043::13,163,TER,-54.09836065573771
WMTBiomedBaseline.388,seattle_times.7657::1,164,TER,-58.333333333333336
WMTBiomedBaseline.388,seattle_times.7657::2,165,TER,-51.06382978723404
WMTBiomedBaseline.388,seattle_times.7657::3,166,TER,-45.11278195488722
WMTBiomedBaseline.388,seattle_times.7657::4,167,TER,-27.631578947368425
WMTBiomedBaseline.388,seattle_times.7657::5,168,TER,-54.90196078431373
WMTBiomedBaseline.388,seattle_times.7657::6,169,TER,-40.909090909090914
WMTBiomedBaseline.388,seattle_times.7657::7,170,TER,-37.74834437086093
WMTBiomedBaseline.388,seattle_times.7657::8,171,TER,-48.275862068965516
WMTBiomedBaseline.388,cnbc.com.33999::1,172,TER,-84.0
WMTBiomedBaseline.388,cnbc.com.33999::2,173,TER,-50.0
WMTBiomedBaseline.388,cnbc.com.33999::3,174,TER,-67.74193548387096
