SYS,seg_id,set_id,metric,score
WMTBiomedBaseline.388,independent.281139::1,0,chrF,45.50472803299435
WMTBiomedBaseline.388,independent.281139::2,1,chrF,43.36403882925069
WMTBiomedBaseline.388,independent.281139::3,2,chrF,41.464362396982736
WMTBiomedBaseline.388,independent.281139::4,3,chrF,38.88102186725032
WMTBiomedBaseline.388,independent.281139::5,4,chrF,53.19068927959783
WMTBiomedBaseline.388,independent.281139::6,5,chrF,48.48275199110729
WMTBiomedBaseline.388,independent.281139::7,6,chrF,31.209589321748844
WMTBiomedBaseline.388,independent.281139::8,7,chrF,55.435559870241434
WMTBiomedBaseline.388,independent.281139::9,8,chrF,59.515401489646614
WMTBiomedBaseline.388,independent.281139::10,9,chrF,62.70832331693955
WMTBiomedBaseline.388,independent.281139::11,10,chrF,58.016961053274215
WMTBiomedBaseline.388,independent.281139::12,11,chrF,60.99970783022409
WMTBiomedBaseline.388,independent.281139::13,12,chrF,65.44565284211397
WMTBiomedBaseline.388,en.ndtv.com.13152::1,13,chrF,24.547233928080217
WMTBiomedBaseline.388,en.ndtv.com.13152::2,14,chrF,50.09684956111796
WMTBiomedBaseline.388,en.ndtv.com.13152::3,15,chrF,60.88176796278334
WMTBiomedBaseline.388,en.ndtv.com.13152::4,16,chrF,44.57013419839498
WMTBiomedBaseline.388,en.ndtv.com.13152::5,17,chrF,59.584333329006654
WMTBiomedBaseline.388,en.ndtv.com.13152::6,18,chrF,33.47408820768687
WMTBiomedBaseline.388,en.ndtv.com.13152::7,19,chrF,69.66022417628233
WMTBiomedBaseline.388,en.ndtv.com.13152::8,20,chrF,48.640832522334634
WMTBiomedBaseline.388,en.ndtv.com.13152::9,21,chrF,60.07386678061781
WMTBiomedBaseline.388,en.ndtv.com.13152::10,22,chrF,66.9794793899076
WMTBiomedBaseline.388,en.ndtv.com.13152::11,23,chrF,34.8495421437104
WMTBiomedBaseline.388,cnn.385674::1,24,chrF,95.44987289600172
WMTBiomedBaseline.388,cnn.385674::2,25,chrF,77.2308256301678
WMTBiomedBaseline.388,cnn.385674::3,26,chrF,60.766716424712406
WMTBiomedBaseline.388,cnn.385674::4,27,chrF,42.51033273405784
