SYS,seg_id,set_id,metric,score
eTranslation.737,independent.281139::1,0,Prism-src,-0.91433823
eTranslation.737,independent.281139::2,1,Prism-src,-0.48127764
eTranslation.737,independent.281139::3,2,Prism-src,-0.5012952
eTranslation.737,independent.281139::4,3,Prism-src,-0.86384434
eTranslation.737,independent.281139::5,4,Prism-src,-0.8572781
eTranslation.737,independent.281139::6,5,Prism-src,-0.63235795
eTranslation.737,independent.281139::7,6,Prism-src,-0.5440812
eTranslation.737,independent.281139::8,7,Prism-src,-0.41260839
eTranslation.737,independent.281139::9,8,Prism-src,-0.4269018
eTranslation.737,independent.281139::10,9,Prism-src,-0.70767605
eTranslation.737,independent.281139::11,10,Prism-src,-0.5762482
eTranslation.737,independent.281139::12,11,Prism-src,-0.6672562
eTranslation.737,independent.281139::13,12,Prism-src,-0.7215003
eTranslation.737,en.ndtv.com.13152::1,13,Prism-src,-2.0567105
eTranslation.737,en.ndtv.com.13152::2,14,Prism-src,-0.32411656
eTranslation.737,en.ndtv.com.13152::3,15,Prism-src,-0.6579564
eTranslation.737,en.ndtv.com.13152::4,16,Prism-src,-0.92318755
eTranslation.737,en.ndtv.com.13152::5,17,Prism-src,-0.37946424
eTranslation.737,en.ndtv.com.13152::6,18,Prism-src,-0.5260463
eTranslation.737,en.ndtv.com.13152::7,19,Prism-src,-0.5435606
eTranslation.737,en.ndtv.com.13152::8,20,Prism-src,-0.6488991
eTranslation.737,en.ndtv.com.13152::9,21,Prism-src,-0.5580446
eTranslation.737,en.ndtv.com.13152::10,22,Prism-src,-0.6278016
eTranslation.737,en.ndtv.com.13152::11,23,Prism-src,-0.47000706
eTranslation.737,cnn.385674::1,24,Prism-src,-0.3916665
eTranslation.737,cnn.385674::2,25,Prism-src,-0.75364214
eTranslation.737,cnn.385674::3,26,Prism-src,-0.5248494
eTranslation.737,cnn.385674::4,27,Prism-src,-0.8864521
eTranslation.737,cnn.385674::5,28,Prism-src,-0.43681562
eTranslation.737,cnn.385674::6,29,Prism-src,-0.62449294
eTranslation.737,cnn.385674::7,30,Prism-src,-0.7168935
eTranslation.737,cnn.385674::8,31,Prism-src,-0.6710277
eTranslation.737,cnn.385674::9,32,Prism-src,-0.52546406
eTranslation.737,cnn.385674::10,33,Prism-src,-0.63811123
eTranslation.737,seattle_times.7755::1,34,Prism-src,-0.50903946
eTranslation.737,seattle_times.7755::2,35,Prism-src,-0.7521794
eTranslation.737,seattle_times.7755::3,36,Prism-src,-0.45978233
eTranslation.737,seattle_times.7755::4,37,Prism-src,-0.4423969
eTranslation.737,seattle_times.7755::5,38,Prism-src,-0.5584274
eTranslation.737,seattle_times.7755::6,39,Prism-src,-0.944014
eTranslation.737,reuters.276709::1,40,Prism-src,-1.0525782
eTranslation.737,reuters.276709::2,41,Prism-src,-0.40894884
eTranslation.737,reuters.276709::3,42,Prism-src,-0.6392259
eTranslation.737,reuters.276709::4,43,Prism-src,-0.6274552
eTranslation.737,reuters.276709::5,44,Prism-src,-0.48364782
eTranslation.737,reuters.276709::6,45,Prism-src,-0.61791945
eTranslation.737,reuters.276709::7,46,Prism-src,-0.46448895
eTranslation.737,reuters.276709::8,47,Prism-src,-0.38810667
eTranslation.737,reuters.276709::9,48,Prism-src,-0.5727009
eTranslation.737,reuters.276709::10,49,Prism-src,-0.49823523
eTranslation.737,reuters.276709::11,50,Prism-src,-0.59483033
eTranslation.737,reuters.276709::12,51,Prism-src,-0.52328783
eTranslation.737,reuters.276709::13,52,Prism-src,-0.43551436
eTranslation.737,rt.com.113906::1,53,Prism-src,-0.44225603
eTranslation.737,rt.com.113906::2,54,Prism-src,-0.47528967
eTranslation.737,rt.com.113906::3,55,Prism-src,-0.3259593
eTranslation.737,rt.com.113906::4,56,Prism-src,-0.37428492
eTranslation.737,rt.com.113906::5,57,Prism-src,-0.4206784
eTranslation.737,rt.com.113906::6,58,Prism-src,-0.49323058
eTranslation.737,rt.com.113906::7,59,Prism-src,-0.54008263
eTranslation.737,stv.tv.21636::1,60,Prism-src,-1.2096721
eTranslation.737,stv.tv.21636::2,61,Prism-src,-0.45117992
eTranslation.737,stv.tv.21636::3,62,Prism-src,-0.46317613
eTranslation.737,stv.tv.21636::4,63,Prism-src,-0.51133436
eTranslation.737,stv.tv.21636::5,64,Prism-src,-0.4637663
eTranslation.737,stv.tv.21636::6,65,Prism-src,-0.6536421
eTranslation.737,stv.tv.21636::7,66,Prism-src,-0.54198813
eTranslation.737,stv.tv.21636::8,67,Prism-src,-0.3806557
eTranslation.737,stv.tv.21636::9,68,Prism-src,-0.36473173
