SYS,seg_id,set_id,metric,score
eTranslation.737,independent.281139::1,0,TER,-42.0
eTranslation.737,independent.281139::2,1,TER,-51.42857142857144
eTranslation.737,independent.281139::3,2,TER,-54.54545454545454
eTranslation.737,independent.281139::4,3,TER,-59.154929577464785
eTranslation.737,independent.281139::5,4,TER,-38.46153846153847
eTranslation.737,independent.281139::6,5,TER,-40.27777777777778
eTranslation.737,independent.281139::7,6,TER,-34.09090909090909
eTranslation.737,independent.281139::8,7,TER,-37.078651685393254
eTranslation.737,independent.281139::9,8,TER,-40.0
eTranslation.737,independent.281139::10,9,TER,-30.681818181818183
eTranslation.737,independent.281139::11,10,TER,-47.61904761904761
eTranslation.737,independent.281139::12,11,TER,-31.25
eTranslation.737,independent.281139::13,12,TER,-54.54545454545454
eTranslation.737,en.ndtv.com.13152::1,13,TER,-84.375
eTranslation.737,en.ndtv.com.13152::2,14,TER,-0.0
eTranslation.737,en.ndtv.com.13152::3,15,TER,-20.0
eTranslation.737,en.ndtv.com.13152::4,16,TER,-38.34586466165413
eTranslation.737,en.ndtv.com.13152::5,17,TER,-19.444444444444446
eTranslation.737,en.ndtv.com.13152::6,18,TER,-43.08510638297873
eTranslation.737,en.ndtv.com.13152::7,19,TER,-26.923076923076923
eTranslation.737,en.ndtv.com.13152::8,20,TER,-55.21472392638036
eTranslation.737,en.ndtv.com.13152::9,21,TER,-28.84615384615385
eTranslation.737,en.ndtv.com.13152::10,22,TER,-28.125
eTranslation.737,en.ndtv.com.13152::11,23,TER,-18.30985915492958
eTranslation.737,cnn.385674::1,24,TER,-7.3170731707317085
eTranslation.737,cnn.385674::2,25,TER,-18.75
eTranslation.737,cnn.385674::3,26,TER,-39.6694214876033
eTranslation.737,cnn.385674::4,27,TER,-56.75675675675676
eTranslation.737,cnn.385674::5,28,TER,-64.13793103448275
eTranslation.737,cnn.385674::6,29,TER,-42.857142857142854
eTranslation.737,cnn.385674::7,30,TER,-23.076923076923077
eTranslation.737,cnn.385674::8,31,TER,-63.15789473684211
eTranslation.737,cnn.385674::9,32,TER,-31.25
eTranslation.737,cnn.385674::10,33,TER,-61.76470588235294
eTranslation.737,seattle_times.7755::1,34,TER,-50.0
eTranslation.737,seattle_times.7755::2,35,TER,-48.38709677419355
eTranslation.737,seattle_times.7755::3,36,TER,-20.224719101123593
eTranslation.737,seattle_times.7755::4,37,TER,-31.132075471698112
eTranslation.737,seattle_times.7755::5,38,TER,-48.75
eTranslation.737,seattle_times.7755::6,39,TER,-52.17391304347826
eTranslation.737,reuters.276709::1,40,TER,-32.43243243243243
eTranslation.737,reuters.276709::2,41,TER,-14.423076923076925
eTranslation.737,reuters.276709::3,42,TER,-24.590163934426233
eTranslation.737,reuters.276709::4,43,TER,-27.049180327868854
eTranslation.737,reuters.276709::5,44,TER,-27.906976744186046
eTranslation.737,reuters.276709::6,45,TER,-35.77981651376147
eTranslation.737,reuters.276709::7,46,TER,-6.338028169014084
eTranslation.737,reuters.276709::8,47,TER,-24.82758620689655
eTranslation.737,reuters.276709::9,48,TER,-26.666666666666668
eTranslation.737,reuters.276709::10,49,TER,-26.190476190476193
eTranslation.737,reuters.276709::11,50,TER,-27.52293577981651
eTranslation.737,reuters.276709::12,51,TER,-18.120805369127517
eTranslation.737,reuters.276709::13,52,TER,-21.81818181818182
eTranslation.737,rt.com.113906::1,53,TER,-0.0
eTranslation.737,rt.com.113906::2,54,TER,-8.571428571428571
eTranslation.737,rt.com.113906::3,55,TER,-3.1578947368421053
eTranslation.737,rt.com.113906::4,56,TER,-34.82142857142857
eTranslation.737,rt.com.113906::5,57,TER,-3.947368421052632
eTranslation.737,rt.com.113906::6,58,TER,-38.18181818181819
eTranslation.737,rt.com.113906::7,59,TER,-16.759776536312852
eTranslation.737,stv.tv.21636::1,60,TER,-39.13043478260869
eTranslation.737,stv.tv.21636::2,61,TER,-22.058823529411764
eTranslation.737,stv.tv.21636::3,62,TER,-33.33333333333333
eTranslation.737,stv.tv.21636::4,63,TER,-40.0
eTranslation.737,stv.tv.21636::5,64,TER,-32.35294117647059
eTranslation.737,stv.tv.21636::6,65,TER,-71.1864406779661
eTranslation.737,stv.tv.21636::7,66,TER,-49.03846153846154
eTranslation.737,stv.tv.21636::8,67,TER,-36.36363636363637
eTranslation.737,stv.tv.21636::9,68,TER,-41.02564102564102
eTranslation.737,stv.tv.21636::10,69,TER,-29.032258064516125
eTranslation.737,stv.tv.21636::11,70,TER,-56.43564356435644
eTranslation.737,stv.tv.21636::12,71,TER,-49.31506849315069
eTranslation.737,stv.tv.21636::13,72,TER,-42.85714285714286
eTranslation.737,stv.tv.21636::14,73,TER,-53.07692307692308
eTranslation.737,stv.tv.21636::15,74,TER,-58.333333333333336
eTranslation.737,stv.tv.21636::16,75,TER,-40.67796610169491
eTranslation.737,stv.tv.21636::17,76,TER,-59.25925925925925
eTranslation.737,en.ndtv.com.12997::1,77,TER,-56.25
eTranslation.737,en.ndtv.com.12997::2,78,TER,-14.285714285714285
eTranslation.737,en.ndtv.com.12997::3,79,TER,-6.0606060606060606
eTranslation.737,en.ndtv.com.12997::4,80,TER,-59.34065934065934
eTranslation.737,en.ndtv.com.12997::5,81,TER,-35.714285714285715
eTranslation.737,en.ndtv.com.12997::6,82,TER,-33.80281690140845
eTranslation.737,en.ndtv.com.12997::7,83,TER,-30.0
eTranslation.737,en.ndtv.com.12997::8,84,TER,-45.0
eTranslation.737,en.ndtv.com.12997::9,85,TER,-19.81132075471698
eTranslation.737,en.ndtv.com.12997::10,86,TER,-50.943396226415096
