SYS,seg_id,set_id,metric,score
trans-base,independent.281139::1,0,chrF,63.68250339761394
trans-base,independent.281139::2,1,chrF,57.84842942128914
trans-base,independent.281139::3,2,chrF,49.74495772701798
trans-base,independent.281139::4,3,chrF,47.1993657383251
trans-base,independent.281139::5,4,chrF,48.83836308818121
trans-base,independent.281139::6,5,chrF,61.324476287571294
trans-base,independent.281139::7,6,chrF,39.0611217552545
trans-base,independent.281139::8,7,chrF,87.04422879914796
trans-base,independent.281139::9,8,chrF,67.31723361078834
trans-base,independent.281139::10,9,chrF,88.89109797787918
trans-base,independent.281139::11,10,chrF,57.25787939420769
trans-base,independent.281139::12,11,chrF,67.76582135460289
trans-base,independent.281139::13,12,chrF,54.57842809669621
trans-base,en.ndtv.com.13152::1,13,chrF,21.20360660149279
trans-base,en.ndtv.com.13152::2,14,chrF,55.82856691752248
trans-base,en.ndtv.com.13152::3,15,chrF,66.03296731191911
trans-base,en.ndtv.com.13152::4,16,chrF,59.577114298350345
trans-base,en.ndtv.com.13152::5,17,chrF,75.48905675534564
trans-base,en.ndtv.com.13152::6,18,chrF,52.88501055619563
trans-base,en.ndtv.com.13152::7,19,chrF,80.30683296120522
trans-base,en.ndtv.com.13152::8,20,chrF,37.5711744383934
trans-base,en.ndtv.com.13152::9,21,chrF,67.8631740752222
trans-base,en.ndtv.com.13152::10,22,chrF,64.09575793799065
trans-base,en.ndtv.com.13152::11,23,chrF,77.54495903437586
trans-base,cnn.385674::1,24,chrF,83.06566041276405
trans-base,cnn.385674::2,25,chrF,74.30460682052778
trans-base,cnn.385674::3,26,chrF,53.424796439919106
trans-base,cnn.385674::4,27,chrF,60.623977479042615
trans-base,cnn.385674::5,28,chrF,60.64093970999238
trans-base,cnn.385674::6,29,chrF,37.24587043651918
trans-base,cnn.385674::7,30,chrF,79.14805861877716
trans-base,cnn.385674::8,31,chrF,62.30601095493523
trans-base,cnn.385674::9,32,chrF,61.73512462345845
trans-base,cnn.385674::10,33,chrF,57.99831543680271
trans-base,seattle_times.7755::1,34,chrF,65.11793990373891
trans-base,seattle_times.7755::2,35,chrF,63.63912946709067
trans-base,seattle_times.7755::3,36,chrF,70.61046804069959
trans-base,seattle_times.7755::4,37,chrF,55.74039111409825
trans-base,seattle_times.7755::5,38,chrF,60.348325136370775
trans-base,seattle_times.7755::6,39,chrF,51.781166125372856
trans-base,reuters.276709::1,40,chrF,11.940817974838833
trans-base,reuters.276709::2,41,chrF,53.02283782460056
trans-base,reuters.276709::3,42,chrF,68.49589169033388
trans-base,reuters.276709::4,43,chrF,65.53427071109368
trans-base,reuters.276709::5,44,chrF,72.36957572202427
trans-base,reuters.276709::6,45,chrF,63.28288653105779
trans-base,reuters.276709::7,46,chrF,86.40699628205704
trans-base,reuters.276709::8,47,chrF,64.9888621315617
trans-base,reuters.276709::9,48,chrF,67.02638453625848
trans-base,reuters.276709::10,49,chrF,66.01182786949389
trans-base,reuters.276709::11,50,chrF,48.798744517195544
trans-base,reuters.276709::12,51,chrF,78.1952090069708
