SYS,seg_id,set_id,metric,score
trans-base,independent.281139::1,0,wmt20-comet-qe-da,0.00012235379836056381
trans-base,independent.281139::2,1,wmt20-comet-qe-da,0.31768155097961426
trans-base,independent.281139::3,2,wmt20-comet-qe-da,0.2526799142360687
trans-base,independent.281139::4,3,wmt20-comet-qe-da,0.0020370734855532646
trans-base,independent.281139::5,4,wmt20-comet-qe-da,0.5791654586791992
trans-base,independent.281139::6,5,wmt20-comet-qe-da,0.16681288182735443
trans-base,independent.281139::7,6,wmt20-comet-qe-da,0.00039355061016976833
trans-base,independent.281139::8,7,wmt20-comet-qe-da,0.34187033772468567
trans-base,independent.281139::9,8,wmt20-comet-qe-da,0.29691702127456665
trans-base,independent.281139::10,9,wmt20-comet-qe-da,0.5311738848686218
trans-base,independent.281139::11,10,wmt20-comet-qe-da,0.26725634932518005
trans-base,independent.281139::12,11,wmt20-comet-qe-da,0.33160269260406494
trans-base,independent.281139::13,12,wmt20-comet-qe-da,0.13437585532665253
trans-base,en.ndtv.com.13152::1,13,wmt20-comet-qe-da,4.2775685869855806e-05
trans-base,en.ndtv.com.13152::2,14,wmt20-comet-qe-da,0.9137547016143799
trans-base,en.ndtv.com.13152::3,15,wmt20-comet-qe-da,0.010837896727025509
trans-base,en.ndtv.com.13152::4,16,wmt20-comet-qe-da,4.1639443224994466e-05
trans-base,en.ndtv.com.13152::5,17,wmt20-comet-qe-da,0.3438226580619812
trans-base,en.ndtv.com.13152::6,18,wmt20-comet-qe-da,4.202516356599517e-05
trans-base,en.ndtv.com.13152::7,19,wmt20-comet-qe-da,0.5368695259094238
trans-base,en.ndtv.com.13152::8,20,wmt20-comet-qe-da,0.12339074164628983
trans-base,en.ndtv.com.13152::9,21,wmt20-comet-qe-da,0.32741957902908325
trans-base,en.ndtv.com.13152::10,22,wmt20-comet-qe-da,4.100677324458957e-05
trans-base,en.ndtv.com.13152::11,23,wmt20-comet-qe-da,5.6079567002598196e-05
trans-base,cnn.385674::1,24,wmt20-comet-qe-da,0.5547077059745789
trans-base,cnn.385674::2,25,wmt20-comet-qe-da,0.4177110195159912
trans-base,cnn.385674::3,26,wmt20-comet-qe-da,0.05473366007208824
trans-base,cnn.385674::4,27,wmt20-comet-qe-da,0.011159777641296387
trans-base,cnn.385674::5,28,wmt20-comet-qe-da,0.000211050602956675
trans-base,cnn.385674::6,29,wmt20-comet-qe-da,4.240232374286279e-05
trans-base,cnn.385674::7,30,wmt20-comet-qe-da,0.38030192255973816
trans-base,cnn.385674::8,31,wmt20-comet-qe-da,0.5535358786582947
trans-base,cnn.385674::9,32,wmt20-comet-qe-da,0.5855509638786316
trans-base,cnn.385674::10,33,wmt20-comet-qe-da,0.04645071551203728
trans-base,seattle_times.7755::1,34,wmt20-comet-qe-da,0.5283966660499573
trans-base,seattle_times.7755::2,35,wmt20-comet-qe-da,4.067207555635832e-05
trans-base,seattle_times.7755::3,36,wmt20-comet-qe-da,4.173883644398302e-05
trans-base,seattle_times.7755::4,37,wmt20-comet-qe-da,0.14002196490764618
trans-base,seattle_times.7755::5,38,wmt20-comet-qe-da,0.05750705301761627
trans-base,seattle_times.7755::6,39,wmt20-comet-qe-da,4.0733481000643224e-05
trans-base,reuters.276709::1,40,wmt20-comet-qe-da,0.26455065608024597
trans-base,reuters.276709::2,41,wmt20-comet-qe-da,4.174126297584735e-05
trans-base,reuters.276709::3,42,wmt20-comet-qe-da,0.5189184546470642
trans-base,reuters.276709::4,43,wmt20-comet-qe-da,0.46318021416664124
trans-base,reuters.276709::5,44,wmt20-comet-qe-da,0.36956551671028137
trans-base,reuters.276709::6,45,wmt20-comet-qe-da,0.4684404134750366
trans-base,reuters.276709::7,46,wmt20-comet-qe-da,0.36305996775627136
trans-base,reuters.276709::8,47,wmt20-comet-qe-da,4.1272454836871475e-05
trans-base,reuters.276709::9,48,wmt20-comet-qe-da,0.2939858138561249
trans-base,reuters.276709::10,49,wmt20-comet-qe-da,4.065799657837488e-05
trans-base,reuters.276709::11,50,wmt20-comet-qe-da,4.084741885890253e-05
trans-base,reuters.276709::12,51,wmt20-comet-qe-da,0.2805691957473755
trans-base,reuters.276709::13,52,wmt20-comet-qe-da,4.192333290120587e-05
trans-base,rt.com.113906::1,53,wmt20-comet-qe-da,0.40002554655075073
trans-base,rt.com.113906::2,54,wmt20-comet-qe-da,0.5846626162528992
trans-base,rt.com.113906::3,55,wmt20-comet-qe-da,0.5384072065353394
trans-base,rt.com.113906::4,56,wmt20-comet-qe-da,0.6127039194107056
trans-base,rt.com.113906::5,57,wmt20-comet-qe-da,0.6672686338424683
trans-base,rt.com.113906::6,58,wmt20-comet-qe-da,0.30457305908203125
trans-base,rt.com.113906::7,59,wmt20-comet-qe-da,0.2881629467010498
trans-base,stv.tv.21636::1,60,wmt20-comet-qe-da,0.3696998357772827
trans-base,stv.tv.21636::2,61,wmt20-comet-qe-da,0.33600282669067383
trans-base,stv.tv.21636::3,62,wmt20-comet-qe-da,0.3945593237876892
trans-base,stv.tv.21636::4,63,wmt20-comet-qe-da,0.0033958652056753635
trans-base,stv.tv.21636::5,64,wmt20-comet-qe-da,4.181421536486596e-05
trans-base,stv.tv.21636::6,65,wmt20-comet-qe-da,0.35111525654792786
trans-base,stv.tv.21636::7,66,wmt20-comet-qe-da,0.36497312784194946
trans-base,stv.tv.21636::8,67,wmt20-comet-qe-da,0.7469784021377563
trans-base,stv.tv.21636::9,68,wmt20-comet-qe-da,0.251656174659729
trans-base,stv.tv.21636::10,69,wmt20-comet-qe-da,0.5443342924118042
trans-base,stv.tv.21636::11,70,wmt20-comet-qe-da,0.16031287610530853
trans-base,stv.tv.21636::12,71,wmt20-comet-qe-da,4.565336348605342e-05
trans-base,stv.tv.21636::13,72,wmt20-comet-qe-da,0.21422554552555084
trans-base,stv.tv.21636::14,73,wmt20-comet-qe-da,0.2947326898574829
trans-base,stv.tv.21636::15,74,wmt20-comet-qe-da,0.6249207854270935
trans-base,stv.tv.21636::16,75,wmt20-comet-qe-da,0.23291857540607452
trans-base,stv.tv.21636::17,76,wmt20-comet-qe-da,0.37997713685035706
trans-base,en.ndtv.com.12997::1,77,wmt20-comet-qe-da,0.567663311958313
trans-base,en.ndtv.com.12997::2,78,wmt20-comet-qe-da,0.6467506289482117
trans-base,en.ndtv.com.12997::3,79,wmt20-comet-qe-da,0.1828857958316803
trans-base,en.ndtv.com.12997::4,80,wmt20-comet-qe-da,0.5802674293518066
trans-base,en.ndtv.com.12997::5,81,wmt20-comet-qe-da,0.29718366265296936
trans-base,en.ndtv.com.12997::6,82,wmt20-comet-qe-da,0.7464905381202698
