SYS,seg_id,set_id,metric,score
trans-large,independent.281139::1,0,MoverScore,0.5287532006054888
trans-large,independent.281139::2,1,MoverScore,0.5678261741653552
trans-large,independent.281139::3,2,MoverScore,0.5114734459844206
trans-large,independent.281139::4,3,MoverScore,0.568107677847903
trans-large,independent.281139::5,4,MoverScore,0.6482407277917018
trans-large,independent.281139::6,5,MoverScore,0.5101224909701534
trans-large,independent.281139::7,6,MoverScore,0.5539934994116773
trans-large,independent.281139::8,7,MoverScore,0.57105411425361
trans-large,independent.281139::9,8,MoverScore,0.5857442105304256
trans-large,independent.281139::10,9,MoverScore,0.6161260728975213
trans-large,independent.281139::11,10,MoverScore,0.5352032806929453
trans-large,independent.281139::12,11,MoverScore,0.5459689749719411
trans-large,independent.281139::13,12,MoverScore,0.5524440311184236
trans-large,en.ndtv.com.13152::1,13,MoverScore,0.41167036543942714
trans-large,en.ndtv.com.13152::2,14,MoverScore,0.7989221811294556
trans-large,en.ndtv.com.13152::3,15,MoverScore,0.555328700730288
trans-large,en.ndtv.com.13152::4,16,MoverScore,0.3964551925671391
trans-large,en.ndtv.com.13152::5,17,MoverScore,0.6482300236910189
trans-large,en.ndtv.com.13152::6,18,MoverScore,0.5581674771540241
trans-large,en.ndtv.com.13152::7,19,MoverScore,0.6074940420225453
trans-large,en.ndtv.com.13152::8,20,MoverScore,0.47555449857544746
trans-large,en.ndtv.com.13152::9,21,MoverScore,0.4645440629788917
trans-large,en.ndtv.com.13152::10,22,MoverScore,0.49551436504626656
trans-large,en.ndtv.com.13152::11,23,MoverScore,0.5628904041418729
trans-large,cnn.385674::1,24,MoverScore,0.6701501738145232
trans-large,cnn.385674::2,25,MoverScore,0.6363356390317225
trans-large,cnn.385674::3,26,MoverScore,0.4554979035088162
trans-large,cnn.385674::4,27,MoverScore,0.5191312267948046
trans-large,cnn.385674::5,28,MoverScore,0.4579530146151621
trans-large,cnn.385674::6,29,MoverScore,0.4509156042351534
trans-large,cnn.385674::7,30,MoverScore,0.6738811247317963
trans-large,cnn.385674::8,31,MoverScore,0.4869336512724036
trans-large,cnn.385674::9,32,MoverScore,0.602834058750079
