SYS,seg_id,set_id,metric,score
trans-large,independent.281139::1,0,Prism-src,-0.85796493
trans-large,independent.281139::2,1,Prism-src,-0.5507176
trans-large,independent.281139::3,2,Prism-src,-0.9342788
trans-large,independent.281139::4,3,Prism-src,-1.0225406
trans-large,independent.281139::5,4,Prism-src,-0.85727894
trans-large,independent.281139::6,5,Prism-src,-0.59861344
trans-large,independent.281139::7,6,Prism-src,-0.4563339
trans-large,independent.281139::8,7,Prism-src,-0.5713485
trans-large,independent.281139::9,8,Prism-src,-0.49806923
trans-large,independent.281139::10,9,Prism-src,-0.5154293
trans-large,independent.281139::11,10,Prism-src,-0.53558016
trans-large,independent.281139::12,11,Prism-src,-0.94623846
trans-large,independent.281139::13,12,Prism-src,-0.7069005
trans-large,en.ndtv.com.13152::1,13,Prism-src,-3.7217627
trans-large,en.ndtv.com.13152::2,14,Prism-src,-0.33492208
trans-large,en.ndtv.com.13152::3,15,Prism-src,-0.7054067
trans-large,en.ndtv.com.13152::4,16,Prism-src,-1.3201139
trans-large,en.ndtv.com.13152::5,17,Prism-src,-0.41151917
trans-large,en.ndtv.com.13152::6,18,Prism-src,-0.47347036
trans-large,en.ndtv.com.13152::7,19,Prism-src,-0.5487536
trans-large,en.ndtv.com.13152::8,20,Prism-src,-1.0737193
trans-large,en.ndtv.com.13152::9,21,Prism-src,-1.0979443
trans-large,en.ndtv.com.13152::10,22,Prism-src,-1.026032
trans-large,en.ndtv.com.13152::11,23,Prism-src,-0.6411144
trans-large,cnn.385674::1,24,Prism-src,-0.52501667
trans-large,cnn.385674::2,25,Prism-src,-0.62871784
trans-large,cnn.385674::3,26,Prism-src,-0.6894864
trans-large,cnn.385674::4,27,Prism-src,-0.7674435
trans-large,cnn.385674::5,28,Prism-src,-0.5770078
trans-large,cnn.385674::6,29,Prism-src,-1.493179
trans-large,cnn.385674::7,30,Prism-src,-0.78674805
trans-large,cnn.385674::8,31,Prism-src,-1.3136219
trans-large,cnn.385674::9,32,Prism-src,-0.5584086
trans-large,cnn.385674::10,33,Prism-src,-1.1493148
trans-large,seattle_times.7755::1,34,Prism-src,-0.53297
trans-large,seattle_times.7755::2,35,Prism-src,-1.0489839
trans-large,seattle_times.7755::3,36,Prism-src,-0.5230773
trans-large,seattle_times.7755::4,37,Prism-src,-0.4379449
trans-large,seattle_times.7755::5,38,Prism-src,-0.51152885
trans-large,seattle_times.7755::6,39,Prism-src,-1.5669277
trans-large,reuters.276709::1,40,Prism-src,-1.9458292
trans-large,reuters.276709::2,41,Prism-src,-0.44701198
trans-large,reuters.276709::3,42,Prism-src,-0.8144489
trans-large,reuters.276709::4,43,Prism-src,-0.6721645
trans-large,reuters.276709::5,44,Prism-src,-0.58296824
trans-large,reuters.276709::6,45,Prism-src,-1.1959383
trans-large,reuters.276709::7,46,Prism-src,-0.4633176
trans-large,reuters.276709::8,47,Prism-src,-0.9596509
trans-large,reuters.276709::9,48,Prism-src,-1.3859853
trans-large,reuters.276709::10,49,Prism-src,-0.5451624
trans-large,reuters.276709::11,50,Prism-src,-0.5441653
trans-large,reuters.276709::12,51,Prism-src,-0.5275202
trans-large,reuters.276709::13,52,Prism-src,-0.5162534
trans-large,rt.com.113906::1,53,Prism-src,-0.4355385
trans-large,rt.com.113906::2,54,Prism-src,-0.56322396
trans-large,rt.com.113906::3,55,Prism-src,-0.34546512
trans-large,rt.com.113906::4,56,Prism-src,-0.4539918
trans-large,rt.com.113906::5,57,Prism-src,-0.45781103
trans-large,rt.com.113906::6,58,Prism-src,-0.42946073
trans-large,rt.com.113906::7,59,Prism-src,-0.6523926
trans-large,stv.tv.21636::1,60,Prism-src,-2.0691364
trans-large,stv.tv.21636::2,61,Prism-src,-0.51343745
trans-large,stv.tv.21636::3,62,Prism-src,-0.46317613
trans-large,stv.tv.21636::4,63,Prism-src,-0.60646796
trans-large,stv.tv.21636::5,64,Prism-src,-0.57955056
trans-large,stv.tv.21636::6,65,Prism-src,-0.91081417
trans-large,stv.tv.21636::7,66,Prism-src,-0.60590416
trans-large,stv.tv.21636::8,67,Prism-src,-0.37208307
trans-large,stv.tv.21636::9,68,Prism-src,-0.42728466
trans-large,stv.tv.21636::10,69,Prism-src,-0.45708847
trans-large,stv.tv.21636::11,70,Prism-src,-0.81951165
trans-large,stv.tv.21636::12,71,Prism-src,-0.9175364
trans-large,stv.tv.21636::13,72,Prism-src,-0.4423767
trans-large,stv.tv.21636::14,73,Prism-src,-0.63731784
trans-large,stv.tv.21636::15,74,Prism-src,-0.56220746
trans-large,stv.tv.21636::16,75,Prism-src,-1.1496022
trans-large,stv.tv.21636::17,76,Prism-src,-0.93671024
trans-large,en.ndtv.com.12997::1,77,Prism-src,-1.7105782
trans-large,en.ndtv.com.12997::2,78,Prism-src,-1.0291748
trans-large,en.ndtv.com.12997::3,79,Prism-src,-0.4928937
trans-large,en.ndtv.com.12997::4,80,Prism-src,-0.7789932
trans-large,en.ndtv.com.12997::5,81,Prism-src,-0.5081693
trans-large,en.ndtv.com.12997::6,82,Prism-src,-0.29346973
trans-large,en.ndtv.com.12997::7,83,Prism-src,-0.51568574
trans-large,en.ndtv.com.12997::8,84,Prism-src,-0.7648157
trans-large,en.ndtv.com.12997::9,85,Prism-src,-0.7420224
trans-large,en.ndtv.com.12997::10,86,Prism-src,-0.9662908
trans-large,en.ndtv.com.12997::11,87,Prism-src,-1.148087
trans-large,en.ndtv.com.12997::12,88,Prism-src,-0.79664254
trans-large,en.ndtv.com.12997::13,89,Prism-src,-0.39218298
trans-large,en.ndtv.com.12997::14,90,Prism-src,-0.45276713
trans-large,en.ndtv.com.12997::15,91,Prism-src,-0.49641842
trans-large,en.ndtv.com.12997::16,92,Prism-src,-0.29705063
trans-large,en.ndtv.com.12997::17,93,Prism-src,-0.45818093
trans-large,en.ndtv.com.12997::18,94,Prism-src,-0.77635556
trans-large,en.ndtv.com.12997::19,95,Prism-src,-0.7282551
trans-large,en.ndtv.com.12997::20,96,Prism-src,-0.5405258
trans-large,en.ndtv.com.12997::21,97,Prism-src,-1.8900192
trans-large,en.ndtv.com.12997::22,98,Prism-src,-0.34021688
trans-large,en.ndtv.com.12997::23,99,Prism-src,-1.211955
trans-large,en.ndtv.com.12997::24,100,Prism-src,-0.5363367
trans-large,rte.en.ie.5333::1,101,Prism-src,-2.0409007
trans-large,rte.en.ie.5333::2,102,Prism-src,-1.8095856
trans-large,rte.en.ie.5333::3,103,Prism-src,-0.9227044
trans-large,rte.en.ie.5333::4,104,Prism-src,-0.38965324
trans-large,rte.en.ie.5333::5,105,Prism-src,-0.879625
trans-large,rte.en.ie.5333::6,106,Prism-src,-0.33029193
trans-large,rte.en.ie.5333::7,107,Prism-src,-0.64749396
trans-large,rte.en.ie.5333::8,108,Prism-src,-0.42856506
trans-large,rte.en.ie.5333::9,109,Prism-src,-0.49142075
trans-large,rte.en.ie.5333::10,110,Prism-src,-1.3337996
trans-large,rte.en.ie.5333::11,111,Prism-src,-1.2736367
trans-large,rte.en.ie.5333::12,112,Prism-src,-0.63752437
trans-large,rte.en.ie.5333::13,113,Prism-src,-0.9009696
trans-large,upi.205660::1,114,Prism-src,-0.7472436
trans-large,upi.205660::2,115,Prism-src,-0.494756
trans-large,upi.205660::3,116,Prism-src,-0.88240665
trans-large,upi.205660::4,117,Prism-src,-1.2484304
trans-large,upi.205660::5,118,Prism-src,-0.8093452
trans-large,upi.205660::6,119,Prism-src,-0.553508
trans-large,upi.205660::7,120,Prism-src,-0.3368133
trans-large,upi.205660::8,121,Prism-src,-1.176443
trans-large,cnbc.com.33889::1,122,Prism-src,-1.3798616
trans-large,cnbc.com.33889::2,123,Prism-src,-0.33362812
trans-large,cnbc.com.33889::3,124,Prism-src,-1.1644137
trans-large,cnbc.com.33889::4,125,Prism-src,-0.7613568
trans-large,cnbc.com.33889::5,126,Prism-src,-0.50213027
trans-large,cnbc.com.33889::6,127,Prism-src,-0.8625096
trans-large,cnbc.com.33889::7,128,Prism-src,-0.52198774
trans-large,cnbc.com.33889::8,129,Prism-src,-0.52201784
trans-large,cnbc.com.33889::9,130,Prism-src,-0.5265212
trans-large,cnbc.com.33889::10,131,Prism-src,-0.4714743
trans-large,cnn.385672::1,132,Prism-src,-1.3563766
trans-large,cnn.385672::2,133,Prism-src,-1.1606388
trans-large,cnn.385672::3,134,Prism-src,-0.8548934
trans-large,cnn.385672::4,135,Prism-src,-1.3963075
trans-large,cnn.385672::5,136,Prism-src,-0.3753971
trans-large,cnn.385672::6,137,Prism-src,-0.6555106
trans-large,brisbanetimes.com.au.225990::1,138,Prism-src,-1.7233521
trans-large,brisbanetimes.com.au.225990::2,139,Prism-src,-1.0777898
trans-large,brisbanetimes.com.au.225990::3,140,Prism-src,-0.58908945
trans-large,brisbanetimes.com.au.225990::4,141,Prism-src,-0.49116758
trans-large,brisbanetimes.com.au.225990::5,142,Prism-src,-0.65581673
trans-large,brisbanetimes.com.au.225990::6,143,Prism-src,-0.92993253
trans-large,brisbanetimes.com.au.225990::7,144,Prism-src,-1.8983365
trans-large,brisbanetimes.com.au.225990::8,145,Prism-src,-1.2908804
trans-large,brisbanetimes.com.au.225990::9,146,Prism-src,-0.7742589
trans-large,brisbanetimes.com.au.225990::10,147,Prism-src,-0.83720607
trans-large,brisbanetimes.com.au.225990::11,148,Prism-src,-0.5090404
trans-large,brisbanetimes.com.au.225990::12,149,Prism-src,-0.9335711
trans-large,brisbanetimes.com.au.225990::13,150,Prism-src,-0.5654271
trans-large,seattle_times.7043::1,151,Prism-src,-1.1678203
trans-large,seattle_times.7043::2,152,Prism-src,-1.5214804
trans-large,seattle_times.7043::3,153,Prism-src,-0.577539
trans-large,seattle_times.7043::4,154,Prism-src,-0.7137392
trans-large,seattle_times.7043::5,155,Prism-src,-1.5338788
trans-large,seattle_times.7043::6,156,Prism-src,-0.55785197
trans-large,seattle_times.7043::7,157,Prism-src,-0.9819846
trans-large,seattle_times.7043::8,158,Prism-src,-0.8995735
trans-large,seattle_times.7043::9,159,Prism-src,-0.488887
trans-large,seattle_times.7043::10,160,Prism-src,-0.6305932
trans-large,seattle_times.7043::11,161,Prism-src,-1.6655005
trans-large,seattle_times.7043::12,162,Prism-src,-0.72004724
trans-large,seattle_times.7043::13,163,Prism-src,-0.54262304
trans-large,seattle_times.7657::1,164,Prism-src,-1.437068
trans-large,seattle_times.7657::2,165,Prism-src,-0.5950968
trans-large,seattle_times.7657::3,166,Prism-src,-0.73490536
trans-large,seattle_times.7657::4,167,Prism-src,-0.3117018
trans-large,seattle_times.7657::5,168,Prism-src,-0.43598628
trans-large,seattle_times.7657::6,169,Prism-src,-0.5916693
trans-large,seattle_times.7657::7,170,Prism-src,-0.46475798
trans-large,seattle_times.7657::8,171,Prism-src,-1.3928002
trans-large,cnbc.com.33999::1,172,Prism-src,-0.5158713
trans-large,cnbc.com.33999::2,173,Prism-src,-0.6067968
trans-large,cnbc.com.33999::3,174,Prism-src,-0.5768149
trans-large,cnbc.com.33999::4,175,Prism-src,-0.45152518
trans-large,cnbc.com.33999::5,176,Prism-src,-0.45069802
trans-large,cnbc.com.33999::6,177,Prism-src,-0.7526073
trans-large,cnbc.com.33999::7,178,Prism-src,-0.7319422
trans-large,en.ndtv.com.13090::1,179,Prism-src,-0.48442733
trans-large,en.ndtv.com.13090::2,180,Prism-src,-0.79275453
trans-large,en.ndtv.com.13090::3,181,Prism-src,-0.50437397
trans-large,en.ndtv.com.13090::4,182,Prism-src,-0.36775684
trans-large,en.ndtv.com.13090::5,183,Prism-src,-0.5310231
trans-large,en.ndtv.com.13090::6,184,Prism-src,-1.4099497
trans-large,en.ndtv.com.13090::7,185,Prism-src,-0.38902953
trans-large,en.ndtv.com.13090::8,186,Prism-src,-0.57036364
trans-large,cnbc.com.33995::1,187,Prism-src,-0.76519626
trans-large,cnbc.com.33995::2,188,Prism-src,-0.46593174
trans-large,cnbc.com.33995::3,189,Prism-src,-1.2650244
trans-large,cnbc.com.33995::4,190,Prism-src,-1.1717626
trans-large,cnbc.com.33995::5,191,Prism-src,-0.4469968
trans-large,cnbc.com.33995::6,192,Prism-src,-0.7344882
trans-large,cnbc.com.33995::7,193,Prism-src,-0.6384154
trans-large,cnbc.com.33995::8,194,Prism-src,-1.0501239
trans-large,cnbc.com.33995::9,195,Prism-src,-0.7005405
trans-large,cnbc.com.33995::10,196,Prism-src,-0.5766394
trans-large,cnbc.com.33995::11,197,Prism-src,-1.2811298
trans-large,cnbc.com.33995::12,198,Prism-src,-1.5019976
trans-large,cnbc.com.33995::13,199,Prism-src,-0.4158801
trans-large,aj-english.8643::1,200,Prism-src,-0.64590466
trans-large,aj-english.8643::2,201,Prism-src,-0.57986045
trans-large,aj-english.8643::3,202,Prism-src,-0.7034591
trans-large,aj-english.8643::4,203,Prism-src,-0.3601864
trans-large,express.co.uk.10983::1,204,Prism-src,-0.45744058
trans-large,express.co.uk.10983::2,205,Prism-src,-0.5557043
trans-large,express.co.uk.10983::3,206,Prism-src,-0.6358767
trans-large,express.co.uk.10983::4,207,Prism-src,-0.29313567
trans-large,express.co.uk.10983::5,208,Prism-src,-0.52066505
trans-large,express.co.uk.10983::6,209,Prism-src,-0.7543541
