SYS,seg_id,set_id,metric,score
trans-large,independent.281139::1,0,SentBLEU,52.06519403153054
trans-large,independent.281139::2,1,SentBLEU,54.22591452069787
trans-large,independent.281139::3,2,SentBLEU,34.664850923124725
trans-large,independent.281139::4,3,SentBLEU,38.7190346785174
trans-large,independent.281139::5,4,SentBLEU,46.85909905380382
trans-large,independent.281139::6,5,SentBLEU,46.033240419357774
trans-large,independent.281139::7,6,SentBLEU,28.65515486360906
trans-large,independent.281139::8,7,SentBLEU,60.537432706919745
trans-large,independent.281139::9,8,SentBLEU,41.35980309544383
trans-large,independent.281139::10,9,SentBLEU,71.26570405003834
trans-large,independent.281139::11,10,SentBLEU,13.474726705972214
trans-large,independent.281139::12,11,SentBLEU,41.5479455663524
trans-large,independent.281139::13,12,SentBLEU,57.4186587006257
trans-large,en.ndtv.com.13152::1,13,SentBLEU,6.27465531099474
trans-large,en.ndtv.com.13152::2,14,SentBLEU,27.516060407455225
trans-large,en.ndtv.com.13152::3,15,SentBLEU,41.956013830711136
trans-large,en.ndtv.com.13152::4,16,SentBLEU,27.729416315315436
trans-large,en.ndtv.com.13152::5,17,SentBLEU,59.918295197926845
trans-large,en.ndtv.com.13152::6,18,SentBLEU,41.125673730219255
trans-large,en.ndtv.com.13152::7,19,SentBLEU,55.02504417373573
trans-large,en.ndtv.com.13152::8,20,SentBLEU,13.912451563775244
trans-large,en.ndtv.com.13152::9,21,SentBLEU,26.99667865229383
trans-large,en.ndtv.com.13152::10,22,SentBLEU,41.10424331812192
trans-large,en.ndtv.com.13152::11,23,SentBLEU,68.51573964703991
trans-large,cnn.385674::1,24,SentBLEU,62.38986072117502
trans-large,cnn.385674::2,25,SentBLEU,44.03332741797266
trans-large,cnn.385674::3,26,SentBLEU,25.913781262410268
trans-large,cnn.385674::4,27,SentBLEU,13.32358437599213
trans-large,cnn.385674::5,28,SentBLEU,48.185239452168965
trans-large,cnn.385674::6,29,SentBLEU,13.885567658822255
trans-large,cnn.385674::7,30,SentBLEU,81.3105350209578
trans-large,cnn.385674::8,31,SentBLEU,9.562406574442017
trans-large,cnn.385674::9,32,SentBLEU,65.89230570157822
trans-large,cnn.385674::10,33,SentBLEU,23.096210721005317
