SYS,seg_id,set_id,metric,score
zlabs-nlp.179,independent.281139::1,0,Prism-src,-1.4746882
zlabs-nlp.179,independent.281139::2,1,Prism-src,-0.6618865
zlabs-nlp.179,independent.281139::3,2,Prism-src,-0.70135725
zlabs-nlp.179,independent.281139::4,3,Prism-src,-1.429211
zlabs-nlp.179,independent.281139::5,4,Prism-src,-0.68956697
zlabs-nlp.179,independent.281139::6,5,Prism-src,-0.9178649
zlabs-nlp.179,independent.281139::7,6,Prism-src,-0.8063089
zlabs-nlp.179,independent.281139::8,7,Prism-src,-0.46986973
zlabs-nlp.179,independent.281139::9,8,Prism-src,-0.49806926
zlabs-nlp.179,independent.281139::10,9,Prism-src,-0.67179185
zlabs-nlp.179,independent.281139::11,10,Prism-src,-0.85299885
zlabs-nlp.179,independent.281139::12,11,Prism-src,-0.5543403
zlabs-nlp.179,independent.281139::13,12,Prism-src,-0.66823286
zlabs-nlp.179,en.ndtv.com.13152::1,13,Prism-src,-2.0727115
zlabs-nlp.179,en.ndtv.com.13152::2,14,Prism-src,-0.45300007
zlabs-nlp.179,en.ndtv.com.13152::3,15,Prism-src,-0.7947466
zlabs-nlp.179,en.ndtv.com.13152::4,16,Prism-src,-1.5818524
zlabs-nlp.179,en.ndtv.com.13152::5,17,Prism-src,-0.5596829
zlabs-nlp.179,en.ndtv.com.13152::6,18,Prism-src,-0.46913144
zlabs-nlp.179,en.ndtv.com.13152::7,19,Prism-src,-0.66646314
zlabs-nlp.179,en.ndtv.com.13152::8,20,Prism-src,-0.80045104
zlabs-nlp.179,en.ndtv.com.13152::9,21,Prism-src,-0.8730151
zlabs-nlp.179,en.ndtv.com.13152::10,22,Prism-src,-0.69902235
zlabs-nlp.179,en.ndtv.com.13152::11,23,Prism-src,-0.85468394
zlabs-nlp.179,cnn.385674::1,24,Prism-src,-0.3826576
zlabs-nlp.179,cnn.385674::2,25,Prism-src,-1.0072303
zlabs-nlp.179,cnn.385674::3,26,Prism-src,-0.87990963
zlabs-nlp.179,cnn.385674::4,27,Prism-src,-1.6794991
zlabs-nlp.179,cnn.385674::5,28,Prism-src,-0.70088106
zlabs-nlp.179,cnn.385674::6,29,Prism-src,-1.4009169
zlabs-nlp.179,cnn.385674::7,30,Prism-src,-0.6249318
zlabs-nlp.179,cnn.385674::8,31,Prism-src,-0.65480983
zlabs-nlp.179,cnn.385674::9,32,Prism-src,-0.58604956
zlabs-nlp.179,cnn.385674::10,33,Prism-src,-0.9866437
zlabs-nlp.179,seattle_times.7755::1,34,Prism-src,-2.0379906
zlabs-nlp.179,seattle_times.7755::2,35,Prism-src,-1.3793905
zlabs-nlp.179,seattle_times.7755::3,36,Prism-src,-1.0242336
zlabs-nlp.179,seattle_times.7755::4,37,Prism-src,-0.48170128
zlabs-nlp.179,seattle_times.7755::5,38,Prism-src,-0.67686075
zlabs-nlp.179,seattle_times.7755::6,39,Prism-src,-1.5540819
zlabs-nlp.179,reuters.276709::1,40,Prism-src,-1.3958434
zlabs-nlp.179,reuters.276709::2,41,Prism-src,-0.68583137
zlabs-nlp.179,reuters.276709::3,42,Prism-src,-1.1036085
zlabs-nlp.179,reuters.276709::4,43,Prism-src,-0.6352481
zlabs-nlp.179,reuters.276709::5,44,Prism-src,-0.58156264
zlabs-nlp.179,reuters.276709::6,45,Prism-src,-0.59722036
zlabs-nlp.179,reuters.276709::7,46,Prism-src,-0.66194916
zlabs-nlp.179,reuters.276709::8,47,Prism-src,-0.7344735
zlabs-nlp.179,reuters.276709::9,48,Prism-src,-0.7527754
zlabs-nlp.179,reuters.276709::10,49,Prism-src,-0.56138563
zlabs-nlp.179,reuters.276709::11,50,Prism-src,-0.9512043
zlabs-nlp.179,reuters.276709::12,51,Prism-src,-0.60154825
zlabs-nlp.179,reuters.276709::13,52,Prism-src,-0.66854334
zlabs-nlp.179,rt.com.113906::1,53,Prism-src,-0.68402416
zlabs-nlp.179,rt.com.113906::2,54,Prism-src,-0.60603154
zlabs-nlp.179,rt.com.113906::3,55,Prism-src,-2.5298603
zlabs-nlp.179,rt.com.113906::4,56,Prism-src,-0.46553528
zlabs-nlp.179,rt.com.113906::5,57,Prism-src,-0.52398276
zlabs-nlp.179,rt.com.113906::6,58,Prism-src,-1.0437714
zlabs-nlp.179,rt.com.113906::7,59,Prism-src,-0.79452544
zlabs-nlp.179,stv.tv.21636::1,60,Prism-src,-1.12137
zlabs-nlp.179,stv.tv.21636::2,61,Prism-src,-0.5281302
zlabs-nlp.179,stv.tv.21636::3,62,Prism-src,-0.3928046
zlabs-nlp.179,stv.tv.21636::4,63,Prism-src,-0.7204461
zlabs-nlp.179,stv.tv.21636::5,64,Prism-src,-0.68636644
zlabs-nlp.179,stv.tv.21636::6,65,Prism-src,-0.6631335
zlabs-nlp.179,stv.tv.21636::7,66,Prism-src,-0.7609579
zlabs-nlp.179,stv.tv.21636::8,67,Prism-src,-0.34671527
zlabs-nlp.179,stv.tv.21636::9,68,Prism-src,-0.39229083
zlabs-nlp.179,stv.tv.21636::10,69,Prism-src,-0.6281356
zlabs-nlp.179,stv.tv.21636::11,70,Prism-src,-0.84438396
zlabs-nlp.179,stv.tv.21636::12,71,Prism-src,-0.6886304
zlabs-nlp.179,stv.tv.21636::13,72,Prism-src,-0.8171825
zlabs-nlp.179,stv.tv.21636::14,73,Prism-src,-0.6921899
zlabs-nlp.179,stv.tv.21636::15,74,Prism-src,-0.66854703
zlabs-nlp.179,stv.tv.21636::16,75,Prism-src,-0.70740616
zlabs-nlp.179,stv.tv.21636::17,76,Prism-src,-2.333076
zlabs-nlp.179,en.ndtv.com.12997::1,77,Prism-src,-2.964746
zlabs-nlp.179,en.ndtv.com.12997::2,78,Prism-src,-0.82896906
zlabs-nlp.179,en.ndtv.com.12997::3,79,Prism-src,-0.43918338
zlabs-nlp.179,en.ndtv.com.12997::4,80,Prism-src,-0.90173435
zlabs-nlp.179,en.ndtv.com.12997::5,81,Prism-src,-0.6192978
zlabs-nlp.179,en.ndtv.com.12997::6,82,Prism-src,-0.45292997
zlabs-nlp.179,en.ndtv.com.12997::7,83,Prism-src,-0.4753202
zlabs-nlp.179,en.ndtv.com.12997::8,84,Prism-src,-0.92662793
zlabs-nlp.179,en.ndtv.com.12997::9,85,Prism-src,-0.8232031
zlabs-nlp.179,en.ndtv.com.12997::10,86,Prism-src,-0.9157082
zlabs-nlp.179,en.ndtv.com.12997::11,87,Prism-src,-0.9346987
zlabs-nlp.179,en.ndtv.com.12997::12,88,Prism-src,-0.6416622
zlabs-nlp.179,en.ndtv.com.12997::13,89,Prism-src,-0.67493755
zlabs-nlp.179,en.ndtv.com.12997::14,90,Prism-src,-0.5180855
zlabs-nlp.179,en.ndtv.com.12997::15,91,Prism-src,-0.51365006
zlabs-nlp.179,en.ndtv.com.12997::16,92,Prism-src,-0.5772832
zlabs-nlp.179,en.ndtv.com.12997::17,93,Prism-src,-1.0168412
zlabs-nlp.179,en.ndtv.com.12997::18,94,Prism-src,-0.7686415
zlabs-nlp.179,en.ndtv.com.12997::19,95,Prism-src,-1.2792327
zlabs-nlp.179,en.ndtv.com.12997::20,96,Prism-src,-0.5368498
zlabs-nlp.179,en.ndtv.com.12997::21,97,Prism-src,-1.0414972
zlabs-nlp.179,en.ndtv.com.12997::22,98,Prism-src,-0.5268229
zlabs-nlp.179,en.ndtv.com.12997::23,99,Prism-src,-1.0750678
zlabs-nlp.179,en.ndtv.com.12997::24,100,Prism-src,-0.51041055
zlabs-nlp.179,rte.en.ie.5333::1,101,Prism-src,-2.8449156
zlabs-nlp.179,rte.en.ie.5333::2,102,Prism-src,-1.5750356
zlabs-nlp.179,rte.en.ie.5333::3,103,Prism-src,-0.7810125
zlabs-nlp.179,rte.en.ie.5333::4,104,Prism-src,-0.38965324
zlabs-nlp.179,rte.en.ie.5333::5,105,Prism-src,-0.9066883
zlabs-nlp.179,rte.en.ie.5333::6,106,Prism-src,-0.486938
zlabs-nlp.179,rte.en.ie.5333::7,107,Prism-src,-0.8233776
zlabs-nlp.179,rte.en.ie.5333::8,108,Prism-src,-1.4420514
zlabs-nlp.179,rte.en.ie.5333::9,109,Prism-src,-0.49142075
zlabs-nlp.179,rte.en.ie.5333::10,110,Prism-src,-2.263993
zlabs-nlp.179,rte.en.ie.5333::11,111,Prism-src,-1.1243817
zlabs-nlp.179,rte.en.ie.5333::12,112,Prism-src,-0.7379771
zlabs-nlp.179,rte.en.ie.5333::13,113,Prism-src,-1.133024
zlabs-nlp.179,upi.205660::1,114,Prism-src,-0.9033831
zlabs-nlp.179,upi.205660::2,115,Prism-src,-1.1940203
zlabs-nlp.179,upi.205660::3,116,Prism-src,-1.007548
zlabs-nlp.179,upi.205660::4,117,Prism-src,-1.1238552
zlabs-nlp.179,upi.205660::5,118,Prism-src,-0.8285654
zlabs-nlp.179,upi.205660::6,119,Prism-src,-0.7314423
zlabs-nlp.179,upi.205660::7,120,Prism-src,-1.1464055
zlabs-nlp.179,upi.205660::8,121,Prism-src,-1.2173178
zlabs-nlp.179,cnbc.com.33889::1,122,Prism-src,-1.2606577
zlabs-nlp.179,cnbc.com.33889::2,123,Prism-src,-2.58927
zlabs-nlp.179,cnbc.com.33889::3,124,Prism-src,-0.62383866
zlabs-nlp.179,cnbc.com.33889::4,125,Prism-src,-1.0182545
zlabs-nlp.179,cnbc.com.33889::5,126,Prism-src,-0.7409011
zlabs-nlp.179,cnbc.com.33889::6,127,Prism-src,-1.3700519
zlabs-nlp.179,cnbc.com.33889::7,128,Prism-src,-0.66807914
zlabs-nlp.179,cnbc.com.33889::8,129,Prism-src,-1.9968864
zlabs-nlp.179,cnbc.com.33889::9,130,Prism-src,-0.85126275
zlabs-nlp.179,cnbc.com.33889::10,131,Prism-src,-0.99581754
zlabs-nlp.179,cnn.385672::1,132,Prism-src,-1.9831387
zlabs-nlp.179,cnn.385672::2,133,Prism-src,-1.2044641
zlabs-nlp.179,cnn.385672::3,134,Prism-src,-1.2382421
zlabs-nlp.179,cnn.385672::4,135,Prism-src,-0.452227
zlabs-nlp.179,cnn.385672::5,136,Prism-src,-0.44645044
zlabs-nlp.179,cnn.385672::6,137,Prism-src,-0.89826167
zlabs-nlp.179,brisbanetimes.com.au.225990::1,138,Prism-src,-1.620713
zlabs-nlp.179,brisbanetimes.com.au.225990::2,139,Prism-src,-1.1390828
zlabs-nlp.179,brisbanetimes.com.au.225990::3,140,Prism-src,-0.7450116
zlabs-nlp.179,brisbanetimes.com.au.225990::4,141,Prism-src,-0.78192455
zlabs-nlp.179,brisbanetimes.com.au.225990::5,142,Prism-src,-1.0933069
zlabs-nlp.179,brisbanetimes.com.au.225990::6,143,Prism-src,-0.6703313
zlabs-nlp.179,brisbanetimes.com.au.225990::7,144,Prism-src,-1.1920304
zlabs-nlp.179,brisbanetimes.com.au.225990::8,145,Prism-src,-1.0930582
zlabs-nlp.179,brisbanetimes.com.au.225990::9,146,Prism-src,-1.3554288
zlabs-nlp.179,brisbanetimes.com.au.225990::10,147,Prism-src,-0.74922115
zlabs-nlp.179,brisbanetimes.com.au.225990::11,148,Prism-src,-0.6067131
zlabs-nlp.179,brisbanetimes.com.au.225990::12,149,Prism-src,-1.0765678
zlabs-nlp.179,brisbanetimes.com.au.225990::13,150,Prism-src,-0.6109507
zlabs-nlp.179,seattle_times.7043::1,151,Prism-src,-3.2886572
zlabs-nlp.179,seattle_times.7043::2,152,Prism-src,-0.6867159
zlabs-nlp.179,seattle_times.7043::3,153,Prism-src,-1.0801991
zlabs-nlp.179,seattle_times.7043::4,154,Prism-src,-1.0150754
zlabs-nlp.179,seattle_times.7043::5,155,Prism-src,-1.7771231
zlabs-nlp.179,seattle_times.7043::6,156,Prism-src,-0.53799796
zlabs-nlp.179,seattle_times.7043::7,157,Prism-src,-1.2705628
zlabs-nlp.179,seattle_times.7043::8,158,Prism-src,-1.6614108
zlabs-nlp.179,seattle_times.7043::9,159,Prism-src,-0.7289245
zlabs-nlp.179,seattle_times.7043::10,160,Prism-src,-0.5870501
zlabs-nlp.179,seattle_times.7043::11,161,Prism-src,-2.8212323
zlabs-nlp.179,seattle_times.7043::12,162,Prism-src,-0.6483934
zlabs-nlp.179,seattle_times.7043::13,163,Prism-src,-0.9284208
zlabs-nlp.179,seattle_times.7657::1,164,Prism-src,-1.8186603
zlabs-nlp.179,seattle_times.7657::2,165,Prism-src,-0.93804204
zlabs-nlp.179,seattle_times.7657::3,166,Prism-src,-0.8484562
zlabs-nlp.179,seattle_times.7657::4,167,Prism-src,-0.2854919
zlabs-nlp.179,seattle_times.7657::5,168,Prism-src,-0.8015324
zlabs-nlp.179,seattle_times.7657::6,169,Prism-src,-0.9691872
zlabs-nlp.179,seattle_times.7657::7,170,Prism-src,-0.534935
zlabs-nlp.179,seattle_times.7657::8,171,Prism-src,-0.938162
zlabs-nlp.179,cnbc.com.33999::1,172,Prism-src,-0.64559275
zlabs-nlp.179,cnbc.com.33999::2,173,Prism-src,-0.9924184
zlabs-nlp.179,cnbc.com.33999::3,174,Prism-src,-0.6092026
zlabs-nlp.179,cnbc.com.33999::4,175,Prism-src,-0.73663086
zlabs-nlp.179,cnbc.com.33999::5,176,Prism-src,-1.7695628
zlabs-nlp.179,cnbc.com.33999::6,177,Prism-src,-1.9540946
zlabs-nlp.179,cnbc.com.33999::7,178,Prism-src,-1.1903554
zlabs-nlp.179,en.ndtv.com.13090::1,179,Prism-src,-1.8427829
zlabs-nlp.179,en.ndtv.com.13090::2,180,Prism-src,-0.88157946
zlabs-nlp.179,en.ndtv.com.13090::3,181,Prism-src,-0.93201727
zlabs-nlp.179,en.ndtv.com.13090::4,182,Prism-src,-0.6777468
zlabs-nlp.179,en.ndtv.com.13090::5,183,Prism-src,-1.0234985
zlabs-nlp.179,en.ndtv.com.13090::6,184,Prism-src,-0.881101
zlabs-nlp.179,en.ndtv.com.13090::7,185,Prism-src,-0.38800412
zlabs-nlp.179,en.ndtv.com.13090::8,186,Prism-src,-0.6995784
zlabs-nlp.179,cnbc.com.33995::1,187,Prism-src,-2.5292315
zlabs-nlp.179,cnbc.com.33995::2,188,Prism-src,-0.35334787
zlabs-nlp.179,cnbc.com.33995::3,189,Prism-src,-0.88116485
zlabs-nlp.179,cnbc.com.33995::4,190,Prism-src,-1.8457216
zlabs-nlp.179,cnbc.com.33995::5,191,Prism-src,-0.6655406
zlabs-nlp.179,cnbc.com.33995::6,192,Prism-src,-1.2962873
zlabs-nlp.179,cnbc.com.33995::7,193,Prism-src,-1.0076
zlabs-nlp.179,cnbc.com.33995::8,194,Prism-src,-0.9418908
zlabs-nlp.179,cnbc.com.33995::9,195,Prism-src,-0.61711746
zlabs-nlp.179,cnbc.com.33995::10,196,Prism-src,-0.6280681
zlabs-nlp.179,cnbc.com.33995::11,197,Prism-src,-0.6852206
zlabs-nlp.179,cnbc.com.33995::12,198,Prism-src,-1.445704
