SYS,seg_id,set_id,metric,score
zlabs-nlp.179,independent.281139::1,0,SentBLEU,51.51630664996672
zlabs-nlp.179,independent.281139::2,1,SentBLEU,52.17592866832708
zlabs-nlp.179,independent.281139::3,2,SentBLEU,40.23438949131329
zlabs-nlp.179,independent.281139::4,3,SentBLEU,8.301095462822577
zlabs-nlp.179,independent.281139::5,4,SentBLEU,39.31751970816707
zlabs-nlp.179,independent.281139::6,5,SentBLEU,40.25840702706702
zlabs-nlp.179,independent.281139::7,6,SentBLEU,24.275696005907676
zlabs-nlp.179,independent.281139::8,7,SentBLEU,58.34013760490866
zlabs-nlp.179,independent.281139::9,8,SentBLEU,41.35980309544383
zlabs-nlp.179,independent.281139::10,9,SentBLEU,41.440274802192434
zlabs-nlp.179,independent.281139::11,10,SentBLEU,15.511550090520096
zlabs-nlp.179,independent.281139::12,11,SentBLEU,36.658827296012404
zlabs-nlp.179,independent.281139::13,12,SentBLEU,41.16597006597376
zlabs-nlp.179,en.ndtv.com.13152::1,13,SentBLEU,8.913765521398126
zlabs-nlp.179,en.ndtv.com.13152::2,14,SentBLEU,27.516060407455225
zlabs-nlp.179,en.ndtv.com.13152::3,15,SentBLEU,34.33899498516877
zlabs-nlp.179,en.ndtv.com.13152::4,16,SentBLEU,29.542724398610694
zlabs-nlp.179,en.ndtv.com.13152::5,17,SentBLEU,46.66462142151646
zlabs-nlp.179,en.ndtv.com.13152::6,18,SentBLEU,46.93252714697763
zlabs-nlp.179,en.ndtv.com.13152::7,19,SentBLEU,25.23507704045085
zlabs-nlp.179,en.ndtv.com.13152::8,20,SentBLEU,20.897092617794314
zlabs-nlp.179,en.ndtv.com.13152::9,21,SentBLEU,31.76144911653381
zlabs-nlp.179,en.ndtv.com.13152::10,22,SentBLEU,50.77086003234206
zlabs-nlp.179,en.ndtv.com.13152::11,23,SentBLEU,72.67082029274464
zlabs-nlp.179,cnn.385674::1,24,SentBLEU,67.39047062564734
zlabs-nlp.179,cnn.385674::2,25,SentBLEU,43.144372312177126
zlabs-nlp.179,cnn.385674::3,26,SentBLEU,26.606562428641524
zlabs-nlp.179,cnn.385674::4,27,SentBLEU,20.14941615706457
zlabs-nlp.179,cnn.385674::5,28,SentBLEU,42.651367262486694
zlabs-nlp.179,cnn.385674::6,29,SentBLEU,22.17134184444322
zlabs-nlp.179,cnn.385674::7,30,SentBLEU,79.91180543446784
zlabs-nlp.179,cnn.385674::8,31,SentBLEU,18.101500231755598
zlabs-nlp.179,cnn.385674::9,32,SentBLEU,65.49810794978437
zlabs-nlp.179,cnn.385674::10,33,SentBLEU,33.051638516974975
zlabs-nlp.179,seattle_times.7755::1,34,SentBLEU,7.635362674858095
zlabs-nlp.179,seattle_times.7755::2,35,SentBLEU,42.34803735814185
zlabs-nlp.179,seattle_times.7755::3,36,SentBLEU,30.277029197532105
zlabs-nlp.179,seattle_times.7755::4,37,SentBLEU,58.1258418627647
zlabs-nlp.179,seattle_times.7755::5,38,SentBLEU,36.13842502281085
zlabs-nlp.179,seattle_times.7755::6,39,SentBLEU,21.129207793471778
zlabs-nlp.179,reuters.276709::1,40,SentBLEU,27.901593935858266
zlabs-nlp.179,reuters.276709::2,41,SentBLEU,49.43625209190443
zlabs-nlp.179,reuters.276709::3,42,SentBLEU,26.032438014614304
zlabs-nlp.179,reuters.276709::4,43,SentBLEU,33.69984258053221
zlabs-nlp.179,reuters.276709::5,44,SentBLEU,52.89663742569292
zlabs-nlp.179,reuters.276709::6,45,SentBLEU,42.165576286139114
zlabs-nlp.179,reuters.276709::7,46,SentBLEU,84.25679526147808
zlabs-nlp.179,reuters.276709::8,47,SentBLEU,35.78873605329354
zlabs-nlp.179,reuters.276709::9,48,SentBLEU,37.016455705102445
zlabs-nlp.179,reuters.276709::10,49,SentBLEU,56.383098413431554
zlabs-nlp.179,reuters.276709::11,50,SentBLEU,10.392401400629154
zlabs-nlp.179,reuters.276709::12,51,SentBLEU,37.29611481784944
zlabs-nlp.179,reuters.276709::13,52,SentBLEU,53.07741209635817
zlabs-nlp.179,rt.com.113906::1,53,SentBLEU,30.23266713085593
zlabs-nlp.179,rt.com.113906::2,54,SentBLEU,49.058717156216545
zlabs-nlp.179,rt.com.113906::3,55,SentBLEU,3.712934101015684
zlabs-nlp.179,rt.com.113906::4,56,SentBLEU,50.46800952719235
zlabs-nlp.179,rt.com.113906::5,57,SentBLEU,48.46180202807096
zlabs-nlp.179,rt.com.113906::6,58,SentBLEU,22.632579456398922
zlabs-nlp.179,rt.com.113906::7,59,SentBLEU,46.94413355850624
zlabs-nlp.179,stv.tv.21636::1,60,SentBLEU,5.117229509364272
zlabs-nlp.179,stv.tv.21636::2,61,SentBLEU,20.27631933580172
zlabs-nlp.179,stv.tv.21636::3,62,SentBLEU,41.928833945381264
zlabs-nlp.179,stv.tv.21636::4,63,SentBLEU,43.18979094045335
zlabs-nlp.179,stv.tv.21636::5,64,SentBLEU,41.825873738543336
zlabs-nlp.179,stv.tv.21636::6,65,SentBLEU,15.407175464655095
zlabs-nlp.179,stv.tv.21636::7,66,SentBLEU,14.431297478185305
zlabs-nlp.179,stv.tv.21636::8,67,SentBLEU,67.04226838163336
zlabs-nlp.179,stv.tv.21636::9,68,SentBLEU,42.43702010701262
zlabs-nlp.179,stv.tv.21636::10,69,SentBLEU,29.627274305955204
zlabs-nlp.179,stv.tv.21636::11,70,SentBLEU,25.703659782936544
zlabs-nlp.179,stv.tv.21636::12,71,SentBLEU,12.196420039974855
zlabs-nlp.179,stv.tv.21636::13,72,SentBLEU,37.427151611677935
zlabs-nlp.179,stv.tv.21636::14,73,SentBLEU,46.962578832600755
zlabs-nlp.179,stv.tv.21636::15,74,SentBLEU,31.289642945951922
zlabs-nlp.179,stv.tv.21636::16,75,SentBLEU,61.75225762364679
zlabs-nlp.179,stv.tv.21636::17,76,SentBLEU,2.2610635765124276
zlabs-nlp.179,en.ndtv.com.12997::1,77,SentBLEU,4.02724819242185
zlabs-nlp.179,en.ndtv.com.12997::2,78,SentBLEU,37.5022891676693
zlabs-nlp.179,en.ndtv.com.12997::3,79,SentBLEU,59.87193387185982
zlabs-nlp.179,en.ndtv.com.12997::4,80,SentBLEU,36.04297600130007
zlabs-nlp.179,en.ndtv.com.12997::5,81,SentBLEU,37.69067702313552
zlabs-nlp.179,en.ndtv.com.12997::6,82,SentBLEU,59.759698176025026
zlabs-nlp.179,en.ndtv.com.12997::7,83,SentBLEU,58.75355186743589
zlabs-nlp.179,en.ndtv.com.12997::8,84,SentBLEU,19.698698937777433
zlabs-nlp.179,en.ndtv.com.12997::9,85,SentBLEU,31.370271080189546
zlabs-nlp.179,en.ndtv.com.12997::10,86,SentBLEU,36.51171690745112
zlabs-nlp.179,en.ndtv.com.12997::11,87,SentBLEU,33.81926863733484
zlabs-nlp.179,en.ndtv.com.12997::12,88,SentBLEU,53.63562070967674
zlabs-nlp.179,en.ndtv.com.12997::13,89,SentBLEU,52.08925589723251
zlabs-nlp.179,en.ndtv.com.12997::14,90,SentBLEU,43.82045195332391
zlabs-nlp.179,en.ndtv.com.12997::15,91,SentBLEU,38.252042377123665
zlabs-nlp.179,en.ndtv.com.12997::16,92,SentBLEU,45.30584878867884
zlabs-nlp.179,en.ndtv.com.12997::17,93,SentBLEU,47.807272627538595
zlabs-nlp.179,en.ndtv.com.12997::18,94,SentBLEU,42.6291379422223
zlabs-nlp.179,en.ndtv.com.12997::19,95,SentBLEU,12.656494026948833
zlabs-nlp.179,en.ndtv.com.12997::20,96,SentBLEU,25.141735136838097
zlabs-nlp.179,en.ndtv.com.12997::21,97,SentBLEU,30.648595997659072
zlabs-nlp.179,en.ndtv.com.12997::22,98,SentBLEU,64.0704691837551
zlabs-nlp.179,en.ndtv.com.12997::23,99,SentBLEU,18.536097616625426
zlabs-nlp.179,en.ndtv.com.12997::24,100,SentBLEU,28.957858614822932
zlabs-nlp.179,rte.en.ie.5333::1,101,SentBLEU,7.809849842300637
zlabs-nlp.179,rte.en.ie.5333::2,102,SentBLEU,12.03921753741131
zlabs-nlp.179,rte.en.ie.5333::3,103,SentBLEU,33.15469975410276
zlabs-nlp.179,rte.en.ie.5333::4,104,SentBLEU,54.42191092561397
zlabs-nlp.179,rte.en.ie.5333::5,105,SentBLEU,57.23452380589047
zlabs-nlp.179,rte.en.ie.5333::6,106,SentBLEU,47.30022487962835
zlabs-nlp.179,rte.en.ie.5333::7,107,SentBLEU,11.306082351602983
zlabs-nlp.179,rte.en.ie.5333::8,108,SentBLEU,18.675069843307515
zlabs-nlp.179,rte.en.ie.5333::9,109,SentBLEU,78.59209095008704
zlabs-nlp.179,rte.en.ie.5333::10,110,SentBLEU,2.4623373672221804
zlabs-nlp.179,rte.en.ie.5333::11,111,SentBLEU,28.49395883788969
zlabs-nlp.179,rte.en.ie.5333::12,112,SentBLEU,14.247788801610149
zlabs-nlp.179,rte.en.ie.5333::13,113,SentBLEU,23.488739863854306
zlabs-nlp.179,upi.205660::1,114,SentBLEU,29.84745896009822
