SYS,seg_id,set_id,metric,score
zlabs-nlp.179,independent.281139::1,0,TER,-53.99999999999999
zlabs-nlp.179,independent.281139::2,1,TER,-51.42857142857144
zlabs-nlp.179,independent.281139::3,2,TER,-44.628099173553714
zlabs-nlp.179,independent.281139::4,3,TER,-63.38028169014084
zlabs-nlp.179,independent.281139::5,4,TER,-46.15384615384615
zlabs-nlp.179,independent.281139::6,5,TER,-47.22222222222222
zlabs-nlp.179,independent.281139::7,6,TER,-68.18181818181819
zlabs-nlp.179,independent.281139::8,7,TER,-33.70786516853933
zlabs-nlp.179,independent.281139::9,8,TER,-60.0
zlabs-nlp.179,independent.281139::10,9,TER,-51.13636363636363
zlabs-nlp.179,independent.281139::11,10,TER,-52.38095238095239
zlabs-nlp.179,independent.281139::12,11,TER,-43.75
zlabs-nlp.179,independent.281139::13,12,TER,-59.09090909090909
zlabs-nlp.179,en.ndtv.com.13152::1,13,TER,-56.25
zlabs-nlp.179,en.ndtv.com.13152::2,14,TER,-200.0
zlabs-nlp.179,en.ndtv.com.13152::3,15,TER,-40.0
zlabs-nlp.179,en.ndtv.com.13152::4,16,TER,-60.902255639097746
zlabs-nlp.179,en.ndtv.com.13152::5,17,TER,-36.11111111111111
zlabs-nlp.179,en.ndtv.com.13152::6,18,TER,-41.48936170212766
zlabs-nlp.179,en.ndtv.com.13152::7,19,TER,-53.84615384615385
zlabs-nlp.179,en.ndtv.com.13152::8,20,TER,-60.7361963190184
zlabs-nlp.179,en.ndtv.com.13152::9,21,TER,-54.807692307692314
zlabs-nlp.179,en.ndtv.com.13152::10,22,TER,-33.75
zlabs-nlp.179,en.ndtv.com.13152::11,23,TER,-32.3943661971831
zlabs-nlp.179,cnn.385674::1,24,TER,-14.634146341463417
zlabs-nlp.179,cnn.385674::2,25,TER,-28.125
zlabs-nlp.179,cnn.385674::3,26,TER,-54.54545454545454
zlabs-nlp.179,cnn.385674::4,27,TER,-64.86486486486486
zlabs-nlp.179,cnn.385674::5,28,TER,-55.86206896551724
zlabs-nlp.179,cnn.385674::6,29,TER,-70.12987012987013
zlabs-nlp.179,cnn.385674::7,30,TER,-19.230769230769234
zlabs-nlp.179,cnn.385674::8,31,TER,-55.26315789473685
zlabs-nlp.179,cnn.385674::9,32,TER,-43.75
zlabs-nlp.179,cnn.385674::10,33,TER,-58.82352941176471
zlabs-nlp.179,seattle_times.7755::1,34,TER,-80.0
zlabs-nlp.179,seattle_times.7755::2,35,TER,-58.06451612903226
zlabs-nlp.179,seattle_times.7755::3,36,TER,-50.56179775280899
zlabs-nlp.179,seattle_times.7755::4,37,TER,-28.30188679245283
zlabs-nlp.179,seattle_times.7755::5,38,TER,-60.0
zlabs-nlp.179,seattle_times.7755::6,39,TER,-55.434782608695656
