SYS,seg_id,set_id,metric,score
zlabs-nlp.179,independent.281139::1,0,ensemble,88.73673386345997
zlabs-nlp.179,independent.281139::2,1,ensemble,89.22301837710046
zlabs-nlp.179,independent.281139::3,2,ensemble,89.02857508077909
zlabs-nlp.179,independent.281139::4,3,ensemble,88.38912876858159
zlabs-nlp.179,independent.281139::5,4,ensemble,91.27057839135071
zlabs-nlp.179,independent.281139::6,5,ensemble,87.24499579417308
zlabs-nlp.179,independent.281139::7,6,ensemble,88.48062285738352
zlabs-nlp.179,independent.281139::8,7,ensemble,90.52599189720605
zlabs-nlp.179,independent.281139::9,8,ensemble,90.4142858592631
zlabs-nlp.179,independent.281139::10,9,ensemble,91.05512888503843
zlabs-nlp.179,independent.281139::11,10,ensemble,89.0761123316025
zlabs-nlp.179,independent.281139::12,11,ensemble,88.04794376235029
zlabs-nlp.179,independent.281139::13,12,ensemble,89.66206667723853
zlabs-nlp.179,en.ndtv.com.13152::1,13,ensemble,83.49170938133804
zlabs-nlp.179,en.ndtv.com.13152::2,14,ensemble,90.48534788042333
zlabs-nlp.179,en.ndtv.com.13152::3,15,ensemble,90.06519016637507
zlabs-nlp.179,en.ndtv.com.13152::4,16,ensemble,82.26264756134032
zlabs-nlp.179,en.ndtv.com.13152::5,17,ensemble,91.0734047794433
zlabs-nlp.179,en.ndtv.com.13152::6,18,ensemble,89.99367688034872
zlabs-nlp.179,en.ndtv.com.13152::7,19,ensemble,91.35556923372309
zlabs-nlp.179,en.ndtv.com.13152::8,20,ensemble,88.99267413351598
zlabs-nlp.179,en.ndtv.com.13152::9,21,ensemble,90.2636430937819
zlabs-nlp.179,en.ndtv.com.13152::10,22,ensemble,89.3853495360534
zlabs-nlp.179,en.ndtv.com.13152::11,23,ensemble,88.68161140295396
zlabs-nlp.179,cnn.385674::1,24,ensemble,92.03189426063003
zlabs-nlp.179,cnn.385674::2,25,ensemble,90.57314443878474
zlabs-nlp.179,cnn.385674::3,26,ensemble,88.27169865087757
zlabs-nlp.179,cnn.385674::4,27,ensemble,82.0353631274328
zlabs-nlp.179,cnn.385674::5,28,ensemble,84.30730210588239
zlabs-nlp.179,cnn.385674::6,29,ensemble,84.63182737780296
zlabs-nlp.179,cnn.385674::7,30,ensemble,91.16570364788755
zlabs-nlp.179,cnn.385674::8,31,ensemble,91.08873146464266
zlabs-nlp.179,cnn.385674::9,32,ensemble,91.04964935796244
zlabs-nlp.179,cnn.385674::10,33,ensemble,86.13748389685793
zlabs-nlp.179,seattle_times.7755::1,34,ensemble,86.22810664366284
zlabs-nlp.179,seattle_times.7755::2,35,ensemble,82.02386014353337
zlabs-nlp.179,seattle_times.7755::3,36,ensemble,86.58101590935766
zlabs-nlp.179,seattle_times.7755::4,37,ensemble,90.27603159405099
zlabs-nlp.179,seattle_times.7755::5,38,ensemble,89.65687466690392
zlabs-nlp.179,seattle_times.7755::6,39,ensemble,86.65986346044274
zlabs-nlp.179,reuters.276709::1,40,ensemble,87.5682666558114
zlabs-nlp.179,reuters.276709::2,41,ensemble,90.60878149890111
zlabs-nlp.179,reuters.276709::3,42,ensemble,89.25226121854345
zlabs-nlp.179,reuters.276709::4,43,ensemble,90.92159685178056
zlabs-nlp.179,reuters.276709::5,44,ensemble,90.68712656746195
zlabs-nlp.179,reuters.276709::6,45,ensemble,90.66080787191973
zlabs-nlp.179,reuters.276709::7,46,ensemble,87.17170360667214
zlabs-nlp.179,reuters.276709::8,47,ensemble,85.21944201251489
zlabs-nlp.179,reuters.276709::9,48,ensemble,90.75483389812221
zlabs-nlp.179,reuters.276709::10,49,ensemble,90.38292408707728
zlabs-nlp.179,reuters.276709::11,50,ensemble,88.41543439757707
zlabs-nlp.179,reuters.276709::12,51,ensemble,90.71520347626641
zlabs-nlp.179,reuters.276709::13,52,ensemble,90.60133956219529
zlabs-nlp.179,rt.com.113906::1,53,ensemble,91.23775129563359
zlabs-nlp.179,rt.com.113906::2,54,ensemble,91.42498151854748
zlabs-nlp.179,rt.com.113906::3,55,ensemble,84.19263497364871
zlabs-nlp.179,rt.com.113906::4,56,ensemble,91.39159454658012
zlabs-nlp.179,rt.com.113906::5,57,ensemble,91.78293112570591
zlabs-nlp.179,rt.com.113906::6,58,ensemble,87.807202810221
zlabs-nlp.179,rt.com.113906::7,59,ensemble,89.61225618506329
zlabs-nlp.179,stv.tv.21636::1,60,ensemble,88.00969164217105
zlabs-nlp.179,stv.tv.21636::2,61,ensemble,90.41975564746154
zlabs-nlp.179,stv.tv.21636::3,62,ensemble,91.58393366193246
zlabs-nlp.179,stv.tv.21636::4,63,ensemble,90.94577997016721
zlabs-nlp.179,stv.tv.21636::5,64,ensemble,90.67951259771002
zlabs-nlp.179,stv.tv.21636::6,65,ensemble,88.37126997231633
zlabs-nlp.179,stv.tv.21636::7,66,ensemble,90.73495239998397
zlabs-nlp.179,stv.tv.21636::8,67,ensemble,91.5692859515475
zlabs-nlp.179,stv.tv.21636::9,68,ensemble,89.14710770851175
zlabs-nlp.179,stv.tv.21636::10,69,ensemble,90.92928395353712
zlabs-nlp.179,stv.tv.21636::11,70,ensemble,88.4253108900298
zlabs-nlp.179,stv.tv.21636::12,71,ensemble,86.55255431840511
zlabs-nlp.179,stv.tv.21636::13,72,ensemble,89.84394039360048
zlabs-nlp.179,stv.tv.21636::14,73,ensemble,89.83441921441486
zlabs-nlp.179,stv.tv.21636::15,74,ensemble,91.13103029825591
zlabs-nlp.179,stv.tv.21636::16,75,ensemble,90.73055239908476
zlabs-nlp.179,stv.tv.21636::17,76,ensemble,80.96369622525489
zlabs-nlp.179,en.ndtv.com.12997::1,77,ensemble,82.4540359666628
zlabs-nlp.179,en.ndtv.com.12997::2,78,ensemble,91.69189221913237
zlabs-nlp.179,en.ndtv.com.12997::3,79,ensemble,90.90362946957524
zlabs-nlp.179,en.ndtv.com.12997::4,80,ensemble,89.2193751488637
zlabs-nlp.179,en.ndtv.com.12997::5,81,ensemble,90.70590456097703
zlabs-nlp.179,en.ndtv.com.12997::6,82,ensemble,92.0437066776157
zlabs-nlp.179,en.ndtv.com.12997::7,83,ensemble,91.49782228834322
zlabs-nlp.179,en.ndtv.com.12997::8,84,ensemble,88.74922212896026
zlabs-nlp.179,en.ndtv.com.12997::9,85,ensemble,90.5898130918308
zlabs-nlp.179,en.ndtv.com.12997::10,86,ensemble,85.08952633363758
zlabs-nlp.179,en.ndtv.com.12997::11,87,ensemble,86.8022929475805
zlabs-nlp.179,en.ndtv.com.12997::12,88,ensemble,90.46558189387328
zlabs-nlp.179,en.ndtv.com.12997::13,89,ensemble,89.51299270350735
zlabs-nlp.179,en.ndtv.com.12997::14,90,ensemble,90.77622679669537
zlabs-nlp.179,en.ndtv.com.12997::15,91,ensemble,90.27237681338838
zlabs-nlp.179,en.ndtv.com.12997::16,92,ensemble,90.52383534141251
zlabs-nlp.179,en.ndtv.com.12997::17,93,ensemble,88.75299194732342
zlabs-nlp.179,en.ndtv.com.12997::18,94,ensemble,91.1306751075756
zlabs-nlp.179,en.ndtv.com.12997::19,95,ensemble,87.59289029595243
