SYS,seg_id,set_id,metric,score
DeepMind.381,xinhua-zh-01.6565::1,0,BLEURT,0.40042969584465027
DeepMind.381,xinhua-zh-01.6565::2,1,BLEURT,-0.009139851666986942
DeepMind.381,xinhua-zh-01.6565::3,2,BLEURT,0.22995691001415253
DeepMind.381,xinhua-zh-01.6565::4,3,BLEURT,0.378317266702652
DeepMind.381,xinhua-zh-01.6565::5,4,BLEURT,0.32779303193092346
DeepMind.381,xinhua-zh-01.6565::6,5,BLEURT,0.6925234794616699
DeepMind.381,xinhua-zh-01.6565::7,6,BLEURT,0.31146612763404846
DeepMind.381,xinhua-zh-01.6565::8,7,BLEURT,0.25430870056152344
DeepMind.381,chinanews.com.102830::1,8,BLEURT,0.44878754019737244
DeepMind.381,chinanews.com.102830::2,9,BLEURT,0.37350091338157654
DeepMind.381,chinanews.com.102830::3,10,BLEURT,0.39886966347694397
DeepMind.381,chinanews.com.102830::4,11,BLEURT,0.4789421558380127
DeepMind.381,chinanews.com.102830::5,12,BLEURT,0.3289594352245331
DeepMind.381,chinanews.com.102830::6,13,BLEURT,0.5041071176528931
DeepMind.381,chinanews.com.102830::7,14,BLEURT,0.4066295921802521
DeepMind.381,chinanews.com.102830::8,15,BLEURT,0.5023360848426819
DeepMind.381,chinanews.com.102568::1,16,BLEURT,0.5168542861938477
DeepMind.381,chinanews.com.102568::2,17,BLEURT,0.5675399899482727
DeepMind.381,chinanews.com.102568::3,18,BLEURT,0.7554521560668945
DeepMind.381,chinanews.com.102568::4,19,BLEURT,0.7301756143569946
DeepMind.381,chinanews.com.102568::5,20,BLEURT,0.8679795265197754
DeepMind.381,chinanews.com.102568::6,21,BLEURT,0.36498960852622986
DeepMind.381,chinanews.com.102568::7,22,BLEURT,0.7080751657485962
DeepMind.381,chinanews.com.102568::8,23,BLEURT,0.3411722481250763
DeepMind.381,chinanews.com.102568::9,24,BLEURT,0.9776707291603088
DeepMind.381,chinanews.com.102568::10,25,BLEURT,0.4740935266017914
DeepMind.381,chinanews.com.102568::11,26,BLEURT,0.9245363473892212
DeepMind.381,international_times-zh.151::1,27,BLEURT,0.861364483833313
DeepMind.381,international_times-zh.151::2,28,BLEURT,0.6315324306488037
DeepMind.381,international_times-zh.151::3,29,BLEURT,0.6666431427001953
DeepMind.381,international_times-zh.151::4,30,BLEURT,1.0047144889831543
DeepMind.381,international_times-zh.151::5,31,BLEURT,0.8960418701171875
DeepMind.381,chinanews.com.102642::1,32,BLEURT,0.30783089995384216
DeepMind.381,chinanews.com.102642::2,33,BLEURT,0.42406052350997925
DeepMind.381,chinanews.com.102642::3,34,BLEURT,0.2621120512485504
DeepMind.381,chinanews.com.102642::4,35,BLEURT,0.7547165751457214
DeepMind.381,chinanews.com.102642::5,36,BLEURT,0.12453766167163849
DeepMind.381,chinanews.com.102642::6,37,BLEURT,0.7363273501396179
DeepMind.381,chinanews.com.102642::7,38,BLEURT,0.2924957275390625
DeepMind.381,chinanews.com.102642::8,39,BLEURT,0.4653278887271881
DeepMind.381,xinhua-zh-01.6446::1,40,BLEURT,1.0008195638656616
DeepMind.381,xinhua-zh-01.6446::2,41,BLEURT,0.6114394664764404
DeepMind.381,xinhua-zh-01.6446::3,42,BLEURT,0.801762580871582
DeepMind.381,xinhua-zh-01.6446::4,43,BLEURT,0.6963916420936584
DeepMind.381,xinhua-zh-01.6446::5,44,BLEURT,0.8597837686538696
DeepMind.381,xinhua-zh-01.6446::6,45,BLEURT,0.7689308524131775
DeepMind.381,xinhua-zh-01.6446::7,46,BLEURT,1.0639207363128662
DeepMind.381,chinanews.com.102876::1,47,BLEURT,0.5598995089530945
DeepMind.381,chinanews.com.102876::2,48,BLEURT,0.15319053828716278
DeepMind.381,chinanews.com.102876::3,49,BLEURT,0.376554399728775
DeepMind.381,chinanews.com.102876::4,50,BLEURT,0.22968541085720062
DeepMind.381,chinanews.com.102876::5,51,BLEURT,-0.12135563790798187
DeepMind.381,chinanews.com.102876::6,52,BLEURT,0.08667568862438202
DeepMind.381,chinanews.com.102876::7,53,BLEURT,0.25044599175453186
DeepMind.381,chinanews.com.102876::8,54,BLEURT,0.42341235280036926
DeepMind.381,chinanews.com.102876::9,55,BLEURT,0.26183539628982544
DeepMind.381,chinanews.com.102876::10,56,BLEURT,0.4779230058193207
DeepMind.381,chinanews.com.102876::11,57,BLEURT,0.2739907205104828
DeepMind.381,chinanews.com.102876::12,58,BLEURT,0.40012216567993164
DeepMind.381,chinanews.com.102876::13,59,BLEURT,0.1902490109205246
DeepMind.381,chinanews.com.102876::14,60,BLEURT,-0.007209555245935917
DeepMind.381,chinanews.com.102876::15,61,BLEURT,0.6310725212097168
DeepMind.381,chinanews.com.102876::16,62,BLEURT,0.33417823910713196
DeepMind.381,chinanews.com.102876::17,63,BLEURT,0.31455740332603455
DeepMind.381,chinese.macao.1081::1,64,BLEURT,0.31963369250297546
DeepMind.381,chinese.macao.1081::2,65,BLEURT,0.3971969187259674
DeepMind.381,chinese.macao.1081::3,66,BLEURT,0.24161432683467865
DeepMind.381,chinese.macao.1081::4,67,BLEURT,0.6731446385383606
DeepMind.381,chinese.macao.1081::5,68,BLEURT,0.4669179618358612
DeepMind.381,chinese.macao.1081::6,69,BLEURT,0.7830483317375183
DeepMind.381,chinese.macao.1081::7,70,BLEURT,0.3094838857650757
DeepMind.381,chinese.macao.1081::8,71,BLEURT,0.31796756386756897
DeepMind.381,chinese.macao.1081::9,72,BLEURT,0.43375030159950256
DeepMind.381,chinese.macao.1081::10,73,BLEURT,0.4112611413002014
DeepMind.381,chinese.macao.1081::11,74,BLEURT,0.7640515565872192
DeepMind.381,chinese.macao.1081::12,75,BLEURT,0.4966045916080475
DeepMind.381,xinhua-zh-01.6632::1,76,BLEURT,0.25577858090400696
DeepMind.381,xinhua-zh-01.6632::2,77,BLEURT,0.5865225195884705
DeepMind.381,xinhua-zh-01.6632::3,78,BLEURT,0.552851676940918
DeepMind.381,xinhua-zh-01.6632::4,79,BLEURT,0.5226964950561523
DeepMind.381,xinhua-zh-01.6632::5,80,BLEURT,0.8401172757148743
DeepMind.381,xinhua-zh-01.6632::6,81,BLEURT,0.1524895876646042
DeepMind.381,xinhua-zh-01.6632::7,82,BLEURT,0.2557843029499054
DeepMind.381,xinhua-zh-01.6632::8,83,BLEURT,0.3788489103317261
DeepMind.381,xinhua-zh-01.6632::9,84,BLEURT,0.10414142906665802
DeepMind.381,xinhua-zh-01.6632::10,85,BLEURT,0.21692316234111786
DeepMind.381,xinhua-zh-01.6632::11,86,BLEURT,0.42592158913612366
DeepMind.381,tsrus.cn.2113::1,87,BLEURT,0.6683828830718994
DeepMind.381,tsrus.cn.2113::2,88,BLEURT,0.8057016134262085
DeepMind.381,tsrus.cn.2113::3,89,BLEURT,0.6060892939567566
DeepMind.381,tsrus.cn.2113::4,90,BLEURT,0.4574638903141022
DeepMind.381,tsrus.cn.2113::5,91,BLEURT,0.4911874830722809
DeepMind.381,tsrus.cn.2113::6,92,BLEURT,1.0555644035339355
DeepMind.381,tsrus.cn.2113::7,93,BLEURT,0.9629428386688232
DeepMind.381,tsrus.cn.2113::8,94,BLEURT,0.74705570936203
DeepMind.381,hunan_ribao-zh.186::1,95,BLEURT,0.25763505697250366
DeepMind.381,hunan_ribao-zh.186::2,96,BLEURT,0.5813106894493103
DeepMind.381,hunan_ribao-zh.186::3,97,BLEURT,0.518258810043335
DeepMind.381,hunan_ribao-zh.186::4,98,BLEURT,0.27189478278160095
DeepMind.381,hunan_ribao-zh.186::5,99,BLEURT,0.6934832334518433
DeepMind.381,hunan_ribao-zh.186::6,100,BLEURT,0.7757246494293213
DeepMind.381,hunan_ribao-zh.186::7,101,BLEURT,0.5098784565925598
DeepMind.381,chinanews.com.102605::1,102,BLEURT,0.17779390513896942
DeepMind.381,chinanews.com.102605::2,103,BLEURT,0.22366468608379364
DeepMind.381,chinanews.com.102605::3,104,BLEURT,-0.19059817492961884
DeepMind.381,chinanews.com.102605::4,105,BLEURT,0.20855237543582916
DeepMind.381,chinanews.com.102605::5,106,BLEURT,-0.032724544405937195
DeepMind.381,chinanews.com.102605::6,107,BLEURT,-0.5606365203857422
DeepMind.381,chinanews.com.102605::7,108,BLEURT,0.5962784886360168
DeepMind.381,chinanews.com.102605::8,109,BLEURT,0.4838010370731354
DeepMind.381,chinanews.com.102605::9,110,BLEURT,1.046416997909546
DeepMind.381,chinanews.com.102605::10,111,BLEURT,0.5547432899475098
DeepMind.381,chinanews.com.102605::11,112,BLEURT,0.5177262425422668
DeepMind.381,chinanews.com.102605::12,113,BLEURT,0.11545960605144501
DeepMind.381,chinanews.com.102605::13,114,BLEURT,0.3378179967403412
DeepMind.381,chinanews.com.102605::14,115,BLEURT,0.046063557267189026
DeepMind.381,chinanews.com.102605::15,116,BLEURT,-0.7076618671417236
DeepMind.381,chinanews.com.102605::16,117,BLEURT,0.12476836144924164
DeepMind.381,chinanews.com.102605::17,118,BLEURT,-0.010600135661661625
DeepMind.381,chinanews.com.102605::18,119,BLEURT,0.7794729471206665
DeepMind.381,chinanews.com.102605::19,120,BLEURT,0.5850151777267456
DeepMind.381,chinanews.com.102605::20,121,BLEURT,-0.4049461781978607
DeepMind.381,chinanews.com.102605::21,122,BLEURT,-0.37351590394973755
DeepMind.381,chinanews.com.102605::22,123,BLEURT,0.8752411603927612
DeepMind.381,chinanews.com.102605::23,124,BLEURT,0.09611667692661285
DeepMind.381,chinanews.com.102605::24,125,BLEURT,-0.748139500617981
DeepMind.381,chinanews.com.102605::25,126,BLEURT,0.20441849529743195
DeepMind.381,chinanews.com.102605::26,127,BLEURT,0.2805655896663666
DeepMind.381,chinanews.com.102574::1,128,BLEURT,-0.27517321705818176
DeepMind.381,chinanews.com.102574::2,129,BLEURT,0.818507194519043
DeepMind.381,chinanews.com.102574::3,130,BLEURT,0.6846203207969666
DeepMind.381,chinanews.com.102574::4,131,BLEURT,0.634929895401001
DeepMind.381,chinanews.com.102574::5,132,BLEURT,0.5029715895652771
DeepMind.381,chinanews.com.102574::6,133,BLEURT,0.415555864572525
DeepMind.381,chinanews.com.102574::7,134,BLEURT,0.29947739839553833
DeepMind.381,chinanews.com.102574::8,135,BLEURT,0.23063968122005463
DeepMind.381,chinanews.com.102574::9,136,BLEURT,0.3362545669078827
