SYS,seg_id,set_id,metric,score
DeepMind.381,xinhua-zh-01.6565::1,0,chrF,73.21122918811898
DeepMind.381,xinhua-zh-01.6565::2,1,chrF,64.9484493427685
DeepMind.381,xinhua-zh-01.6565::3,2,chrF,64.36018426051908
DeepMind.381,xinhua-zh-01.6565::4,3,chrF,75.37226999107853
DeepMind.381,xinhua-zh-01.6565::5,4,chrF,60.27152646745334
DeepMind.381,xinhua-zh-01.6565::6,5,chrF,80.4853073585459
DeepMind.381,xinhua-zh-01.6565::7,6,chrF,75.70691518326336
DeepMind.381,xinhua-zh-01.6565::8,7,chrF,66.16660834338866
DeepMind.381,chinanews.com.102830::1,8,chrF,60.99505718065606
DeepMind.381,chinanews.com.102830::2,9,chrF,54.296271962000766
DeepMind.381,chinanews.com.102830::3,10,chrF,50.284623677000674
DeepMind.381,chinanews.com.102830::4,11,chrF,64.40427633498939
DeepMind.381,chinanews.com.102830::5,12,chrF,60.871098447227226
DeepMind.381,chinanews.com.102830::6,13,chrF,63.03497543203446
DeepMind.381,chinanews.com.102830::7,14,chrF,58.78015329261005
DeepMind.381,chinanews.com.102830::8,15,chrF,65.0527166771715
DeepMind.381,chinanews.com.102568::1,16,chrF,88.99802913865982
DeepMind.381,chinanews.com.102568::2,17,chrF,77.14108308971035
DeepMind.381,chinanews.com.102568::3,18,chrF,83.38832357901963
DeepMind.381,chinanews.com.102568::4,19,chrF,77.8124771882123
DeepMind.381,chinanews.com.102568::5,20,chrF,90.9515427782439
DeepMind.381,chinanews.com.102568::6,21,chrF,59.35066161686065
DeepMind.381,chinanews.com.102568::7,22,chrF,69.95189425214036
DeepMind.381,chinanews.com.102568::8,23,chrF,74.72673477804706
DeepMind.381,chinanews.com.102568::9,24,chrF,78.99620116873974
DeepMind.381,chinanews.com.102568::10,25,chrF,68.2221959568316
DeepMind.381,chinanews.com.102568::11,26,chrF,93.351098502146
DeepMind.381,international_times-zh.151::1,27,chrF,92.89018181978592
DeepMind.381,international_times-zh.151::2,28,chrF,73.49441251863308
DeepMind.381,international_times-zh.151::3,29,chrF,59.17146263567476
DeepMind.381,international_times-zh.151::4,30,chrF,91.22522092408157
DeepMind.381,international_times-zh.151::5,31,chrF,80.07834676752837
DeepMind.381,chinanews.com.102642::1,32,chrF,60.990762761166906
DeepMind.381,chinanews.com.102642::2,33,chrF,45.70304878886689
DeepMind.381,chinanews.com.102642::3,34,chrF,48.63539974236301
DeepMind.381,chinanews.com.102642::4,35,chrF,74.4005560092998
DeepMind.381,chinanews.com.102642::5,36,chrF,49.74768650269601
DeepMind.381,chinanews.com.102642::6,37,chrF,79.50205672020844
DeepMind.381,chinanews.com.102642::7,38,chrF,41.08019594480727
DeepMind.381,chinanews.com.102642::8,39,chrF,49.48818382021658
DeepMind.381,xinhua-zh-01.6446::1,40,chrF,72.12702143101107
DeepMind.381,xinhua-zh-01.6446::2,41,chrF,74.73231986806177
DeepMind.381,xinhua-zh-01.6446::3,42,chrF,74.01329509976695
DeepMind.381,xinhua-zh-01.6446::4,43,chrF,73.88608526905972
DeepMind.381,xinhua-zh-01.6446::5,44,chrF,77.72376840128787
DeepMind.381,xinhua-zh-01.6446::6,45,chrF,58.85789019763562
DeepMind.381,xinhua-zh-01.6446::7,46,chrF,100.0
DeepMind.381,chinanews.com.102876::1,47,chrF,40.569140168730165
DeepMind.381,chinanews.com.102876::2,48,chrF,40.522199195305234
DeepMind.381,chinanews.com.102876::3,49,chrF,39.97852244602006
DeepMind.381,chinanews.com.102876::4,50,chrF,47.09107793070045
DeepMind.381,chinanews.com.102876::5,51,chrF,41.735437646137555
DeepMind.381,chinanews.com.102876::6,52,chrF,65.42550821189872
DeepMind.381,chinanews.com.102876::7,53,chrF,45.575125353345186
DeepMind.381,chinanews.com.102876::8,54,chrF,57.86996810833005
DeepMind.381,chinanews.com.102876::9,55,chrF,46.14529361028916
DeepMind.381,chinanews.com.102876::10,56,chrF,59.01655384148039
DeepMind.381,chinanews.com.102876::11,57,chrF,38.203568336529564
DeepMind.381,chinanews.com.102876::12,58,chrF,58.481108757992274
DeepMind.381,chinanews.com.102876::13,59,chrF,39.88962933090621
DeepMind.381,chinanews.com.102876::14,60,chrF,36.609425199924715
DeepMind.381,chinanews.com.102876::15,61,chrF,50.11510677178913
DeepMind.381,chinanews.com.102876::16,62,chrF,47.39728714436619
DeepMind.381,chinanews.com.102876::17,63,chrF,36.29649599309667
DeepMind.381,chinese.macao.1081::1,64,chrF,79.59726393488394
DeepMind.381,chinese.macao.1081::2,65,chrF,55.586410183727764
DeepMind.381,chinese.macao.1081::3,66,chrF,61.357791459157895
DeepMind.381,chinese.macao.1081::4,67,chrF,60.940671408598924
DeepMind.381,chinese.macao.1081::5,68,chrF,62.78983359585705
DeepMind.381,chinese.macao.1081::6,69,chrF,76.66933414715503
DeepMind.381,chinese.macao.1081::7,70,chrF,69.49126973862612
DeepMind.381,chinese.macao.1081::8,71,chrF,54.46901293394153
