SYS,seg_id,set_id,metric,score
DiDi_NLP.401,xinhua-zh-01.6565::1,0,Prism-ref,-1.9446411
DiDi_NLP.401,xinhua-zh-01.6565::2,1,Prism-ref,-1.5656447
DiDi_NLP.401,xinhua-zh-01.6565::3,2,Prism-ref,-1.1625413
DiDi_NLP.401,xinhua-zh-01.6565::4,3,Prism-ref,-1.1973033
DiDi_NLP.401,xinhua-zh-01.6565::5,4,Prism-ref,-1.8228235
DiDi_NLP.401,xinhua-zh-01.6565::6,5,Prism-ref,-0.78493303
DiDi_NLP.401,xinhua-zh-01.6565::7,6,Prism-ref,-1.4593172
DiDi_NLP.401,xinhua-zh-01.6565::8,7,Prism-ref,-2.0138927
DiDi_NLP.401,chinanews.com.102830::1,8,Prism-ref,-2.1297574
DiDi_NLP.401,chinanews.com.102830::2,9,Prism-ref,-2.1740222
DiDi_NLP.401,chinanews.com.102830::3,10,Prism-ref,-1.7114973
DiDi_NLP.401,chinanews.com.102830::4,11,Prism-ref,-1.7943678
DiDi_NLP.401,chinanews.com.102830::5,12,Prism-ref,-2.0228305
DiDi_NLP.401,chinanews.com.102830::6,13,Prism-ref,-1.2285068
DiDi_NLP.401,chinanews.com.102830::7,14,Prism-ref,-1.6029844
DiDi_NLP.401,chinanews.com.102830::8,15,Prism-ref,-1.7547523
DiDi_NLP.401,chinanews.com.102568::1,16,Prism-ref,-1.0672351
DiDi_NLP.401,chinanews.com.102568::2,17,Prism-ref,-1.1414089
DiDi_NLP.401,chinanews.com.102568::3,18,Prism-ref,-0.808126
DiDi_NLP.401,chinanews.com.102568::4,19,Prism-ref,-0.91905355
DiDi_NLP.401,chinanews.com.102568::5,20,Prism-ref,-0.6774684
DiDi_NLP.401,chinanews.com.102568::6,21,Prism-ref,-1.0981679
DiDi_NLP.401,chinanews.com.102568::7,22,Prism-ref,-0.91647124
DiDi_NLP.401,chinanews.com.102568::8,23,Prism-ref,-1.1038375
DiDi_NLP.401,chinanews.com.102568::9,24,Prism-ref,-0.22684264
DiDi_NLP.401,chinanews.com.102568::10,25,Prism-ref,-1.060243
DiDi_NLP.401,chinanews.com.102568::11,26,Prism-ref,-0.48621804
DiDi_NLP.401,international_times-zh.151::1,27,Prism-ref,-0.45115244
DiDi_NLP.401,international_times-zh.151::2,28,Prism-ref,-1.2699913
DiDi_NLP.401,international_times-zh.151::3,29,Prism-ref,-0.8589188
DiDi_NLP.401,international_times-zh.151::4,30,Prism-ref,-0.76472664
DiDi_NLP.401,international_times-zh.151::5,31,Prism-ref,-0.22799732
DiDi_NLP.401,chinanews.com.102642::1,32,Prism-ref,-2.0162761
DiDi_NLP.401,chinanews.com.102642::2,33,Prism-ref,-1.8033894
DiDi_NLP.401,chinanews.com.102642::3,34,Prism-ref,-2.629511
DiDi_NLP.401,chinanews.com.102642::4,35,Prism-ref,-1.2204326
DiDi_NLP.401,chinanews.com.102642::5,36,Prism-ref,-1.8567119
DiDi_NLP.401,chinanews.com.102642::6,37,Prism-ref,-1.2611052
DiDi_NLP.401,chinanews.com.102642::7,38,Prism-ref,-1.8845559
DiDi_NLP.401,chinanews.com.102642::8,39,Prism-ref,-1.1293516
DiDi_NLP.401,xinhua-zh-01.6446::1,40,Prism-ref,-0.50882304
DiDi_NLP.401,xinhua-zh-01.6446::2,41,Prism-ref,-1.4334657
DiDi_NLP.401,xinhua-zh-01.6446::3,42,Prism-ref,-1.0074968
DiDi_NLP.401,xinhua-zh-01.6446::4,43,Prism-ref,-1.1269532
DiDi_NLP.401,xinhua-zh-01.6446::5,44,Prism-ref,-1.4658082
DiDi_NLP.401,xinhua-zh-01.6446::6,45,Prism-ref,-0.3925208
DiDi_NLP.401,xinhua-zh-01.6446::7,46,Prism-ref,-0.37347093
DiDi_NLP.401,chinanews.com.102876::1,47,Prism-ref,-1.488828
DiDi_NLP.401,chinanews.com.102876::2,48,Prism-ref,-2.2250862
DiDi_NLP.401,chinanews.com.102876::3,49,Prism-ref,-2.0570679
DiDi_NLP.401,chinanews.com.102876::4,50,Prism-ref,-1.8105397
DiDi_NLP.401,chinanews.com.102876::5,51,Prism-ref,-2.5695033
DiDi_NLP.401,chinanews.com.102876::6,52,Prism-ref,-1.6085241
DiDi_NLP.401,chinanews.com.102876::7,53,Prism-ref,-1.7874892
DiDi_NLP.401,chinanews.com.102876::8,54,Prism-ref,-1.7693163
DiDi_NLP.401,chinanews.com.102876::9,55,Prism-ref,-2.005921
DiDi_NLP.401,chinanews.com.102876::10,56,Prism-ref,-1.3290551
DiDi_NLP.401,chinanews.com.102876::11,57,Prism-ref,-1.8153127
DiDi_NLP.401,chinanews.com.102876::12,58,Prism-ref,-1.6622182
DiDi_NLP.401,chinanews.com.102876::13,59,Prism-ref,-2.3463116
DiDi_NLP.401,chinanews.com.102876::14,60,Prism-ref,-2.624176
DiDi_NLP.401,chinanews.com.102876::15,61,Prism-ref,-1.7685273
DiDi_NLP.401,chinanews.com.102876::16,62,Prism-ref,-2.429441
DiDi_NLP.401,chinanews.com.102876::17,63,Prism-ref,-2.1057558
DiDi_NLP.401,chinese.macao.1081::1,64,Prism-ref,-0.8685367
DiDi_NLP.401,chinese.macao.1081::2,65,Prism-ref,-1.6460931
DiDi_NLP.401,chinese.macao.1081::3,66,Prism-ref,-1.154736
DiDi_NLP.401,chinese.macao.1081::4,67,Prism-ref,-1.8128304
DiDi_NLP.401,chinese.macao.1081::5,68,Prism-ref,-1.4196416
DiDi_NLP.401,chinese.macao.1081::6,69,Prism-ref,-1.1717838
DiDi_NLP.401,chinese.macao.1081::7,70,Prism-ref,-1.6903347
DiDi_NLP.401,chinese.macao.1081::8,71,Prism-ref,-1.6727645
DiDi_NLP.401,chinese.macao.1081::9,72,Prism-ref,-1.4771154
DiDi_NLP.401,chinese.macao.1081::10,73,Prism-ref,-2.227024
DiDi_NLP.401,chinese.macao.1081::11,74,Prism-ref,-0.968772
DiDi_NLP.401,chinese.macao.1081::12,75,Prism-ref,-1.2062285
DiDi_NLP.401,xinhua-zh-01.6632::1,76,Prism-ref,-2.1787224
DiDi_NLP.401,xinhua-zh-01.6632::2,77,Prism-ref,-1.2229745
DiDi_NLP.401,xinhua-zh-01.6632::3,78,Prism-ref,-1.0779201
DiDi_NLP.401,xinhua-zh-01.6632::4,79,Prism-ref,-1.3074001
DiDi_NLP.401,xinhua-zh-01.6632::5,80,Prism-ref,-1.0734577
DiDi_NLP.401,xinhua-zh-01.6632::6,81,Prism-ref,-2.1529374
DiDi_NLP.401,xinhua-zh-01.6632::7,82,Prism-ref,-1.329628
DiDi_NLP.401,xinhua-zh-01.6632::8,83,Prism-ref,-2.1734967
DiDi_NLP.401,xinhua-zh-01.6632::9,84,Prism-ref,-1.7369502
DiDi_NLP.401,xinhua-zh-01.6632::10,85,Prism-ref,-2.2608056
DiDi_NLP.401,xinhua-zh-01.6632::11,86,Prism-ref,-1.4001255
DiDi_NLP.401,tsrus.cn.2113::1,87,Prism-ref,-1.3099676
DiDi_NLP.401,tsrus.cn.2113::2,88,Prism-ref,-1.0489366
DiDi_NLP.401,tsrus.cn.2113::3,89,Prism-ref,-0.73138523
DiDi_NLP.401,tsrus.cn.2113::4,90,Prism-ref,-1.1450064
DiDi_NLP.401,tsrus.cn.2113::5,91,Prism-ref,-1.1188548
DiDi_NLP.401,tsrus.cn.2113::6,92,Prism-ref,-0.91337633
DiDi_NLP.401,tsrus.cn.2113::7,93,Prism-ref,-0.56465304
DiDi_NLP.401,tsrus.cn.2113::8,94,Prism-ref,-0.98524094
DiDi_NLP.401,hunan_ribao-zh.186::1,95,Prism-ref,-2.0714514
DiDi_NLP.401,hunan_ribao-zh.186::2,96,Prism-ref,-1.7617004
DiDi_NLP.401,hunan_ribao-zh.186::3,97,Prism-ref,-1.7011627
DiDi_NLP.401,hunan_ribao-zh.186::4,98,Prism-ref,-2.001515
DiDi_NLP.401,hunan_ribao-zh.186::5,99,Prism-ref,-0.614102
DiDi_NLP.401,hunan_ribao-zh.186::6,100,Prism-ref,-1.506053
DiDi_NLP.401,hunan_ribao-zh.186::7,101,Prism-ref,-1.4287114
DiDi_NLP.401,chinanews.com.102605::1,102,Prism-ref,-2.5948014
DiDi_NLP.401,chinanews.com.102605::2,103,Prism-ref,-2.2194214
DiDi_NLP.401,chinanews.com.102605::3,104,Prism-ref,-3.473209
DiDi_NLP.401,chinanews.com.102605::4,105,Prism-ref,-2.8238788
