SYS,seg_id,set_id,metric,score
DiDi_NLP.401,xinhua-zh-01.6565::1,0,TER,-30.76923076923077
DiDi_NLP.401,xinhua-zh-01.6565::2,1,TER,-44.827586206896555
DiDi_NLP.401,xinhua-zh-01.6565::3,2,TER,-32.72727272727273
DiDi_NLP.401,xinhua-zh-01.6565::4,3,TER,-26.666666666666668
DiDi_NLP.401,xinhua-zh-01.6565::5,4,TER,-52.800000000000004
DiDi_NLP.401,xinhua-zh-01.6565::6,5,TER,-19.51219512195122
DiDi_NLP.401,xinhua-zh-01.6565::7,6,TER,-40.86021505376344
DiDi_NLP.401,xinhua-zh-01.6565::8,7,TER,-56.38297872340425
DiDi_NLP.401,chinanews.com.102830::1,8,TER,-50.0
DiDi_NLP.401,chinanews.com.102830::2,9,TER,-63.76811594202898
DiDi_NLP.401,chinanews.com.102830::3,10,TER,-71.42857142857143
DiDi_NLP.401,chinanews.com.102830::4,11,TER,-56.14035087719298
DiDi_NLP.401,chinanews.com.102830::5,12,TER,-74.22680412371135
DiDi_NLP.401,chinanews.com.102830::6,13,TER,-48.97959183673469
DiDi_NLP.401,chinanews.com.102830::7,14,TER,-59.3939393939394
DiDi_NLP.401,chinanews.com.102830::8,15,TER,-81.6
DiDi_NLP.401,chinanews.com.102568::1,16,TER,-35.294117647058826
DiDi_NLP.401,chinanews.com.102568::2,17,TER,-50.0
DiDi_NLP.401,chinanews.com.102568::3,18,TER,-23.52941176470588
DiDi_NLP.401,chinanews.com.102568::4,19,TER,-29.88505747126437
DiDi_NLP.401,chinanews.com.102568::5,20,TER,-27.397260273972602
DiDi_NLP.401,chinanews.com.102568::6,21,TER,-57.861635220125784
DiDi_NLP.401,chinanews.com.102568::7,22,TER,-25.0
DiDi_NLP.401,chinanews.com.102568::8,23,TER,-30.76923076923077
DiDi_NLP.401,chinanews.com.102568::9,24,TER,-0.0
DiDi_NLP.401,chinanews.com.102568::10,25,TER,-29.213483146067414
DiDi_NLP.401,chinanews.com.102568::11,26,TER,-9.836065573770492
DiDi_NLP.401,international_times-zh.151::1,27,TER,-16.867469879518072
DiDi_NLP.401,international_times-zh.151::2,28,TER,-53.84615384615385
DiDi_NLP.401,international_times-zh.151::3,29,TER,-28.985507246376812
DiDi_NLP.401,international_times-zh.151::4,30,TER,-25.0
DiDi_NLP.401,international_times-zh.151::5,31,TER,-6.666666666666667
DiDi_NLP.401,chinanews.com.102642::1,32,TER,-68.96551724137932
DiDi_NLP.401,chinanews.com.102642::2,33,TER,-49.122807017543856
DiDi_NLP.401,chinanews.com.102642::3,34,TER,-69.23076923076923
DiDi_NLP.401,chinanews.com.102642::4,35,TER,-53.333333333333336
DiDi_NLP.401,chinanews.com.102642::5,36,TER,-61.81818181818181
DiDi_NLP.401,chinanews.com.102642::6,37,TER,-32.0
DiDi_NLP.401,chinanews.com.102642::7,38,TER,-58.620689655172406
DiDi_NLP.401,chinanews.com.102642::8,39,TER,-48.97959183673469
DiDi_NLP.401,xinhua-zh-01.6446::1,40,TER,-47.61904761904761
DiDi_NLP.401,xinhua-zh-01.6446::2,41,TER,-42.22222222222222
DiDi_NLP.401,xinhua-zh-01.6446::3,42,TER,-66.66666666666666
DiDi_NLP.401,xinhua-zh-01.6446::4,43,TER,-49.122807017543856
DiDi_NLP.401,xinhua-zh-01.6446::5,44,TER,-57.14285714285714
DiDi_NLP.401,xinhua-zh-01.6446::6,45,TER,-36.36363636363637
DiDi_NLP.401,xinhua-zh-01.6446::7,46,TER,-10.526315789473683
DiDi_NLP.401,chinanews.com.102876::1,47,TER,-33.33333333333333
DiDi_NLP.401,chinanews.com.102876::2,48,TER,-103.125
DiDi_NLP.401,chinanews.com.102876::3,49,TER,-77.41935483870968
DiDi_NLP.401,chinanews.com.102876::4,50,TER,-78.78787878787878
DiDi_NLP.401,chinanews.com.102876::5,51,TER,-95.34883720930233
DiDi_NLP.401,chinanews.com.102876::6,52,TER,-57.77777777777777
DiDi_NLP.401,chinanews.com.102876::7,53,TER,-73.68421052631578
DiDi_NLP.401,chinanews.com.102876::8,54,TER,-58.06451612903226
DiDi_NLP.401,chinanews.com.102876::9,55,TER,-69.3069306930693
DiDi_NLP.401,chinanews.com.102876::10,56,TER,-60.19417475728155
DiDi_NLP.401,chinanews.com.102876::11,57,TER,-86.95652173913044
DiDi_NLP.401,chinanews.com.102876::12,58,TER,-60.37735849056604
DiDi_NLP.401,chinanews.com.102876::13,59,TER,-80.35714285714286
DiDi_NLP.401,chinanews.com.102876::14,60,TER,-75.72815533980582
DiDi_NLP.401,chinanews.com.102876::15,61,TER,-54.94505494505495
DiDi_NLP.401,chinanews.com.102876::16,62,TER,-61.111111111111114
DiDi_NLP.401,chinanews.com.102876::17,63,TER,-75.86206896551724
DiDi_NLP.401,chinese.macao.1081::1,64,TER,-23.943661971830984
DiDi_NLP.401,chinese.macao.1081::2,65,TER,-56.470588235294116
DiDi_NLP.401,chinese.macao.1081::3,66,TER,-38.38383838383838
DiDi_NLP.401,chinese.macao.1081::4,67,TER,-67.85714285714286
DiDi_NLP.401,chinese.macao.1081::5,68,TER,-49.504950495049506
DiDi_NLP.401,chinese.macao.1081::6,69,TER,-41.17647058823529
DiDi_NLP.401,chinese.macao.1081::7,70,TER,-53.04347826086957
DiDi_NLP.401,chinese.macao.1081::8,71,TER,-76.92307692307693
DiDi_NLP.401,chinese.macao.1081::9,72,TER,-69.23076923076923
DiDi_NLP.401,chinese.macao.1081::10,73,TER,-64.40677966101694
DiDi_NLP.401,chinese.macao.1081::11,74,TER,-37.2093023255814
DiDi_NLP.401,chinese.macao.1081::12,75,TER,-45.07042253521127
DiDi_NLP.401,xinhua-zh-01.6632::1,76,TER,-82.35294117647058
DiDi_NLP.401,xinhua-zh-01.6632::2,77,TER,-45.0
DiDi_NLP.401,xinhua-zh-01.6632::3,78,TER,-38.095238095238095
DiDi_NLP.401,xinhua-zh-01.6632::4,79,TER,-50.0
DiDi_NLP.401,xinhua-zh-01.6632::5,80,TER,-30.76923076923077
DiDi_NLP.401,xinhua-zh-01.6632::6,81,TER,-55.65217391304348
DiDi_NLP.401,xinhua-zh-01.6632::7,82,TER,-54.54545454545454
DiDi_NLP.401,xinhua-zh-01.6632::8,83,TER,-66.26506024096386
DiDi_NLP.401,xinhua-zh-01.6632::9,84,TER,-37.5
DiDi_NLP.401,xinhua-zh-01.6632::10,85,TER,-66.35071090047393
DiDi_NLP.401,xinhua-zh-01.6632::11,86,TER,-53.333333333333336
DiDi_NLP.401,tsrus.cn.2113::1,87,TER,-57.534246575342465
DiDi_NLP.401,tsrus.cn.2113::2,88,TER,-26.666666666666668
DiDi_NLP.401,tsrus.cn.2113::3,89,TER,-36.36363636363637
DiDi_NLP.401,tsrus.cn.2113::4,90,TER,-35.714285714285715
DiDi_NLP.401,tsrus.cn.2113::5,91,TER,-63.1578947368421
DiDi_NLP.401,tsrus.cn.2113::6,92,TER,-25.0
DiDi_NLP.401,tsrus.cn.2113::7,93,TER,-22.727272727272727
DiDi_NLP.401,tsrus.cn.2113::8,94,TER,-51.162790697674424
DiDi_NLP.401,hunan_ribao-zh.186::1,95,TER,-43.69747899159664
DiDi_NLP.401,hunan_ribao-zh.186::2,96,TER,-60.0
DiDi_NLP.401,hunan_ribao-zh.186::3,97,TER,-59.45945945945946
DiDi_NLP.401,hunan_ribao-zh.186::4,98,TER,-74.35897435897436
DiDi_NLP.401,hunan_ribao-zh.186::5,99,TER,-14.634146341463413
DiDi_NLP.401,hunan_ribao-zh.186::6,100,TER,-44.44444444444444
DiDi_NLP.401,hunan_ribao-zh.186::7,101,TER,-41.37931034482759
DiDi_NLP.401,chinanews.com.102605::1,102,TER,-66.66666666666666
DiDi_NLP.401,chinanews.com.102605::2,103,TER,-74.28571428571429
DiDi_NLP.401,chinanews.com.102605::3,104,TER,-77.75175644028103
DiDi_NLP.401,chinanews.com.102605::4,105,TER,-71.73913043478261
DiDi_NLP.401,chinanews.com.102605::5,106,TER,-63.1578947368421
DiDi_NLP.401,chinanews.com.102605::6,107,TER,-70.58823529411765
DiDi_NLP.401,chinanews.com.102605::7,108,TER,-38.095238095238095
DiDi_NLP.401,chinanews.com.102605::8,109,TER,-43.01075268817204
DiDi_NLP.401,chinanews.com.102605::9,110,TER,-0.0
DiDi_NLP.401,chinanews.com.102605::10,111,TER,-47.368421052631575
DiDi_NLP.401,chinanews.com.102605::11,112,TER,-76.36363636363637
DiDi_NLP.401,chinanews.com.102605::12,113,TER,-66.66666666666666
DiDi_NLP.401,chinanews.com.102605::13,114,TER,-78.26086956521739
DiDi_NLP.401,chinanews.com.102605::14,115,TER,-36.52173913043478
DiDi_NLP.401,chinanews.com.102605::15,116,TER,-72.0
DiDi_NLP.401,chinanews.com.102605::16,117,TER,-52.17391304347826
DiDi_NLP.401,chinanews.com.102605::17,118,TER,-54.054054054054056
