SYS,seg_id,set_id,metric,score
Huoshan_Translate.919,xinhua-zh-01.6565::1,0,Prism-src,-1.5758954
Huoshan_Translate.919,xinhua-zh-01.6565::2,1,Prism-src,-1.8818516
Huoshan_Translate.919,xinhua-zh-01.6565::3,2,Prism-src,-2.1423838
Huoshan_Translate.919,xinhua-zh-01.6565::4,3,Prism-src,-1.461823
Huoshan_Translate.919,xinhua-zh-01.6565::5,4,Prism-src,-1.062347
Huoshan_Translate.919,xinhua-zh-01.6565::6,5,Prism-src,-0.9348789
Huoshan_Translate.919,xinhua-zh-01.6565::7,6,Prism-src,-1.3597232
Huoshan_Translate.919,xinhua-zh-01.6565::8,7,Prism-src,-1.306368
Huoshan_Translate.919,chinanews.com.102830::1,8,Prism-src,-2.6574914
Huoshan_Translate.919,chinanews.com.102830::2,9,Prism-src,-2.5102694
Huoshan_Translate.919,chinanews.com.102830::3,10,Prism-src,-1.2939996
Huoshan_Translate.919,chinanews.com.102830::4,11,Prism-src,-1.4010772
Huoshan_Translate.919,chinanews.com.102830::5,12,Prism-src,-1.2750882
Huoshan_Translate.919,chinanews.com.102830::6,13,Prism-src,-0.8704607
Huoshan_Translate.919,chinanews.com.102830::7,14,Prism-src,-1.0503912
Huoshan_Translate.919,chinanews.com.102830::8,15,Prism-src,-1.348495
Huoshan_Translate.919,chinanews.com.102568::1,16,Prism-src,-1.3250493
Huoshan_Translate.919,chinanews.com.102568::2,17,Prism-src,-1.0326233
Huoshan_Translate.919,chinanews.com.102568::3,18,Prism-src,-2.1712208
Huoshan_Translate.919,chinanews.com.102568::4,19,Prism-src,-0.96598005
Huoshan_Translate.919,chinanews.com.102568::5,20,Prism-src,-1.455886
Huoshan_Translate.919,chinanews.com.102568::6,21,Prism-src,-1.2520587
Huoshan_Translate.919,chinanews.com.102568::7,22,Prism-src,-1.3939372
Huoshan_Translate.919,chinanews.com.102568::8,23,Prism-src,-1.138964
Huoshan_Translate.919,chinanews.com.102568::9,24,Prism-src,-1.0952598
Huoshan_Translate.919,chinanews.com.102568::10,25,Prism-src,-1.4567628
