SYS,seg_id,set_id,metric,score
Huoshan_Translate.919,xinhua-zh-01.6565::1,0,ROUGE-3,0.5185185185185186
Huoshan_Translate.919,xinhua-zh-01.6565::2,1,ROUGE-3,0.425531914893617
Huoshan_Translate.919,xinhua-zh-01.6565::3,2,ROUGE-3,0.6375
Huoshan_Translate.919,xinhua-zh-01.6565::4,3,ROUGE-3,0.5581395348837208
Huoshan_Translate.919,xinhua-zh-01.6565::5,4,ROUGE-3,0.24793388429752067
Huoshan_Translate.919,xinhua-zh-01.6565::6,5,ROUGE-3,0.7317073170731706
Huoshan_Translate.919,xinhua-zh-01.6565::7,6,ROUGE-3,0.6195652173913043
Huoshan_Translate.919,xinhua-zh-01.6565::8,7,ROUGE-3,0.2826086956521739
Huoshan_Translate.919,chinanews.com.102830::1,8,ROUGE-3,0.2962962962962963
Huoshan_Translate.919,chinanews.com.102830::2,9,ROUGE-3,0.208955223880597
Huoshan_Translate.919,chinanews.com.102830::3,10,ROUGE-3,0.11235955056179774
Huoshan_Translate.919,chinanews.com.102830::4,11,ROUGE-3,0.25
Huoshan_Translate.919,chinanews.com.102830::5,12,ROUGE-3,0.26
Huoshan_Translate.919,chinanews.com.102830::6,13,ROUGE-3,0.3333333333333333
Huoshan_Translate.919,chinanews.com.102830::7,14,ROUGE-3,0.21965317919075145
Huoshan_Translate.919,chinanews.com.102830::8,15,ROUGE-3,0.19047619047619047
Huoshan_Translate.919,chinanews.com.102568::1,16,ROUGE-3,0.5294117647058824
Huoshan_Translate.919,chinanews.com.102568::2,17,ROUGE-3,0.4927536231884059
Huoshan_Translate.919,chinanews.com.102568::3,18,ROUGE-3,0.5970149253731343
Huoshan_Translate.919,chinanews.com.102568::4,19,ROUGE-3,0.4186046511627907
Huoshan_Translate.919,chinanews.com.102568::5,20,ROUGE-3,0.7605633802816901
Huoshan_Translate.919,chinanews.com.102568::6,21,ROUGE-3,0.3431952662721894
Huoshan_Translate.919,chinanews.com.102568::7,22,ROUGE-3,0.4313725490196078
Huoshan_Translate.919,chinanews.com.102568::8,23,ROUGE-3,0.5494505494505495
Huoshan_Translate.919,chinanews.com.102568::9,24,ROUGE-3,0.2
Huoshan_Translate.919,chinanews.com.102568::10,25,ROUGE-3,0.5494505494505495
Huoshan_Translate.919,chinanews.com.102568::11,26,ROUGE-3,0.8070175438596492
Huoshan_Translate.919,international_times-zh.151::1,27,ROUGE-3,0.8571428571428572
Huoshan_Translate.919,international_times-zh.151::2,28,ROUGE-3,0.39999999999999997
Huoshan_Translate.919,international_times-zh.151::3,29,ROUGE-3,0.4444444444444445
Huoshan_Translate.919,international_times-zh.151::4,30,ROUGE-3,0.6206896551724138
Huoshan_Translate.919,international_times-zh.151::5,31,ROUGE-3,0.6296296296296297
Huoshan_Translate.919,chinanews.com.102642::1,32,ROUGE-3,0.37500000000000006
Huoshan_Translate.919,chinanews.com.102642::2,33,ROUGE-3,0.22641509433962265
Huoshan_Translate.919,chinanews.com.102642::3,34,ROUGE-3,0.30434782608695654
Huoshan_Translate.919,chinanews.com.102642::4,35,ROUGE-3,0.32
Huoshan_Translate.919,chinanews.com.102642::5,36,ROUGE-3,0.32
Huoshan_Translate.919,chinanews.com.102642::6,37,ROUGE-3,0.4230769230769231
Huoshan_Translate.919,chinanews.com.102642::7,38,ROUGE-3,0.23076923076923075
Huoshan_Translate.919,chinanews.com.102642::8,39,ROUGE-3,0.20408163265306123
Huoshan_Translate.919,xinhua-zh-01.6446::1,40,ROUGE-3,0.6666666666666666
Huoshan_Translate.919,xinhua-zh-01.6446::2,41,ROUGE-3,0.45454545454545453
Huoshan_Translate.919,xinhua-zh-01.6446::3,42,ROUGE-3,0.05263157894736842
Huoshan_Translate.919,xinhua-zh-01.6446::4,43,ROUGE-3,0.4727272727272727
Huoshan_Translate.919,xinhua-zh-01.6446::5,44,ROUGE-3,0.6923076923076924
Huoshan_Translate.919,xinhua-zh-01.6446::6,45,ROUGE-3,0.625
Huoshan_Translate.919,xinhua-zh-01.6446::7,46,ROUGE-3,0.625
Huoshan_Translate.919,chinanews.com.102876::1,47,ROUGE-3,0.5
Huoshan_Translate.919,chinanews.com.102876::2,48,ROUGE-3,0.18666666666666668
Huoshan_Translate.919,chinanews.com.102876::3,49,ROUGE-3,0.23728813559322032
Huoshan_Translate.919,chinanews.com.102876::4,50,ROUGE-3,0.25
Huoshan_Translate.919,chinanews.com.102876::5,51,ROUGE-3,0.13725490196078433
Huoshan_Translate.919,chinanews.com.102876::6,52,ROUGE-3,0.42857142857142855
Huoshan_Translate.919,chinanews.com.102876::7,53,ROUGE-3,0.25352112676056343
Huoshan_Translate.919,chinanews.com.102876::8,54,ROUGE-3,0.253968253968254
Huoshan_Translate.919,chinanews.com.102876::9,55,ROUGE-3,0.21621621621621623
Huoshan_Translate.919,chinanews.com.102876::10,56,ROUGE-3,0.2702702702702703
Huoshan_Translate.919,chinanews.com.102876::11,57,ROUGE-3,0.33333333333333337
