SYS,seg_id,set_id,metric,score
OPPO.1422,xinhua-zh-01.6565::1,0,Prism-src,-1.5293047
OPPO.1422,xinhua-zh-01.6565::2,1,Prism-src,-1.3796084
OPPO.1422,xinhua-zh-01.6565::3,2,Prism-src,-1.9337733
OPPO.1422,xinhua-zh-01.6565::4,3,Prism-src,-1.3853192
OPPO.1422,xinhua-zh-01.6565::5,4,Prism-src,-1.3238409
OPPO.1422,xinhua-zh-01.6565::6,5,Prism-src,-0.93427074
OPPO.1422,xinhua-zh-01.6565::7,6,Prism-src,-1.368985
OPPO.1422,xinhua-zh-01.6565::8,7,Prism-src,-1.3022964
OPPO.1422,chinanews.com.102830::1,8,Prism-src,-2.3047283
OPPO.1422,chinanews.com.102830::2,9,Prism-src,-1.8020473
OPPO.1422,chinanews.com.102830::3,10,Prism-src,-1.1071649
OPPO.1422,chinanews.com.102830::4,11,Prism-src,-1.5504217
OPPO.1422,chinanews.com.102830::5,12,Prism-src,-1.4435192
OPPO.1422,chinanews.com.102830::6,13,Prism-src,-1.0178976
OPPO.1422,chinanews.com.102830::7,14,Prism-src,-1.0630512
OPPO.1422,chinanews.com.102830::8,15,Prism-src,-1.7187765
OPPO.1422,chinanews.com.102568::1,16,Prism-src,-1.5969282
OPPO.1422,chinanews.com.102568::2,17,Prism-src,-1.3410892
OPPO.1422,chinanews.com.102568::3,18,Prism-src,-2.1886356
OPPO.1422,chinanews.com.102568::4,19,Prism-src,-1.0029742
OPPO.1422,chinanews.com.102568::5,20,Prism-src,-1.5152669
OPPO.1422,chinanews.com.102568::6,21,Prism-src,-1.2451392
OPPO.1422,chinanews.com.102568::7,22,Prism-src,-1.3598007
OPPO.1422,chinanews.com.102568::8,23,Prism-src,-1.2937728
OPPO.1422,chinanews.com.102568::9,24,Prism-src,-1.3842669
OPPO.1422,chinanews.com.102568::10,25,Prism-src,-1.3236611
OPPO.1422,chinanews.com.102568::11,26,Prism-src,-0.7040335
OPPO.1422,international_times-zh.151::1,27,Prism-src,-0.72045213
OPPO.1422,international_times-zh.151::2,28,Prism-src,-1.1181316
OPPO.1422,international_times-zh.151::3,29,Prism-src,-0.603988
OPPO.1422,international_times-zh.151::4,30,Prism-src,-1.0912191
OPPO.1422,international_times-zh.151::5,31,Prism-src,-0.45480356
OPPO.1422,chinanews.com.102642::1,32,Prism-src,-1.5500968
OPPO.1422,chinanews.com.102642::2,33,Prism-src,-1.3597418
OPPO.1422,chinanews.com.102642::3,34,Prism-src,-1.2984147
OPPO.1422,chinanews.com.102642::4,35,Prism-src,-0.81430995
OPPO.1422,chinanews.com.102642::5,36,Prism-src,-1.2712502
OPPO.1422,chinanews.com.102642::6,37,Prism-src,-0.58589166
OPPO.1422,chinanews.com.102642::7,38,Prism-src,-1.5922931
OPPO.1422,chinanews.com.102642::8,39,Prism-src,-0.72417367
OPPO.1422,xinhua-zh-01.6446::1,40,Prism-src,-0.5733417
OPPO.1422,xinhua-zh-01.6446::2,41,Prism-src,-0.9390231
OPPO.1422,xinhua-zh-01.6446::3,42,Prism-src,-0.87466425
OPPO.1422,xinhua-zh-01.6446::4,43,Prism-src,-0.52608216
OPPO.1422,xinhua-zh-01.6446::5,44,Prism-src,-0.7003929
OPPO.1422,xinhua-zh-01.6446::6,45,Prism-src,-0.93931305
OPPO.1422,xinhua-zh-01.6446::7,46,Prism-src,-0.89872503
OPPO.1422,chinanews.com.102876::1,47,Prism-src,-1.4834464
OPPO.1422,chinanews.com.102876::2,48,Prism-src,-1.1434988
