SYS,seg_id,set_id,metric,score
OPPO.1422,xinhua-zh-01.6565::1,0,TER,-38.46153846153847
OPPO.1422,xinhua-zh-01.6565::2,1,TER,-52.58620689655172
OPPO.1422,xinhua-zh-01.6565::3,2,TER,-36.36363636363637
OPPO.1422,xinhua-zh-01.6565::4,3,TER,-51.11111111111111
OPPO.1422,xinhua-zh-01.6565::5,4,TER,-56.00000000000001
OPPO.1422,xinhua-zh-01.6565::6,5,TER,-24.390243902439025
OPPO.1422,xinhua-zh-01.6565::7,6,TER,-27.956989247311824
OPPO.1422,xinhua-zh-01.6565::8,7,TER,-55.319148936170215
OPPO.1422,chinanews.com.102830::1,8,TER,-56.25
OPPO.1422,chinanews.com.102830::2,9,TER,-75.36231884057972
OPPO.1422,chinanews.com.102830::3,10,TER,-61.224489795918366
OPPO.1422,chinanews.com.102830::4,11,TER,-61.40350877192983
OPPO.1422,chinanews.com.102830::5,12,TER,-80.41237113402062
OPPO.1422,chinanews.com.102830::6,13,TER,-44.89795918367347
OPPO.1422,chinanews.com.102830::7,14,TER,-69.0909090909091
OPPO.1422,chinanews.com.102830::8,15,TER,-54.400000000000006
OPPO.1422,chinanews.com.102568::1,16,TER,-52.94117647058824
OPPO.1422,chinanews.com.102568::2,17,TER,-33.33333333333333
OPPO.1422,chinanews.com.102568::3,18,TER,-23.52941176470588
OPPO.1422,chinanews.com.102568::4,19,TER,-45.97701149425287
OPPO.1422,chinanews.com.102568::5,20,TER,-16.43835616438356
OPPO.1422,chinanews.com.102568::6,21,TER,-56.60377358490566
OPPO.1422,chinanews.com.102568::7,22,TER,-28.57142857142857
OPPO.1422,chinanews.com.102568::8,23,TER,-50.54945054945055
OPPO.1422,chinanews.com.102568::9,24,TER,-76.92307692307693
OPPO.1422,chinanews.com.102568::10,25,TER,-35.95505617977528
OPPO.1422,chinanews.com.102568::11,26,TER,-6.557377049180328
OPPO.1422,international_times-zh.151::1,27,TER,-26.506024096385545
OPPO.1422,international_times-zh.151::2,28,TER,-53.84615384615385
OPPO.1422,international_times-zh.151::3,29,TER,-46.3768115942029
OPPO.1422,international_times-zh.151::4,30,TER,-0.0
OPPO.1422,international_times-zh.151::5,31,TER,-20.0
OPPO.1422,chinanews.com.102642::1,32,TER,-66.00985221674877
OPPO.1422,chinanews.com.102642::2,33,TER,-63.1578947368421
OPPO.1422,chinanews.com.102642::3,34,TER,-73.07692307692307
OPPO.1422,chinanews.com.102642::4,35,TER,-40.0
OPPO.1422,chinanews.com.102642::5,36,TER,-72.72727272727273
OPPO.1422,chinanews.com.102642::6,37,TER,-12.0
OPPO.1422,chinanews.com.102642::7,38,TER,-86.20689655172413
OPPO.1422,chinanews.com.102642::8,39,TER,-53.06122448979592
OPPO.1422,xinhua-zh-01.6446::1,40,TER,-0.0
OPPO.1422,xinhua-zh-01.6446::2,41,TER,-35.55555555555556
OPPO.1422,xinhua-zh-01.6446::3,42,TER,-72.22222222222221
OPPO.1422,xinhua-zh-01.6446::4,43,TER,-56.14035087719298
OPPO.1422,xinhua-zh-01.6446::5,44,TER,-45.714285714285715
OPPO.1422,xinhua-zh-01.6446::6,45,TER,-45.45454545454545
OPPO.1422,xinhua-zh-01.6446::7,46,TER,-21.052631578947366
OPPO.1422,chinanews.com.102876::1,47,TER,-50.0
OPPO.1422,chinanews.com.102876::2,48,TER,-96.875
OPPO.1422,chinanews.com.102876::3,49,TER,-83.87096774193549
OPPO.1422,chinanews.com.102876::4,50,TER,-66.66666666666666
OPPO.1422,chinanews.com.102876::5,51,TER,-86.04651162790698
OPPO.1422,chinanews.com.102876::6,52,TER,-62.22222222222222
OPPO.1422,chinanews.com.102876::7,53,TER,-63.1578947368421
OPPO.1422,chinanews.com.102876::8,54,TER,-67.74193548387096
OPPO.1422,chinanews.com.102876::9,55,TER,-77.22772277227723
OPPO.1422,chinanews.com.102876::10,56,TER,-50.48543689320388
OPPO.1422,chinanews.com.102876::11,57,TER,-86.95652173913044
OPPO.1422,chinanews.com.102876::12,58,TER,-56.60377358490566
OPPO.1422,chinanews.com.102876::13,59,TER,-78.57142857142857
OPPO.1422,chinanews.com.102876::14,60,TER,-73.7864077669903
OPPO.1422,chinanews.com.102876::15,61,TER,-54.94505494505495
OPPO.1422,chinanews.com.102876::16,62,TER,-66.66666666666666
OPPO.1422,chinanews.com.102876::17,63,TER,-75.86206896551724
OPPO.1422,chinese.macao.1081::1,64,TER,-35.2112676056338
OPPO.1422,chinese.macao.1081::2,65,TER,-61.1764705882353
OPPO.1422,chinese.macao.1081::3,66,TER,-58.58585858585859
OPPO.1422,chinese.macao.1081::4,67,TER,-78.57142857142857
OPPO.1422,chinese.macao.1081::5,68,TER,-45.54455445544555
OPPO.1422,chinese.macao.1081::6,69,TER,-35.294117647058826
OPPO.1422,chinese.macao.1081::7,70,TER,-39.130434782608695
OPPO.1422,chinese.macao.1081::8,71,TER,-83.07692307692308
OPPO.1422,chinese.macao.1081::9,72,TER,-78.84615384615384
OPPO.1422,chinese.macao.1081::10,73,TER,-47.45762711864407
OPPO.1422,chinese.macao.1081::11,74,TER,-41.86046511627907
OPPO.1422,chinese.macao.1081::12,75,TER,-28.169014084507044
OPPO.1422,xinhua-zh-01.6632::1,76,TER,-58.82352941176471
OPPO.1422,xinhua-zh-01.6632::2,77,TER,-52.5
OPPO.1422,xinhua-zh-01.6632::3,78,TER,-55.23809523809524
OPPO.1422,xinhua-zh-01.6632::4,79,TER,-54.761904761904766
OPPO.1422,xinhua-zh-01.6632::5,80,TER,-15.384615384615385
OPPO.1422,xinhua-zh-01.6632::6,81,TER,-53.91304347826087
OPPO.1422,xinhua-zh-01.6632::7,82,TER,-54.54545454545454
OPPO.1422,xinhua-zh-01.6632::8,83,TER,-65.06024096385542
OPPO.1422,xinhua-zh-01.6632::9,84,TER,-37.5
OPPO.1422,xinhua-zh-01.6632::10,85,TER,-68.24644549763033
OPPO.1422,xinhua-zh-01.6632::11,86,TER,-60.952380952380956
OPPO.1422,tsrus.cn.2113::1,87,TER,-49.31506849315068
OPPO.1422,tsrus.cn.2113::2,88,TER,-66.66666666666666
