SYS,seg_id,set_id,metric,score
Online-A.1585,xinhua-zh-01.6565::1,0,Prism-ref,-2.3793135
Online-A.1585,xinhua-zh-01.6565::2,1,Prism-ref,-1.9137726
Online-A.1585,xinhua-zh-01.6565::3,2,Prism-ref,-1.1429902
Online-A.1585,xinhua-zh-01.6565::4,3,Prism-ref,-2.3796515
Online-A.1585,xinhua-zh-01.6565::5,4,Prism-ref,-1.8939629
Online-A.1585,xinhua-zh-01.6565::6,5,Prism-ref,-1.2626204
Online-A.1585,xinhua-zh-01.6565::7,6,Prism-ref,-1.6328357
Online-A.1585,xinhua-zh-01.6565::8,7,Prism-ref,-2.3743234
Online-A.1585,chinanews.com.102830::1,8,Prism-ref,-2.8603349
Online-A.1585,chinanews.com.102830::2,9,Prism-ref,-2.5954967
Online-A.1585,chinanews.com.102830::3,10,Prism-ref,-1.671074
Online-A.1585,chinanews.com.102830::4,11,Prism-ref,-2.3410277
Online-A.1585,chinanews.com.102830::5,12,Prism-ref,-2.323967
Online-A.1585,chinanews.com.102830::6,13,Prism-ref,-1.745647
Online-A.1585,chinanews.com.102830::7,14,Prism-ref,-1.8361628
Online-A.1585,chinanews.com.102830::8,15,Prism-ref,-1.9297748
Online-A.1585,chinanews.com.102568::1,16,Prism-ref,-1.1685293
Online-A.1585,chinanews.com.102568::2,17,Prism-ref,-1.3315415
Online-A.1585,chinanews.com.102568::3,18,Prism-ref,-2.1990142
Online-A.1585,chinanews.com.102568::4,19,Prism-ref,-1.2409617
Online-A.1585,chinanews.com.102568::5,20,Prism-ref,-0.97247624
Online-A.1585,chinanews.com.102568::6,21,Prism-ref,-1.9333493
Online-A.1585,chinanews.com.102568::7,22,Prism-ref,-0.98075026
Online-A.1585,chinanews.com.102568::8,23,Prism-ref,-1.3977296
Online-A.1585,chinanews.com.102568::9,24,Prism-ref,-1.621541
Online-A.1585,chinanews.com.102568::10,25,Prism-ref,-1.2408702
Online-A.1585,chinanews.com.102568::11,26,Prism-ref,-0.9449003
Online-A.1585,international_times-zh.151::1,27,Prism-ref,-1.1320665
Online-A.1585,international_times-zh.151::2,28,Prism-ref,-0.9551303
Online-A.1585,international_times-zh.151::3,29,Prism-ref,-2.3302479
Online-A.1585,international_times-zh.151::4,30,Prism-ref,-0.9062377
Online-A.1585,international_times-zh.151::5,31,Prism-ref,-0.4703226
Online-A.1585,chinanews.com.102642::1,32,Prism-ref,-2.2397273
Online-A.1585,chinanews.com.102642::2,33,Prism-ref,-2.6527224
Online-A.1585,chinanews.com.102642::3,34,Prism-ref,-3.1900032
Online-A.1585,chinanews.com.102642::4,35,Prism-ref,-1.4178784
Online-A.1585,chinanews.com.102642::5,36,Prism-ref,-2.1463614
Online-A.1585,chinanews.com.102642::6,37,Prism-ref,-1.0893259
Online-A.1585,chinanews.com.102642::7,38,Prism-ref,-2.8804207
Online-A.1585,chinanews.com.102642::8,39,Prism-ref,-1.5054197
Online-A.1585,xinhua-zh-01.6446::1,40,Prism-ref,-0.80521345
Online-A.1585,xinhua-zh-01.6446::2,41,Prism-ref,-1.1684048
Online-A.1585,xinhua-zh-01.6446::3,42,Prism-ref,-1.4224498
Online-A.1585,xinhua-zh-01.6446::4,43,Prism-ref,-1.6478493
Online-A.1585,xinhua-zh-01.6446::5,44,Prism-ref,-0.8976604
Online-A.1585,xinhua-zh-01.6446::6,45,Prism-ref,-1.3026664
Online-A.1585,xinhua-zh-01.6446::7,46,Prism-ref,-0.44637018
Online-A.1585,chinanews.com.102876::1,47,Prism-ref,-1.7085057
Online-A.1585,chinanews.com.102876::2,48,Prism-ref,-2.6351266
Online-A.1585,chinanews.com.102876::3,49,Prism-ref,-2.3920712
Online-A.1585,chinanews.com.102876::4,50,Prism-ref,-1.8968801
Online-A.1585,chinanews.com.102876::5,51,Prism-ref,-3.6463466
Online-A.1585,chinanews.com.102876::6,52,Prism-ref,-2.0827494
Online-A.1585,chinanews.com.102876::7,53,Prism-ref,-2.0545373
Online-A.1585,chinanews.com.102876::8,54,Prism-ref,-2.7150302
Online-A.1585,chinanews.com.102876::9,55,Prism-ref,-2.3560104
Online-A.1585,chinanews.com.102876::10,56,Prism-ref,-1.9017541
Online-A.1585,chinanews.com.102876::11,57,Prism-ref,-2.3821821
Online-A.1585,chinanews.com.102876::12,58,Prism-ref,-1.8684759
Online-A.1585,chinanews.com.102876::13,59,Prism-ref,-2.6372285
Online-A.1585,chinanews.com.102876::14,60,Prism-ref,-3.1817524
Online-A.1585,chinanews.com.102876::15,61,Prism-ref,-2.0650847
Online-A.1585,chinanews.com.102876::16,62,Prism-ref,-2.3396926
Online-A.1585,chinanews.com.102876::17,63,Prism-ref,-2.7724931
Online-A.1585,chinese.macao.1081::1,64,Prism-ref,-1.2006625
Online-A.1585,chinese.macao.1081::2,65,Prism-ref,-1.6330602
Online-A.1585,chinese.macao.1081::3,66,Prism-ref,-1.9836468
Online-A.1585,chinese.macao.1081::4,67,Prism-ref,-1.8110363
Online-A.1585,chinese.macao.1081::5,68,Prism-ref,-2.2840881
Online-A.1585,chinese.macao.1081::6,69,Prism-ref,-1.1299236
Online-A.1585,chinese.macao.1081::7,70,Prism-ref,-1.981906
Online-A.1585,chinese.macao.1081::8,71,Prism-ref,-1.736349
Online-A.1585,chinese.macao.1081::9,72,Prism-ref,-1.6652822
Online-A.1585,chinese.macao.1081::10,73,Prism-ref,-1.4266486
Online-A.1585,chinese.macao.1081::11,74,Prism-ref,-1.2119226
Online-A.1585,chinese.macao.1081::12,75,Prism-ref,-1.2268126
Online-A.1585,xinhua-zh-01.6632::1,76,Prism-ref,-1.7666028
Online-A.1585,xinhua-zh-01.6632::2,77,Prism-ref,-0.94982886
Online-A.1585,xinhua-zh-01.6632::3,78,Prism-ref,-1.2352955
Online-A.1585,xinhua-zh-01.6632::4,79,Prism-ref,-1.112606
Online-A.1585,xinhua-zh-01.6632::5,80,Prism-ref,-0.43410805
Online-A.1585,xinhua-zh-01.6632::6,81,Prism-ref,-2.2711766
Online-A.1585,xinhua-zh-01.6632::7,82,Prism-ref,-1.759618
Online-A.1585,xinhua-zh-01.6632::8,83,Prism-ref,-2.4318724
Online-A.1585,xinhua-zh-01.6632::9,84,Prism-ref,-1.9646416
Online-A.1585,xinhua-zh-01.6632::10,85,Prism-ref,-2.3986983
Online-A.1585,xinhua-zh-01.6632::11,86,Prism-ref,-1.4577776
Online-A.1585,tsrus.cn.2113::1,87,Prism-ref,-1.4578805
Online-A.1585,tsrus.cn.2113::2,88,Prism-ref,-1.7582111
Online-A.1585,tsrus.cn.2113::3,89,Prism-ref,-1.3565912
Online-A.1585,tsrus.cn.2113::4,90,Prism-ref,-1.1362197
Online-A.1585,tsrus.cn.2113::5,91,Prism-ref,-1.8213894
Online-A.1585,tsrus.cn.2113::6,92,Prism-ref,-0.9133762
Online-A.1585,tsrus.cn.2113::7,93,Prism-ref,-0.6605373
Online-A.1585,tsrus.cn.2113::8,94,Prism-ref,-0.94190556
Online-A.1585,hunan_ribao-zh.186::1,95,Prism-ref,-2.2672582
Online-A.1585,hunan_ribao-zh.186::2,96,Prism-ref,-1.4459451
Online-A.1585,hunan_ribao-zh.186::3,97,Prism-ref,-1.681854
Online-A.1585,hunan_ribao-zh.186::4,98,Prism-ref,-2.3470616
Online-A.1585,hunan_ribao-zh.186::5,99,Prism-ref,-1.4496453
Online-A.1585,hunan_ribao-zh.186::6,100,Prism-ref,-1.5489957
Online-A.1585,hunan_ribao-zh.186::7,101,Prism-ref,-1.5700247
Online-A.1585,chinanews.com.102605::1,102,Prism-ref,-3.080747
Online-A.1585,chinanews.com.102605::2,103,Prism-ref,-2.341529
Online-A.1585,chinanews.com.102605::3,104,Prism-ref,-3.8455877
Online-A.1585,chinanews.com.102605::4,105,Prism-ref,-3.2553098
Online-A.1585,chinanews.com.102605::5,106,Prism-ref,-2.7872944
Online-A.1585,chinanews.com.102605::6,107,Prism-ref,-3.9195738
Online-A.1585,chinanews.com.102605::7,108,Prism-ref,-2.2645774
Online-A.1585,chinanews.com.102605::8,109,Prism-ref,-1.4927804
Online-A.1585,chinanews.com.102605::9,110,Prism-ref,-1.8338276
Online-A.1585,chinanews.com.102605::10,111,Prism-ref,-2.4563904
Online-A.1585,chinanews.com.102605::11,112,Prism-ref,-2.0060196
Online-A.1585,chinanews.com.102605::12,113,Prism-ref,-2.9295661
Online-A.1585,chinanews.com.102605::13,114,Prism-ref,-2.2508197
Online-A.1585,chinanews.com.102605::14,115,Prism-ref,-2.1276093
Online-A.1585,chinanews.com.102605::15,116,Prism-ref,-3.257265
Online-A.1585,chinanews.com.102605::16,117,Prism-ref,-1.2419503
Online-A.1585,chinanews.com.102605::17,118,Prism-ref,-1.941989
Online-A.1585,chinanews.com.102605::18,119,Prism-ref,-1.6513897
Online-A.1585,chinanews.com.102605::19,120,Prism-ref,-0.9569074
Online-A.1585,chinanews.com.102605::20,121,Prism-ref,-3.3496215
Online-A.1585,chinanews.com.102605::21,122,Prism-ref,-2.4005132
Online-A.1585,chinanews.com.102605::22,123,Prism-ref,-1.5564945
Online-A.1585,chinanews.com.102605::23,124,Prism-ref,-3.008079
Online-A.1585,chinanews.com.102605::24,125,Prism-ref,-3.2657218
Online-A.1585,chinanews.com.102605::25,126,Prism-ref,-2.3480377
Online-A.1585,chinanews.com.102605::26,127,Prism-ref,-2.5930748
Online-A.1585,chinanews.com.102574::1,128,Prism-ref,-2.7709253
Online-A.1585,chinanews.com.102574::2,129,Prism-ref,-0.7453135
Online-A.1585,chinanews.com.102574::3,130,Prism-ref,-1.1612513
Online-A.1585,chinanews.com.102574::4,131,Prism-ref,-2.4603486
Online-A.1585,chinanews.com.102574::5,132,Prism-ref,-1.2176968
Online-A.1585,chinanews.com.102574::6,133,Prism-ref,-0.98054373
Online-A.1585,chinanews.com.102574::7,134,Prism-ref,-2.250928
Online-A.1585,chinanews.com.102574::8,135,Prism-ref,-1.5197301
Online-A.1585,chinanews.com.102574::9,136,Prism-ref,-1.6520467
Online-A.1585,chinanews.com.102574::10,137,Prism-ref,-1.4269252
Online-A.1585,chinanews.com.102574::11,138,Prism-ref,-2.2588305
Online-A.1585,chinanews.com.102574::12,139,Prism-ref,-2.1285596
Online-A.1585,chinanews.com.102574::13,140,Prism-ref,-3.0315943
Online-A.1585,chinanews.com.102574::14,141,Prism-ref,-2.044276
Online-A.1585,chinanews.com.102574::15,142,Prism-ref,-1.3025656
Online-A.1585,chinanews.com.102574::16,143,Prism-ref,-2.069044
Online-A.1585,chinanews.com.102574::17,144,Prism-ref,-1.7552036
Online-A.1585,chinanews.com.102574::18,145,Prism-ref,-2.1839035
Online-A.1585,nikkei-.108::1,146,Prism-ref,-1.3189533
Online-A.1585,nikkei-.108::2,147,Prism-ref,-1.4976376
Online-A.1585,nikkei-.108::3,148,Prism-ref,-1.4146148
Online-A.1585,nikkei-.108::4,149,Prism-ref,-0.12486914
Online-A.1585,nikkei-.108::5,150,Prism-ref,-1.7838314
Online-A.1585,nikkei-.108::6,151,Prism-ref,-0.9198611
Online-A.1585,nikkei-.108::7,152,Prism-ref,-1.8627408
Online-A.1585,nikkei-.108::8,153,Prism-ref,-0.73519003
Online-A.1585,nikkei-.108::9,154,Prism-ref,-1.3093534
Online-A.1585,nikkei-.108::10,155,Prism-ref,-1.8932021
Online-A.1585,nikkei-.108::11,156,Prism-ref,-1.2679986
Online-A.1585,nikkei-.108::12,157,Prism-ref,-1.5897331
Online-A.1585,nikkei-.108::13,158,Prism-ref,-0.8821029
Online-A.1585,chinanews.com.102535::1,159,Prism-ref,-2.741869
Online-A.1585,chinanews.com.102535::2,160,Prism-ref,-1.1341116
Online-A.1585,chinanews.com.102535::3,161,Prism-ref,-1.5849977
Online-A.1585,chinanews.com.102535::4,162,Prism-ref,-1.6260364
