SYS,seg_id,set_id,metric,score
Online-A.1585,xinhua-zh-01.6565::1,0,Prism-src,-1.3089224
Online-A.1585,xinhua-zh-01.6565::2,1,Prism-src,-1.2028921
Online-A.1585,xinhua-zh-01.6565::3,2,Prism-src,-2.0257127
Online-A.1585,xinhua-zh-01.6565::4,3,Prism-src,-2.1996176
Online-A.1585,xinhua-zh-01.6565::5,4,Prism-src,-1.2101724
Online-A.1585,xinhua-zh-01.6565::6,5,Prism-src,-1.1748911
Online-A.1585,xinhua-zh-01.6565::7,6,Prism-src,-1.2924837
Online-A.1585,xinhua-zh-01.6565::8,7,Prism-src,-1.4534208
Online-A.1585,chinanews.com.102830::1,8,Prism-src,-2.5905268
Online-A.1585,chinanews.com.102830::2,9,Prism-src,-1.8255175
Online-A.1585,chinanews.com.102830::3,10,Prism-src,-1.590816
Online-A.1585,chinanews.com.102830::4,11,Prism-src,-1.8615505
Online-A.1585,chinanews.com.102830::5,12,Prism-src,-1.7780813
Online-A.1585,chinanews.com.102830::6,13,Prism-src,-1.4876287
Online-A.1585,chinanews.com.102830::7,14,Prism-src,-1.4979595
Online-A.1585,chinanews.com.102830::8,15,Prism-src,-1.3430924
Online-A.1585,chinanews.com.102568::1,16,Prism-src,-1.3794771
Online-A.1585,chinanews.com.102568::2,17,Prism-src,-1.4023091
Online-A.1585,chinanews.com.102568::3,18,Prism-src,-3.1401143
Online-A.1585,chinanews.com.102568::4,19,Prism-src,-0.9450543
Online-A.1585,chinanews.com.102568::5,20,Prism-src,-1.4296789
Online-A.1585,chinanews.com.102568::6,21,Prism-src,-2.1205132
Online-A.1585,chinanews.com.102568::7,22,Prism-src,-1.3721497
Online-A.1585,chinanews.com.102568::8,23,Prism-src,-1.2617849
Online-A.1585,chinanews.com.102568::9,24,Prism-src,-1.5759782
Online-A.1585,chinanews.com.102568::10,25,Prism-src,-1.4247628
Online-A.1585,chinanews.com.102568::11,26,Prism-src,-1.0696332
Online-A.1585,international_times-zh.151::1,27,Prism-src,-0.85871196
Online-A.1585,international_times-zh.151::2,28,Prism-src,-0.8805272
Online-A.1585,international_times-zh.151::3,29,Prism-src,-1.4987129
Online-A.1585,international_times-zh.151::4,30,Prism-src,-0.92511064
Online-A.1585,international_times-zh.151::5,31,Prism-src,-0.49144402
Online-A.1585,chinanews.com.102642::1,32,Prism-src,-1.6733733
Online-A.1585,chinanews.com.102642::2,33,Prism-src,-1.7492597
Online-A.1585,chinanews.com.102642::3,34,Prism-src,-1.9586782
Online-A.1585,chinanews.com.102642::4,35,Prism-src,-0.33826303
Online-A.1585,chinanews.com.102642::5,36,Prism-src,-0.6480877
Online-A.1585,chinanews.com.102642::6,37,Prism-src,-0.5623767
Online-A.1585,chinanews.com.102642::7,38,Prism-src,-2.4398165
Online-A.1585,chinanews.com.102642::8,39,Prism-src,-0.74776053
Online-A.1585,xinhua-zh-01.6446::1,40,Prism-src,-1.0370572
Online-A.1585,xinhua-zh-01.6446::2,41,Prism-src,-0.7923498
Online-A.1585,xinhua-zh-01.6446::3,42,Prism-src,-1.2413142
Online-A.1585,xinhua-zh-01.6446::4,43,Prism-src,-1.0128455
Online-A.1585,xinhua-zh-01.6446::5,44,Prism-src,-0.8806425
Online-A.1585,xinhua-zh-01.6446::6,45,Prism-src,-0.9895695
Online-A.1585,xinhua-zh-01.6446::7,46,Prism-src,-0.5810925
Online-A.1585,chinanews.com.102876::1,47,Prism-src,-1.4053705
Online-A.1585,chinanews.com.102876::2,48,Prism-src,-1.7193189
Online-A.1585,chinanews.com.102876::3,49,Prism-src,-2.0984628
Online-A.1585,chinanews.com.102876::4,50,Prism-src,-1.1398581
Online-A.1585,chinanews.com.102876::5,51,Prism-src,-2.277364
Online-A.1585,chinanews.com.102876::6,52,Prism-src,-1.7310567
Online-A.1585,chinanews.com.102876::7,53,Prism-src,-2.0346017
Online-A.1585,chinanews.com.102876::8,54,Prism-src,-2.0235164
Online-A.1585,chinanews.com.102876::9,55,Prism-src,-1.9056921
Online-A.1585,chinanews.com.102876::10,56,Prism-src,-1.4585869
Online-A.1585,chinanews.com.102876::11,57,Prism-src,-1.8131485
Online-A.1585,chinanews.com.102876::12,58,Prism-src,-1.5417504
Online-A.1585,chinanews.com.102876::13,59,Prism-src,-2.088885
Online-A.1585,chinanews.com.102876::14,60,Prism-src,-2.1050181
Online-A.1585,chinanews.com.102876::15,61,Prism-src,-1.8423799
Online-A.1585,chinanews.com.102876::16,62,Prism-src,-1.5769422
Online-A.1585,chinanews.com.102876::17,63,Prism-src,-2.083332
Online-A.1585,chinese.macao.1081::1,64,Prism-src,-0.9778805
Online-A.1585,chinese.macao.1081::2,65,Prism-src,-1.1446973
Online-A.1585,chinese.macao.1081::3,66,Prism-src,-2.0867617
Online-A.1585,chinese.macao.1081::4,67,Prism-src,-1.0338564
Online-A.1585,chinese.macao.1081::5,68,Prism-src,-1.8170267
Online-A.1585,chinese.macao.1081::6,69,Prism-src,-0.55367017
Online-A.1585,chinese.macao.1081::7,70,Prism-src,-1.629561
Online-A.1585,chinese.macao.1081::8,71,Prism-src,-1.4699551
Online-A.1585,chinese.macao.1081::9,72,Prism-src,-0.9956171
Online-A.1585,chinese.macao.1081::10,73,Prism-src,-0.9307506
Online-A.1585,chinese.macao.1081::11,74,Prism-src,-1.03907
Online-A.1585,chinese.macao.1081::12,75,Prism-src,-1.3168032
Online-A.1585,xinhua-zh-01.6632::1,76,Prism-src,-0.7661468
Online-A.1585,xinhua-zh-01.6632::2,77,Prism-src,-0.6184897
Online-A.1585,xinhua-zh-01.6632::3,78,Prism-src,-1.30415
Online-A.1585,xinhua-zh-01.6632::4,79,Prism-src,-0.6303014
Online-A.1585,xinhua-zh-01.6632::5,80,Prism-src,-0.5576792
Online-A.1585,xinhua-zh-01.6632::6,81,Prism-src,-1.9915258
Online-A.1585,xinhua-zh-01.6632::7,82,Prism-src,-1.1496866
Online-A.1585,xinhua-zh-01.6632::8,83,Prism-src,-2.3971074
Online-A.1585,xinhua-zh-01.6632::9,84,Prism-src,-0.7553516
Online-A.1585,xinhua-zh-01.6632::10,85,Prism-src,-1.8325411
Online-A.1585,xinhua-zh-01.6632::11,86,Prism-src,-1.4361862
Online-A.1585,tsrus.cn.2113::1,87,Prism-src,-1.2649932
Online-A.1585,tsrus.cn.2113::2,88,Prism-src,-0.6269681
Online-A.1585,tsrus.cn.2113::3,89,Prism-src,-0.907201
Online-A.1585,tsrus.cn.2113::4,90,Prism-src,-1.2969786
Online-A.1585,tsrus.cn.2113::5,91,Prism-src,-1.5511528
Online-A.1585,tsrus.cn.2113::6,92,Prism-src,-0.5785335
Online-A.1585,tsrus.cn.2113::7,93,Prism-src,-0.7792317
Online-A.1585,tsrus.cn.2113::8,94,Prism-src,-0.68980813
Online-A.1585,hunan_ribao-zh.186::1,95,Prism-src,-1.8541267
