SYS,seg_id,set_id,metric,score
Online-B.1605,xinhua-zh-01.6565::1,0,Prism-ref,-1.8686905
Online-B.1605,xinhua-zh-01.6565::2,1,Prism-ref,-2.3130035
Online-B.1605,xinhua-zh-01.6565::3,2,Prism-ref,-1.2004654
Online-B.1605,xinhua-zh-01.6565::4,3,Prism-ref,-1.059388
Online-B.1605,xinhua-zh-01.6565::5,4,Prism-ref,-1.8335483
Online-B.1605,xinhua-zh-01.6565::6,5,Prism-ref,-0.9660042
Online-B.1605,xinhua-zh-01.6565::7,6,Prism-ref,-1.2000679
Online-B.1605,xinhua-zh-01.6565::8,7,Prism-ref,-1.9264703
Online-B.1605,chinanews.com.102830::1,8,Prism-ref,-2.2547724
Online-B.1605,chinanews.com.102830::2,9,Prism-ref,-2.3125086
Online-B.1605,chinanews.com.102830::3,10,Prism-ref,-1.5746474
Online-B.1605,chinanews.com.102830::4,11,Prism-ref,-1.9995031
Online-B.1605,chinanews.com.102830::5,12,Prism-ref,-2.3615098
Online-B.1605,chinanews.com.102830::6,13,Prism-ref,-1.2285068
Online-B.1605,chinanews.com.102830::7,14,Prism-ref,-1.5427172
Online-B.1605,chinanews.com.102830::8,15,Prism-ref,-1.9320613
Online-B.1605,chinanews.com.102568::1,16,Prism-ref,-1.0672357
Online-B.1605,chinanews.com.102568::2,17,Prism-ref,-1.1414089
Online-B.1605,chinanews.com.102568::3,18,Prism-ref,-0.9470212
Online-B.1605,chinanews.com.102568::4,19,Prism-ref,-0.8961402
Online-B.1605,chinanews.com.102568::5,20,Prism-ref,-1.0995666
Online-B.1605,chinanews.com.102568::6,21,Prism-ref,-1.1260116
Online-B.1605,chinanews.com.102568::7,22,Prism-ref,-0.90403515
Online-B.1605,chinanews.com.102568::8,23,Prism-ref,-1.1038378
Online-B.1605,chinanews.com.102568::9,24,Prism-ref,-0.22684264
Online-B.1605,chinanews.com.102568::10,25,Prism-ref,-1.016623
Online-B.1605,chinanews.com.102568::11,26,Prism-ref,-0.2096905
Online-B.1605,international_times-zh.151::1,27,Prism-ref,-0.4832868
