SYS,seg_id,set_id,metric,score
Online-B.1605,xinhua-zh-01.6565::1,0,Prism-src,-1.5658121
Online-B.1605,xinhua-zh-01.6565::2,1,Prism-src,-1.484694
Online-B.1605,xinhua-zh-01.6565::3,2,Prism-src,-2.0152986
Online-B.1605,xinhua-zh-01.6565::4,3,Prism-src,-1.3849292
Online-B.1605,xinhua-zh-01.6565::5,4,Prism-src,-1.5391206
Online-B.1605,xinhua-zh-01.6565::6,5,Prism-src,-1.1805652
Online-B.1605,xinhua-zh-01.6565::7,6,Prism-src,-1.5129527
Online-B.1605,xinhua-zh-01.6565::8,7,Prism-src,-1.4922806
Online-B.1605,chinanews.com.102830::1,8,Prism-src,-2.4815948
Online-B.1605,chinanews.com.102830::2,9,Prism-src,-1.5322076
Online-B.1605,chinanews.com.102830::3,10,Prism-src,-1.3625987
Online-B.1605,chinanews.com.102830::4,11,Prism-src,-1.4720745
Online-B.1605,chinanews.com.102830::5,12,Prism-src,-1.7844224
Online-B.1605,chinanews.com.102830::6,13,Prism-src,-0.9025016
Online-B.1605,chinanews.com.102830::7,14,Prism-src,-1.2382363
Online-B.1605,chinanews.com.102830::8,15,Prism-src,-1.79418
Online-B.1605,chinanews.com.102568::1,16,Prism-src,-1.256766
Online-B.1605,chinanews.com.102568::2,17,Prism-src,-1.1005636
Online-B.1605,chinanews.com.102568::3,18,Prism-src,-2.0433228
Online-B.1605,chinanews.com.102568::4,19,Prism-src,-1.0824565
Online-B.1605,chinanews.com.102568::5,20,Prism-src,-1.7592888
Online-B.1605,chinanews.com.102568::6,21,Prism-src,-1.4489893
Online-B.1605,chinanews.com.102568::7,22,Prism-src,-1.3577282
Online-B.1605,chinanews.com.102568::8,23,Prism-src,-1.1507475
Online-B.1605,chinanews.com.102568::9,24,Prism-src,-1.2164867
Online-B.1605,chinanews.com.102568::10,25,Prism-src,-1.4379334
Online-B.1605,chinanews.com.102568::11,26,Prism-src,-0.7437639
Online-B.1605,international_times-zh.151::1,27,Prism-src,-0.49935532
Online-B.1605,international_times-zh.151::2,28,Prism-src,-0.9815626
Online-B.1605,international_times-zh.151::3,29,Prism-src,-0.797838
Online-B.1605,international_times-zh.151::4,30,Prism-src,-0.8963316
Online-B.1605,international_times-zh.151::5,31,Prism-src,-0.4730564
Online-B.1605,chinanews.com.102642::1,32,Prism-src,-1.612654
Online-B.1605,chinanews.com.102642::2,33,Prism-src,-1.5593631
