SYS,seg_id,set_id,metric,score
Online-B.1605,xinhua-zh-01.6565::1,0,wmt20-comet-qe-da,0.20399883389472961
Online-B.1605,xinhua-zh-01.6565::2,1,wmt20-comet-qe-da,4.0575188904767856e-05
Online-B.1605,xinhua-zh-01.6565::3,2,wmt20-comet-qe-da,0.025914886966347694
Online-B.1605,xinhua-zh-01.6565::4,3,wmt20-comet-qe-da,0.20243842899799347
Online-B.1605,xinhua-zh-01.6565::5,4,wmt20-comet-qe-da,0.00011867317516589537
Online-B.1605,xinhua-zh-01.6565::6,5,wmt20-comet-qe-da,0.22601747512817383
Online-B.1605,xinhua-zh-01.6565::7,6,wmt20-comet-qe-da,4.052723306813277e-05
Online-B.1605,xinhua-zh-01.6565::8,7,wmt20-comet-qe-da,0.11303649097681046
Online-B.1605,chinanews.com.102830::1,8,wmt20-comet-qe-da,0.21038562059402466
Online-B.1605,chinanews.com.102830::2,9,wmt20-comet-qe-da,0.466284841299057
Online-B.1605,chinanews.com.102830::3,10,wmt20-comet-qe-da,0.5696361660957336
Online-B.1605,chinanews.com.102830::4,11,wmt20-comet-qe-da,6.123868661234155e-05
Online-B.1605,chinanews.com.102830::5,12,wmt20-comet-qe-da,5.094144580652937e-05
Online-B.1605,chinanews.com.102830::6,13,wmt20-comet-qe-da,0.6493103504180908
Online-B.1605,chinanews.com.102830::7,14,wmt20-comet-qe-da,0.12098220735788345
Online-B.1605,chinanews.com.102830::8,15,wmt20-comet-qe-da,0.018397215753793716
Online-B.1605,chinanews.com.102568::1,16,wmt20-comet-qe-da,4.1995761421276256e-05
Online-B.1605,chinanews.com.102568::2,17,wmt20-comet-qe-da,0.3151896893978119
Online-B.1605,chinanews.com.102568::3,18,wmt20-comet-qe-da,0.2167503535747528
Online-B.1605,chinanews.com.102568::4,19,wmt20-comet-qe-da,0.3540843725204468
Online-B.1605,chinanews.com.102568::5,20,wmt20-comet-qe-da,0.11298840492963791
Online-B.1605,chinanews.com.102568::6,21,wmt20-comet-qe-da,5.2538820455083624e-05
Online-B.1605,chinanews.com.102568::7,22,wmt20-comet-qe-da,0.2046251893043518
Online-B.1605,chinanews.com.102568::8,23,wmt20-comet-qe-da,0.00018384731083642691
Online-B.1605,chinanews.com.102568::9,24,wmt20-comet-qe-da,0.5661687850952148
Online-B.1605,chinanews.com.102568::10,25,wmt20-comet-qe-da,0.1495191603899002
Online-B.1605,chinanews.com.102568::11,26,wmt20-comet-qe-da,0.6439694762229919
Online-B.1605,international_times-zh.151::1,27,wmt20-comet-qe-da,0.6385204195976257
Online-B.1605,international_times-zh.151::2,28,wmt20-comet-qe-da,0.2548156678676605
Online-B.1605,international_times-zh.151::3,29,wmt20-comet-qe-da,0.7094994783401489
Online-B.1605,international_times-zh.151::4,30,wmt20-comet-qe-da,0.8487326502799988
Online-B.1605,international_times-zh.151::5,31,wmt20-comet-qe-da,0.7231365442276001
Online-B.1605,chinanews.com.102642::1,32,wmt20-comet-qe-da,0.00020656541164498776
Online-B.1605,chinanews.com.102642::2,33,wmt20-comet-qe-da,0.2650183439254761
Online-B.1605,chinanews.com.102642::3,34,wmt20-comet-qe-da,0.23597007989883423
Online-B.1605,chinanews.com.102642::4,35,wmt20-comet-qe-da,0.6928239464759827
Online-B.1605,chinanews.com.102642::5,36,wmt20-comet-qe-da,0.28376665711402893
Online-B.1605,chinanews.com.102642::6,37,wmt20-comet-qe-da,0.5006904602050781
Online-B.1605,chinanews.com.102642::7,38,wmt20-comet-qe-da,0.33474740386009216
Online-B.1605,chinanews.com.102642::8,39,wmt20-comet-qe-da,0.27676159143447876
Online-B.1605,xinhua-zh-01.6446::1,40,wmt20-comet-qe-da,0.01415661908686161
Online-B.1605,xinhua-zh-01.6446::2,41,wmt20-comet-qe-da,0.045788343995809555
Online-B.1605,xinhua-zh-01.6446::3,42,wmt20-comet-qe-da,0.44642168283462524
Online-B.1605,xinhua-zh-01.6446::4,43,wmt20-comet-qe-da,0.22218257188796997
Online-B.1605,xinhua-zh-01.6446::5,44,wmt20-comet-qe-da,0.5626392364501953
Online-B.1605,xinhua-zh-01.6446::6,45,wmt20-comet-qe-da,4.2321811633883044e-05
Online-B.1605,xinhua-zh-01.6446::7,46,wmt20-comet-qe-da,0.680107057094574
Online-B.1605,chinanews.com.102876::1,47,wmt20-comet-qe-da,0.020415380597114563
Online-B.1605,chinanews.com.102876::2,48,wmt20-comet-qe-da,0.00011491604527691379
Online-B.1605,chinanews.com.102876::3,49,wmt20-comet-qe-da,0.039365071803331375
Online-B.1605,chinanews.com.102876::4,50,wmt20-comet-qe-da,7.429065590258688e-05
Online-B.1605,chinanews.com.102876::5,51,wmt20-comet-qe-da,4.050119241583161e-05
Online-B.1605,chinanews.com.102876::6,52,wmt20-comet-qe-da,0.10566522926092148
Online-B.1605,chinanews.com.102876::7,53,wmt20-comet-qe-da,0.000710324093233794
Online-B.1605,chinanews.com.102876::8,54,wmt20-comet-qe-da,0.00011630343942670152
Online-B.1605,chinanews.com.102876::9,55,wmt20-comet-qe-da,4.193140921415761e-05
Online-B.1605,chinanews.com.102876::10,56,wmt20-comet-qe-da,4.070622526342049e-05
Online-B.1605,chinanews.com.102876::11,57,wmt20-comet-qe-da,0.23134247958660126
Online-B.1605,chinanews.com.102876::12,58,wmt20-comet-qe-da,0.4222317337989807
Online-B.1605,chinanews.com.102876::13,59,wmt20-comet-qe-da,4.1687515476951376e-05
Online-B.1605,chinanews.com.102876::14,60,wmt20-comet-qe-da,4.242622526362538e-05
Online-B.1605,chinanews.com.102876::15,61,wmt20-comet-qe-da,0.21788856387138367
Online-B.1605,chinanews.com.102876::16,62,wmt20-comet-qe-da,4.053465454489924e-05
Online-B.1605,chinanews.com.102876::17,63,wmt20-comet-qe-da,0.01200223807245493
Online-B.1605,chinese.macao.1081::1,64,wmt20-comet-qe-da,0.4442025125026703
Online-B.1605,chinese.macao.1081::2,65,wmt20-comet-qe-da,0.3742276430130005
Online-B.1605,chinese.macao.1081::3,66,wmt20-comet-qe-da,0.30997684597969055
Online-B.1605,chinese.macao.1081::4,67,wmt20-comet-qe-da,0.7151048183441162
Online-B.1605,chinese.macao.1081::5,68,wmt20-comet-qe-da,0.4259820878505707
Online-B.1605,chinese.macao.1081::6,69,wmt20-comet-qe-da,0.6943342685699463
Online-B.1605,chinese.macao.1081::7,70,wmt20-comet-qe-da,4.120174708077684e-05
Online-B.1605,chinese.macao.1081::8,71,wmt20-comet-qe-da,0.32482004165649414
Online-B.1605,chinese.macao.1081::9,72,wmt20-comet-qe-da,0.16333605349063873
Online-B.1605,chinese.macao.1081::10,73,wmt20-comet-qe-da,0.5654740929603577
Online-B.1605,chinese.macao.1081::11,74,wmt20-comet-qe-da,0.7005137801170349
Online-B.1605,chinese.macao.1081::12,75,wmt20-comet-qe-da,0.5664910674095154
Online-B.1605,xinhua-zh-01.6632::1,76,wmt20-comet-qe-da,0.4129526615142822
Online-B.1605,xinhua-zh-01.6632::2,77,wmt20-comet-qe-da,0.38940009474754333
Online-B.1605,xinhua-zh-01.6632::3,78,wmt20-comet-qe-da,0.049302175641059875
Online-B.1605,xinhua-zh-01.6632::4,79,wmt20-comet-qe-da,0.4171595573425293
Online-B.1605,xinhua-zh-01.6632::5,80,wmt20-comet-qe-da,4.308844290790148e-05
Online-B.1605,xinhua-zh-01.6632::6,81,wmt20-comet-qe-da,4.069814895046875e-05
Online-B.1605,xinhua-zh-01.6632::7,82,wmt20-comet-qe-da,4.4718286517309025e-05
Online-B.1605,xinhua-zh-01.6632::8,83,wmt20-comet-qe-da,4.2266070522600785e-05
Online-B.1605,xinhua-zh-01.6632::9,84,wmt20-comet-qe-da,0.5306794047355652
Online-B.1605,xinhua-zh-01.6632::10,85,wmt20-comet-qe-da,4.0522325434722006e-05
Online-B.1605,xinhua-zh-01.6632::11,86,wmt20-comet-qe-da,0.07042250037193298
Online-B.1605,tsrus.cn.2113::1,87,wmt20-comet-qe-da,0.6623441576957703
Online-B.1605,tsrus.cn.2113::2,88,wmt20-comet-qe-da,0.5876784920692444
Online-B.1605,tsrus.cn.2113::3,89,wmt20-comet-qe-da,0.6037723422050476
Online-B.1605,tsrus.cn.2113::4,90,wmt20-comet-qe-da,0.44860363006591797
Online-B.1605,tsrus.cn.2113::5,91,wmt20-comet-qe-da,0.4872227609157562
Online-B.1605,tsrus.cn.2113::6,92,wmt20-comet-qe-da,0.7794126868247986
Online-B.1605,tsrus.cn.2113::7,93,wmt20-comet-qe-da,0.6513529419898987
Online-B.1605,tsrus.cn.2113::8,94,wmt20-comet-qe-da,0.6546899676322937
Online-B.1605,hunan_ribao-zh.186::1,95,wmt20-comet-qe-da,4.069737042300403e-05
Online-B.1605,hunan_ribao-zh.186::2,96,wmt20-comet-qe-da,0.634038507938385
Online-B.1605,hunan_ribao-zh.186::3,97,wmt20-comet-qe-da,0.4870530366897583
Online-B.1605,hunan_ribao-zh.186::4,98,wmt20-comet-qe-da,0.46335357427597046
Online-B.1605,hunan_ribao-zh.186::5,99,wmt20-comet-qe-da,0.5767684578895569
Online-B.1605,hunan_ribao-zh.186::6,100,wmt20-comet-qe-da,0.6019490957260132
Online-B.1605,hunan_ribao-zh.186::7,101,wmt20-comet-qe-da,0.3434912860393524
Online-B.1605,chinanews.com.102605::1,102,wmt20-comet-qe-da,4.1678060370031744e-05
Online-B.1605,chinanews.com.102605::2,103,wmt20-comet-qe-da,4.0664202970219776e-05
Online-B.1605,chinanews.com.102605::3,104,wmt20-comet-qe-da,4.206814992357977e-05
Online-B.1605,chinanews.com.102605::4,105,wmt20-comet-qe-da,4.160265234531835e-05
Online-B.1605,chinanews.com.102605::5,106,wmt20-comet-qe-da,4.0694070776226e-05
Online-B.1605,chinanews.com.102605::6,107,wmt20-comet-qe-da,4.224391159368679e-05
Online-B.1605,chinanews.com.102605::7,108,wmt20-comet-qe-da,0.1801835000514984
Online-B.1605,chinanews.com.102605::8,109,wmt20-comet-qe-da,0.21034416556358337
