SYS,seg_id,set_id,metric,score
Online-G.1569,xinhua-zh-01.6565::1,0,METEOR,0.6198347107438016
Online-G.1569,xinhua-zh-01.6565::2,1,METEOR,0.23238055944682182
Online-G.1569,xinhua-zh-01.6565::3,2,METEOR,0.571983162314873
Online-G.1569,xinhua-zh-01.6565::4,3,METEOR,0.5347679394338382
Online-G.1569,xinhua-zh-01.6565::5,4,METEOR,0.6202011149461043
Online-G.1569,xinhua-zh-01.6565::6,5,METEOR,0.4075307809074042
Online-G.1569,xinhua-zh-01.6565::7,6,METEOR,0.5149206752538124
Online-G.1569,xinhua-zh-01.6565::8,7,METEOR,0.3786113210716386
Online-G.1569,chinanews.com.102830::1,8,METEOR,0.665844838921762
Online-G.1569,chinanews.com.102830::2,9,METEOR,0.5657328524887193
Online-G.1569,chinanews.com.102830::3,10,METEOR,0.37602199906700384
Online-G.1569,chinanews.com.102830::4,11,METEOR,0.48861431107807923
Online-G.1569,chinanews.com.102830::5,12,METEOR,0.5540372670807454
Online-G.1569,chinanews.com.102830::6,13,METEOR,0.5537974683544303
Online-G.1569,chinanews.com.102830::7,14,METEOR,0.5125760469917963
Online-G.1569,chinanews.com.102830::8,15,METEOR,0.5647497534516766
Online-G.1569,chinanews.com.102568::1,16,METEOR,0.7019054178145088
Online-G.1569,chinanews.com.102568::2,17,METEOR,0.6322562837476495
Online-G.1569,chinanews.com.102568::3,18,METEOR,0.7876262626262627
Online-G.1569,chinanews.com.102568::4,19,METEOR,0.6289035838564218
Online-G.1569,chinanews.com.102568::5,20,METEOR,0.8557128906249999
Online-G.1569,chinanews.com.102568::6,21,METEOR,0.437847728628046
Online-G.1569,chinanews.com.102568::7,22,METEOR,0.6543325472788644
Online-G.1569,chinanews.com.102568::8,23,METEOR,0.796378418329638
Online-G.1569,chinanews.com.102568::9,24,METEOR,0.8243727598566307
Online-G.1569,chinanews.com.102568::10,25,METEOR,0.6399128369655059
Online-G.1569,chinanews.com.102568::11,26,METEOR,0.8638114445080352
Online-G.1569,international_times-zh.151::1,27,METEOR,0.7760422630393736
Online-G.1569,international_times-zh.151::2,28,METEOR,0.627042004990419
Online-G.1569,international_times-zh.151::3,29,METEOR,0.5914906440919426
Online-G.1569,international_times-zh.151::4,30,METEOR,0.6865248226950355
Online-G.1569,international_times-zh.151::5,31,METEOR,0.8590726643598616
Online-G.1569,chinanews.com.102642::1,32,METEOR,0.4864936749301773
Online-G.1569,chinanews.com.102642::2,33,METEOR,0.4452085313688214
Online-G.1569,chinanews.com.102642::3,34,METEOR,0.2964143426294821
Online-G.1569,chinanews.com.102642::4,35,METEOR,0.6722222222222223
Online-G.1569,chinanews.com.102642::5,36,METEOR,0.4394971613949716
Online-G.1569,chinanews.com.102642::6,37,METEOR,0.7957963660670879
Online-G.1569,chinanews.com.102642::7,38,METEOR,0.3207972152071531
Online-G.1569,chinanews.com.102642::8,39,METEOR,0.4132271653639175
Online-G.1569,xinhua-zh-01.6446::1,40,METEOR,0.8099489795918368
Online-G.1569,xinhua-zh-01.6446::2,41,METEOR,0.6664244846063027
Online-G.1569,xinhua-zh-01.6446::3,42,METEOR,0.6829252345614437
Online-G.1569,xinhua-zh-01.6446::4,43,METEOR,0.6800291545189504
Online-G.1569,xinhua-zh-01.6446::5,44,METEOR,0.6816901408450705
Online-G.1569,xinhua-zh-01.6446::6,45,METEOR,0.5782312925170067
Online-G.1569,xinhua-zh-01.6446::7,46,METEOR,1.0966942148760332
Online-G.1569,chinanews.com.102876::1,47,METEOR,0.6059160305343513
Online-G.1569,chinanews.com.102876::2,48,METEOR,0.21325064226075788
Online-G.1569,chinanews.com.102876::3,49,METEOR,0.3856215213358071
Online-G.1569,chinanews.com.102876::4,50,METEOR,0.27245296414625486
Online-G.1569,chinanews.com.102876::5,51,METEOR,0.19199395770392746
Online-G.1569,chinanews.com.102876::6,52,METEOR,0.497195112579728
Online-G.1569,chinanews.com.102876::7,53,METEOR,0.33006370178129063
Online-G.1569,chinanews.com.102876::8,54,METEOR,0.3232516861909833
Online-G.1569,chinanews.com.102876::9,55,METEOR,0.46405480625133805
Online-G.1569,chinanews.com.102876::10,56,METEOR,0.44321311575190153
Online-G.1569,chinanews.com.102876::11,57,METEOR,0.5289115646258503
Online-G.1569,chinanews.com.102876::12,58,METEOR,0.5618689861117694
Online-G.1569,chinanews.com.102876::13,59,METEOR,0.2624864899976363
Online-G.1569,chinanews.com.102876::14,60,METEOR,0.24553984100573115
Online-G.1569,chinanews.com.102876::15,61,METEOR,0.41683178125619175
Online-G.1569,chinanews.com.102876::16,62,METEOR,0.20958083832335328
Online-G.1569,chinanews.com.102876::17,63,METEOR,0.23656832298136649
Online-G.1569,chinese.macao.1081::1,64,METEOR,0.5428748857957884
Online-G.1569,chinese.macao.1081::2,65,METEOR,0.3726981936091667
Online-G.1569,chinese.macao.1081::3,66,METEOR,0.6330980869764395
Online-G.1569,chinese.macao.1081::4,67,METEOR,0.5556093259345292
Online-G.1569,chinese.macao.1081::5,68,METEOR,0.6381782375027608
Online-G.1569,chinese.macao.1081::6,69,METEOR,0.8186057447392139
Online-G.1569,chinese.macao.1081::7,70,METEOR,0.29869516326770623
Online-G.1569,chinese.macao.1081::8,71,METEOR,0.35498517768021315
Online-G.1569,chinese.macao.1081::9,72,METEOR,0.4319885853427428
Online-G.1569,chinese.macao.1081::10,73,METEOR,0.6221693764946359
Online-G.1569,chinese.macao.1081::11,74,METEOR,0.6948837209302325
Online-G.1569,chinese.macao.1081::12,75,METEOR,0.6818181818181819
Online-G.1569,xinhua-zh-01.6632::1,76,METEOR,0.692886396011396
Online-G.1569,xinhua-zh-01.6632::2,77,METEOR,0.7622925066764413
Online-G.1569,xinhua-zh-01.6632::3,78,METEOR,0.669413058557243
