SYS,seg_id,set_id,metric,score
Online-G.1569,xinhua-zh-01.6565::1,0,Prism-ref,-2.8607326
Online-G.1569,xinhua-zh-01.6565::2,1,Prism-ref,-2.6387959
Online-G.1569,xinhua-zh-01.6565::3,2,Prism-ref,-1.6714146
Online-G.1569,xinhua-zh-01.6565::4,3,Prism-ref,-2.3053327
Online-G.1569,xinhua-zh-01.6565::5,4,Prism-ref,-1.8210521
Online-G.1569,xinhua-zh-01.6565::6,5,Prism-ref,-1.7716329
Online-G.1569,xinhua-zh-01.6565::7,6,Prism-ref,-1.8748287
Online-G.1569,xinhua-zh-01.6565::8,7,Prism-ref,-2.640486
Online-G.1569,chinanews.com.102830::1,8,Prism-ref,-2.510312
Online-G.1569,chinanews.com.102830::2,9,Prism-ref,-2.683506
Online-G.1569,chinanews.com.102830::3,10,Prism-ref,-2.0101144
Online-G.1569,chinanews.com.102830::4,11,Prism-ref,-2.308753
Online-G.1569,chinanews.com.102830::5,12,Prism-ref,-2.55237
Online-G.1569,chinanews.com.102830::6,13,Prism-ref,-1.6006966
Online-G.1569,chinanews.com.102830::7,14,Prism-ref,-2.0931473
Online-G.1569,chinanews.com.102830::8,15,Prism-ref,-2.118896
Online-G.1569,chinanews.com.102568::1,16,Prism-ref,-1.6179286
Online-G.1569,chinanews.com.102568::2,17,Prism-ref,-1.2712209
Online-G.1569,chinanews.com.102568::3,18,Prism-ref,-0.9949337
Online-G.1569,chinanews.com.102568::4,19,Prism-ref,-1.372608
Online-G.1569,chinanews.com.102568::5,20,Prism-ref,-0.9291358
Online-G.1569,chinanews.com.102568::6,21,Prism-ref,-1.7939203
Online-G.1569,chinanews.com.102568::7,22,Prism-ref,-1.3834553
Online-G.1569,chinanews.com.102568::8,23,Prism-ref,-1.0919888
Online-G.1569,chinanews.com.102568::9,24,Prism-ref,-0.4651268
Online-G.1569,chinanews.com.102568::10,25,Prism-ref,-1.6034665
Online-G.1569,chinanews.com.102568::11,26,Prism-ref,-0.91063064
Online-G.1569,international_times-zh.151::1,27,Prism-ref,-0.8431524
Online-G.1569,international_times-zh.151::2,28,Prism-ref,-1.6871564
Online-G.1569,international_times-zh.151::3,29,Prism-ref,-0.982411
Online-G.1569,international_times-zh.151::4,30,Prism-ref,-0.94281065
Online-G.1569,international_times-zh.151::5,31,Prism-ref,-0.36119562
Online-G.1569,chinanews.com.102642::1,32,Prism-ref,-2.2669673
Online-G.1569,chinanews.com.102642::2,33,Prism-ref,-2.242208
Online-G.1569,chinanews.com.102642::3,34,Prism-ref,-3.0387342
Online-G.1569,chinanews.com.102642::4,35,Prism-ref,-1.1791003
Online-G.1569,chinanews.com.102642::5,36,Prism-ref,-1.9951317
Online-G.1569,chinanews.com.102642::6,37,Prism-ref,-1.2907934
Online-G.1569,chinanews.com.102642::7,38,Prism-ref,-2.7181787
Online-G.1569,chinanews.com.102642::8,39,Prism-ref,-1.8263707
Online-G.1569,xinhua-zh-01.6446::1,40,Prism-ref,-0.4203747
Online-G.1569,xinhua-zh-01.6446::2,41,Prism-ref,-1.5801604
Online-G.1569,xinhua-zh-01.6446::3,42,Prism-ref,-0.88560486
Online-G.1569,xinhua-zh-01.6446::4,43,Prism-ref,-1.4208455
Online-G.1569,xinhua-zh-01.6446::5,44,Prism-ref,-0.7795596
Online-G.1569,xinhua-zh-01.6446::6,45,Prism-ref,-1.3178831
Online-G.1569,xinhua-zh-01.6446::7,46,Prism-ref,-0.28756678
Online-G.1569,chinanews.com.102876::1,47,Prism-ref,-1.6093773
Online-G.1569,chinanews.com.102876::2,48,Prism-ref,-2.8233547
Online-G.1569,chinanews.com.102876::3,49,Prism-ref,-2.3108687
Online-G.1569,chinanews.com.102876::4,50,Prism-ref,-2.2224555
Online-G.1569,chinanews.com.102876::5,51,Prism-ref,-3.4120722
Online-G.1569,chinanews.com.102876::6,52,Prism-ref,-2.167339
Online-G.1569,chinanews.com.102876::7,53,Prism-ref,-2.422582
Online-G.1569,chinanews.com.102876::8,54,Prism-ref,-2.3940356
Online-G.1569,chinanews.com.102876::9,55,Prism-ref,-2.4414926
Online-G.1569,chinanews.com.102876::10,56,Prism-ref,-1.7808266
Online-G.1569,chinanews.com.102876::11,57,Prism-ref,-1.3148717
Online-G.1569,chinanews.com.102876::12,58,Prism-ref,-1.919354
Online-G.1569,chinanews.com.102876::13,59,Prism-ref,-2.8123496
Online-G.1569,chinanews.com.102876::14,60,Prism-ref,-3.221358
Online-G.1569,chinanews.com.102876::15,61,Prism-ref,-2.1659274
Online-G.1569,chinanews.com.102876::16,62,Prism-ref,-2.7596593
Online-G.1569,chinanews.com.102876::17,63,Prism-ref,-2.7346206
Online-G.1569,chinese.macao.1081::1,64,Prism-ref,-1.3435771
Online-G.1569,chinese.macao.1081::2,65,Prism-ref,-1.5819762
Online-G.1569,chinese.macao.1081::3,66,Prism-ref,-1.6699958
Online-G.1569,chinese.macao.1081::4,67,Prism-ref,-1.5222933
Online-G.1569,chinese.macao.1081::5,68,Prism-ref,-1.6768126
Online-G.1569,chinese.macao.1081::6,69,Prism-ref,-0.8849139
Online-G.1569,chinese.macao.1081::7,70,Prism-ref,-2.196858
Online-G.1569,chinese.macao.1081::8,71,Prism-ref,-1.6190956
Online-G.1569,chinese.macao.1081::9,72,Prism-ref,-2.1777544
Online-G.1569,chinese.macao.1081::10,73,Prism-ref,-1.4524851
Online-G.1569,chinese.macao.1081::11,74,Prism-ref,-1.1515088
Online-G.1569,chinese.macao.1081::12,75,Prism-ref,-1.7030976
Online-G.1569,xinhua-zh-01.6632::1,76,Prism-ref,-2.0934916
Online-G.1569,xinhua-zh-01.6632::2,77,Prism-ref,-1.221346
Online-G.1569,xinhua-zh-01.6632::3,78,Prism-ref,-1.2455513
Online-G.1569,xinhua-zh-01.6632::4,79,Prism-ref,-1.3639328
Online-G.1569,xinhua-zh-01.6632::5,80,Prism-ref,-0.7704935
Online-G.1569,xinhua-zh-01.6632::6,81,Prism-ref,-2.5169916
Online-G.1569,xinhua-zh-01.6632::7,82,Prism-ref,-1.427587
Online-G.1569,xinhua-zh-01.6632::8,83,Prism-ref,-2.6384704
Online-G.1569,xinhua-zh-01.6632::9,84,Prism-ref,-1.1936977
Online-G.1569,xinhua-zh-01.6632::10,85,Prism-ref,-2.59484
Online-G.1569,xinhua-zh-01.6632::11,86,Prism-ref,-1.7839981
Online-G.1569,tsrus.cn.2113::1,87,Prism-ref,-1.6980678
Online-G.1569,tsrus.cn.2113::2,88,Prism-ref,-1.4565428
Online-G.1569,tsrus.cn.2113::3,89,Prism-ref,-2.309524
Online-G.1569,tsrus.cn.2113::4,90,Prism-ref,-1.538549
Online-G.1569,tsrus.cn.2113::5,91,Prism-ref,-1.3477836
Online-G.1569,tsrus.cn.2113::6,92,Prism-ref,-0.121992156
Online-G.1569,tsrus.cn.2113::7,93,Prism-ref,-0.6602185
Online-G.1569,tsrus.cn.2113::8,94,Prism-ref,-1.0171652
Online-G.1569,hunan_ribao-zh.186::1,95,Prism-ref,-2.3244977
Online-G.1569,hunan_ribao-zh.186::2,96,Prism-ref,-1.5090451
Online-G.1569,hunan_ribao-zh.186::3,97,Prism-ref,-1.5921123
Online-G.1569,hunan_ribao-zh.186::4,98,Prism-ref,-2.0832505
Online-G.1569,hunan_ribao-zh.186::5,99,Prism-ref,-1.3521426
Online-G.1569,hunan_ribao-zh.186::6,100,Prism-ref,-1.038392
Online-G.1569,hunan_ribao-zh.186::7,101,Prism-ref,-2.038867
Online-G.1569,chinanews.com.102605::1,102,Prism-ref,-2.5768788
Online-G.1569,chinanews.com.102605::2,103,Prism-ref,-2.3097672
Online-G.1569,chinanews.com.102605::3,104,Prism-ref,-4.1081557
Online-G.1569,chinanews.com.102605::4,105,Prism-ref,-3.20536
Online-G.1569,chinanews.com.102605::5,106,Prism-ref,-2.7751808
Online-G.1569,chinanews.com.102605::6,107,Prism-ref,-3.6899595
Online-G.1569,chinanews.com.102605::7,108,Prism-ref,-2.3956242
Online-G.1569,chinanews.com.102605::8,109,Prism-ref,-1.6913137
Online-G.1569,chinanews.com.102605::9,110,Prism-ref,-1.8347368
Online-G.1569,chinanews.com.102605::10,111,Prism-ref,-2.1258614
Online-G.1569,chinanews.com.102605::11,112,Prism-ref,-2.504221
Online-G.1569,chinanews.com.102605::12,113,Prism-ref,-2.8917165
Online-G.1569,chinanews.com.102605::13,114,Prism-ref,-3.2949688
Online-G.1569,chinanews.com.102605::14,115,Prism-ref,-2.273046
Online-G.1569,chinanews.com.102605::15,116,Prism-ref,-3.411985
Online-G.1569,chinanews.com.102605::16,117,Prism-ref,-1.5265394
Online-G.1569,chinanews.com.102605::17,118,Prism-ref,-1.9221845
Online-G.1569,chinanews.com.102605::18,119,Prism-ref,-1.2165419
Online-G.1569,chinanews.com.102605::19,120,Prism-ref,-1.7854538
Online-G.1569,chinanews.com.102605::20,121,Prism-ref,-3.8554986
Online-G.1569,chinanews.com.102605::21,122,Prism-ref,-4.779956
Online-G.1569,chinanews.com.102605::22,123,Prism-ref,-1.3523088
Online-G.1569,chinanews.com.102605::23,124,Prism-ref,-2.6966686
Online-G.1569,chinanews.com.102605::24,125,Prism-ref,-3.3432016
Online-G.1569,chinanews.com.102605::25,126,Prism-ref,-2.1170144
Online-G.1569,chinanews.com.102605::26,127,Prism-ref,-2.3010821
Online-G.1569,chinanews.com.102574::1,128,Prism-ref,-2.8638346
Online-G.1569,chinanews.com.102574::2,129,Prism-ref,-1.2193577
Online-G.1569,chinanews.com.102574::3,130,Prism-ref,-1.232414
Online-G.1569,chinanews.com.102574::4,131,Prism-ref,-2.673572
