SYS,seg_id,set_id,metric,score
Online-G.1569,xinhua-zh-01.6565::1,0,chrFpp,58.2749906789313
Online-G.1569,xinhua-zh-01.6565::2,1,chrFpp,40.53135894526413
Online-G.1569,xinhua-zh-01.6565::3,2,chrFpp,59.20243860382548
Online-G.1569,xinhua-zh-01.6565::4,3,chrFpp,53.33124228595598
Online-G.1569,xinhua-zh-01.6565::5,4,chrFpp,65.5548857578784
Online-G.1569,xinhua-zh-01.6565::6,5,chrFpp,58.09252498451467
Online-G.1569,xinhua-zh-01.6565::7,6,chrFpp,57.74007185446155
Online-G.1569,xinhua-zh-01.6565::8,7,chrFpp,46.712311490722755
Online-G.1569,chinanews.com.102830::1,8,chrFpp,55.81487981708278
Online-G.1569,chinanews.com.102830::2,9,chrFpp,57.132781898394036
Online-G.1569,chinanews.com.102830::3,10,chrFpp,46.37058429025232
Online-G.1569,chinanews.com.102830::4,11,chrFpp,53.94732440123672
Online-G.1569,chinanews.com.102830::5,12,chrFpp,58.54777468469942
Online-G.1569,chinanews.com.102830::6,13,chrFpp,62.403169128524524
Online-G.1569,chinanews.com.102830::7,14,chrFpp,51.25185360434702
Online-G.1569,chinanews.com.102830::8,15,chrFpp,63.12889690067806
Online-G.1569,chinanews.com.102568::1,16,chrFpp,65.482767126555
Online-G.1569,chinanews.com.102568::2,17,chrFpp,65.37099395699482
Online-G.1569,chinanews.com.102568::3,18,chrFpp,74.0437522534009
Online-G.1569,chinanews.com.102568::4,19,chrFpp,64.06039201596477
Online-G.1569,chinanews.com.102568::5,20,chrFpp,83.03167502570287
Online-G.1569,chinanews.com.102568::6,21,chrFpp,47.178420885429034
Online-G.1569,chinanews.com.102568::7,22,chrFpp,68.74705511490603
Online-G.1569,chinanews.com.102568::8,23,chrFpp,79.84448223147679
Online-G.1569,chinanews.com.102568::9,24,chrFpp,78.99620116873974
Online-G.1569,chinanews.com.102568::10,25,chrFpp,65.35738331631414
Online-G.1569,chinanews.com.102568::11,26,chrFpp,79.3681058049034
Online-G.1569,international_times-zh.151::1,27,chrFpp,75.51895732373124
Online-G.1569,international_times-zh.151::2,28,chrFpp,66.10081230569907
Online-G.1569,international_times-zh.151::3,29,chrFpp,61.94418673785664
Online-G.1569,international_times-zh.151::4,30,chrFpp,63.5555175446475
Online-G.1569,international_times-zh.151::5,31,chrFpp,85.78639393007983
Online-G.1569,chinanews.com.102642::1,32,chrFpp,56.42351868192193
Online-G.1569,chinanews.com.102642::2,33,chrFpp,46.3184815034244
Online-G.1569,chinanews.com.102642::3,34,chrFpp,41.380244332468195
Online-G.1569,chinanews.com.102642::4,35,chrFpp,66.2238398130038
Online-G.1569,chinanews.com.102642::5,36,chrFpp,51.55779480731164
Online-G.1569,chinanews.com.102642::6,37,chrFpp,71.37399639930095
Online-G.1569,chinanews.com.102642::7,38,chrFpp,53.75960111779274
Online-G.1569,chinanews.com.102642::8,39,chrFpp,45.16470842653169
Online-G.1569,xinhua-zh-01.6446::1,40,chrFpp,83.66622248153939
Online-G.1569,xinhua-zh-01.6446::2,41,chrFpp,67.61186572942658
Online-G.1569,xinhua-zh-01.6446::3,42,chrFpp,67.54841589659584
