SYS,seg_id,set_id,metric,score
Online-Z.1646,xinhua-zh-01.6565::1,0,Prism-ref,-2.5521324
Online-Z.1646,xinhua-zh-01.6565::2,1,Prism-ref,-2.937558
Online-Z.1646,xinhua-zh-01.6565::3,2,Prism-ref,-2.7519445
Online-Z.1646,xinhua-zh-01.6565::4,3,Prism-ref,-2.3892202
Online-Z.1646,xinhua-zh-01.6565::5,4,Prism-ref,-2.3742402
Online-Z.1646,xinhua-zh-01.6565::6,5,Prism-ref,-1.290122
Online-Z.1646,xinhua-zh-01.6565::7,6,Prism-ref,-1.9796703
Online-Z.1646,xinhua-zh-01.6565::8,7,Prism-ref,-2.5840673
Online-Z.1646,chinanews.com.102830::1,8,Prism-ref,-3.35105
Online-Z.1646,chinanews.com.102830::2,9,Prism-ref,-2.7581105
Online-Z.1646,chinanews.com.102830::3,10,Prism-ref,-2.4030714
Online-Z.1646,chinanews.com.102830::4,11,Prism-ref,-2.2032573
Online-Z.1646,chinanews.com.102830::5,12,Prism-ref,-2.727971
Online-Z.1646,chinanews.com.102830::6,13,Prism-ref,-1.7710081
Online-Z.1646,chinanews.com.102830::7,14,Prism-ref,-2.277135
Online-Z.1646,chinanews.com.102830::8,15,Prism-ref,-2.605791
Online-Z.1646,chinanews.com.102568::1,16,Prism-ref,-2.96095
Online-Z.1646,chinanews.com.102568::2,17,Prism-ref,-1.9237328
Online-Z.1646,chinanews.com.102568::3,18,Prism-ref,-2.3892035
Online-Z.1646,chinanews.com.102568::4,19,Prism-ref,-2.6185527
Online-Z.1646,chinanews.com.102568::5,20,Prism-ref,-2.2898912
Online-Z.1646,chinanews.com.102568::6,21,Prism-ref,-2.2457867
Online-Z.1646,chinanews.com.102568::7,22,Prism-ref,-1.7668188
Online-Z.1646,chinanews.com.102568::8,23,Prism-ref,-1.6929492
Online-Z.1646,chinanews.com.102568::9,24,Prism-ref,-1.9308362
Online-Z.1646,chinanews.com.102568::10,25,Prism-ref,-1.6622487
Online-Z.1646,chinanews.com.102568::11,26,Prism-ref,-0.7890303
Online-Z.1646,international_times-zh.151::1,27,Prism-ref,-0.42485985
Online-Z.1646,international_times-zh.151::2,28,Prism-ref,-2.0684614
Online-Z.1646,international_times-zh.151::3,29,Prism-ref,-1.2084583
Online-Z.1646,international_times-zh.151::4,30,Prism-ref,-0.52681583
Online-Z.1646,international_times-zh.151::5,31,Prism-ref,-0.7411312
Online-Z.1646,chinanews.com.102642::1,32,Prism-ref,-3.0560477
Online-Z.1646,chinanews.com.102642::2,33,Prism-ref,-2.3966196
Online-Z.1646,chinanews.com.102642::3,34,Prism-ref,-3.5184503
Online-Z.1646,chinanews.com.102642::4,35,Prism-ref,-1.2204328
Online-Z.1646,chinanews.com.102642::5,36,Prism-ref,-2.4468975
Online-Z.1646,chinanews.com.102642::6,37,Prism-ref,-1.214906
Online-Z.1646,chinanews.com.102642::7,38,Prism-ref,-3.1844947
Online-Z.1646,chinanews.com.102642::8,39,Prism-ref,-2.2737114
Online-Z.1646,xinhua-zh-01.6446::1,40,Prism-ref,-0.3484522
Online-Z.1646,xinhua-zh-01.6446::2,41,Prism-ref,-1.8072352
Online-Z.1646,xinhua-zh-01.6446::3,42,Prism-ref,-2.6391492
Online-Z.1646,xinhua-zh-01.6446::4,43,Prism-ref,-2.252036
Online-Z.1646,xinhua-zh-01.6446::5,44,Prism-ref,-0.97321
Online-Z.1646,xinhua-zh-01.6446::6,45,Prism-ref,-0.8628323
Online-Z.1646,xinhua-zh-01.6446::7,46,Prism-ref,-0.78950274
Online-Z.1646,chinanews.com.102876::1,47,Prism-ref,-2.2298207
Online-Z.1646,chinanews.com.102876::2,48,Prism-ref,-2.750452
Online-Z.1646,chinanews.com.102876::3,49,Prism-ref,-2.1865277
Online-Z.1646,chinanews.com.102876::4,50,Prism-ref,-2.126254
Online-Z.1646,chinanews.com.102876::5,51,Prism-ref,-3.3787868
Online-Z.1646,chinanews.com.102876::6,52,Prism-ref,-2.303327
