SYS,seg_id,set_id,metric,score
Online-Z.1646,xinhua-zh-01.6565::1,0,Prism-src,-1.6481527
Online-Z.1646,xinhua-zh-01.6565::2,1,Prism-src,-2.370389
Online-Z.1646,xinhua-zh-01.6565::3,2,Prism-src,-3.1212277
Online-Z.1646,xinhua-zh-01.6565::4,3,Prism-src,-2.1324222
Online-Z.1646,xinhua-zh-01.6565::5,4,Prism-src,-2.5894535
Online-Z.1646,xinhua-zh-01.6565::6,5,Prism-src,-1.6250608
Online-Z.1646,xinhua-zh-01.6565::7,6,Prism-src,-2.0369844
Online-Z.1646,xinhua-zh-01.6565::8,7,Prism-src,-1.8101977
Online-Z.1646,chinanews.com.102830::1,8,Prism-src,-1.5674082
Online-Z.1646,chinanews.com.102830::2,9,Prism-src,-1.9825624
Online-Z.1646,chinanews.com.102830::3,10,Prism-src,-1.5175917
Online-Z.1646,chinanews.com.102830::4,11,Prism-src,-1.7711811
Online-Z.1646,chinanews.com.102830::5,12,Prism-src,-2.0762537
Online-Z.1646,chinanews.com.102830::6,13,Prism-src,-0.6808596
Online-Z.1646,chinanews.com.102830::7,14,Prism-src,-1.7315875
Online-Z.1646,chinanews.com.102830::8,15,Prism-src,-2.081466
Online-Z.1646,chinanews.com.102568::1,16,Prism-src,-2.3056543
Online-Z.1646,chinanews.com.102568::2,17,Prism-src,-2.1603785
Online-Z.1646,chinanews.com.102568::3,18,Prism-src,-2.607252
Online-Z.1646,chinanews.com.102568::4,19,Prism-src,-1.8370757
Online-Z.1646,chinanews.com.102568::5,20,Prism-src,-2.4722667
Online-Z.1646,chinanews.com.102568::6,21,Prism-src,-2.498576
Online-Z.1646,chinanews.com.102568::7,22,Prism-src,-1.4311187
Online-Z.1646,chinanews.com.102568::8,23,Prism-src,-1.9637309
Online-Z.1646,chinanews.com.102568::9,24,Prism-src,-1.6119568
Online-Z.1646,chinanews.com.102568::10,25,Prism-src,-1.7126505
Online-Z.1646,chinanews.com.102568::11,26,Prism-src,-1.076667
Online-Z.1646,international_times-zh.151::1,27,Prism-src,-0.78396636
Online-Z.1646,international_times-zh.151::2,28,Prism-src,-2.0956123
Online-Z.1646,international_times-zh.151::3,29,Prism-src,-1.1090997
Online-Z.1646,international_times-zh.151::4,30,Prism-src,-1.4537792
Online-Z.1646,international_times-zh.151::5,31,Prism-src,-0.94082963
Online-Z.1646,chinanews.com.102642::1,32,Prism-src,-2.9295893
Online-Z.1646,chinanews.com.102642::2,33,Prism-src,-1.603103
Online-Z.1646,chinanews.com.102642::3,34,Prism-src,-2.3410258
Online-Z.1646,chinanews.com.102642::4,35,Prism-src,-0.5541975
Online-Z.1646,chinanews.com.102642::5,36,Prism-src,-1.411509
Online-Z.1646,chinanews.com.102642::6,37,Prism-src,-0.6281101
Online-Z.1646,chinanews.com.102642::7,38,Prism-src,-3.3738601
Online-Z.1646,chinanews.com.102642::8,39,Prism-src,-2.0951664
Online-Z.1646,xinhua-zh-01.6446::1,40,Prism-src,-0.78246486
Online-Z.1646,xinhua-zh-01.6446::2,41,Prism-src,-1.9539484
Online-Z.1646,xinhua-zh-01.6446::3,42,Prism-src,-2.5296524
Online-Z.1646,xinhua-zh-01.6446::4,43,Prism-src,-2.1002877
Online-Z.1646,xinhua-zh-01.6446::5,44,Prism-src,-0.9627259
Online-Z.1646,xinhua-zh-01.6446::6,45,Prism-src,-1.2205466
Online-Z.1646,xinhua-zh-01.6446::7,46,Prism-src,-1.2854129
Online-Z.1646,chinanews.com.102876::1,47,Prism-src,-2.0688388
Online-Z.1646,chinanews.com.102876::2,48,Prism-src,-1.9475269
Online-Z.1646,chinanews.com.102876::3,49,Prism-src,-1.7069001
Online-Z.1646,chinanews.com.102876::4,50,Prism-src,-1.3222202
Online-Z.1646,chinanews.com.102876::5,51,Prism-src,-1.9803045
Online-Z.1646,chinanews.com.102876::6,52,Prism-src,-2.7998044
Online-Z.1646,chinanews.com.102876::7,53,Prism-src,-2.363494
Online-Z.1646,chinanews.com.102876::8,54,Prism-src,-2.2753901
Online-Z.1646,chinanews.com.102876::9,55,Prism-src,-1.7415998
Online-Z.1646,chinanews.com.102876::10,56,Prism-src,-1.5027907
Online-Z.1646,chinanews.com.102876::11,57,Prism-src,-2.5365472
Online-Z.1646,chinanews.com.102876::12,58,Prism-src,-1.4232283
Online-Z.1646,chinanews.com.102876::13,59,Prism-src,-2.218686
Online-Z.1646,chinanews.com.102876::14,60,Prism-src,-2.2501926
Online-Z.1646,chinanews.com.102876::15,61,Prism-src,-2.468452
Online-Z.1646,chinanews.com.102876::16,62,Prism-src,-2.863943
Online-Z.1646,chinanews.com.102876::17,63,Prism-src,-1.5472221
Online-Z.1646,chinese.macao.1081::1,64,Prism-src,-1.9963496
Online-Z.1646,chinese.macao.1081::2,65,Prism-src,-1.7338212
Online-Z.1646,chinese.macao.1081::3,66,Prism-src,-1.9921218
Online-Z.1646,chinese.macao.1081::4,67,Prism-src,-1.308278
Online-Z.1646,chinese.macao.1081::5,68,Prism-src,-1.7117791
Online-Z.1646,chinese.macao.1081::6,69,Prism-src,-1.147623
Online-Z.1646,chinese.macao.1081::7,70,Prism-src,-2.6581078
Online-Z.1646,chinese.macao.1081::8,71,Prism-src,-2.8740442
Online-Z.1646,chinese.macao.1081::9,72,Prism-src,-2.2832127
Online-Z.1646,chinese.macao.1081::10,73,Prism-src,-0.9013042
Online-Z.1646,chinese.macao.1081::11,74,Prism-src,-1.021489
Online-Z.1646,chinese.macao.1081::12,75,Prism-src,-1.8155307
Online-Z.1646,xinhua-zh-01.6632::1,76,Prism-src,-1.41008
Online-Z.1646,xinhua-zh-01.6632::2,77,Prism-src,-1.6819855
Online-Z.1646,xinhua-zh-01.6632::3,78,Prism-src,-2.4131212
Online-Z.1646,xinhua-zh-01.6632::4,79,Prism-src,-2.1678426
Online-Z.1646,xinhua-zh-01.6632::5,80,Prism-src,-2.49352
Online-Z.1646,xinhua-zh-01.6632::6,81,Prism-src,-2.3318632
Online-Z.1646,xinhua-zh-01.6632::7,82,Prism-src,-3.302915
Online-Z.1646,xinhua-zh-01.6632::8,83,Prism-src,-2.1677034
Online-Z.1646,xinhua-zh-01.6632::9,84,Prism-src,-1.0083349
Online-Z.1646,xinhua-zh-01.6632::10,85,Prism-src,-2.3553677
Online-Z.1646,xinhua-zh-01.6632::11,86,Prism-src,-2.16744
Online-Z.1646,tsrus.cn.2113::1,87,Prism-src,-2.8506644
Online-Z.1646,tsrus.cn.2113::2,88,Prism-src,-0.58041847
Online-Z.1646,tsrus.cn.2113::3,89,Prism-src,-1.4842981
Online-Z.1646,tsrus.cn.2113::4,90,Prism-src,-1.9365591
Online-Z.1646,tsrus.cn.2113::5,91,Prism-src,-1.5643095
Online-Z.1646,tsrus.cn.2113::6,92,Prism-src,-1.1180332
Online-Z.1646,tsrus.cn.2113::7,93,Prism-src,-2.0549095
Online-Z.1646,tsrus.cn.2113::8,94,Prism-src,-1.1453012
Online-Z.1646,hunan_ribao-zh.186::1,95,Prism-src,-2.2482545
Online-Z.1646,hunan_ribao-zh.186::2,96,Prism-src,-1.5422097
Online-Z.1646,hunan_ribao-zh.186::3,97,Prism-src,-2.536912
Online-Z.1646,hunan_ribao-zh.186::4,98,Prism-src,-3.2824519
Online-Z.1646,hunan_ribao-zh.186::5,99,Prism-src,-1.8016074
Online-Z.1646,hunan_ribao-zh.186::6,100,Prism-src,-2.3963306
Online-Z.1646,hunan_ribao-zh.186::7,101,Prism-src,-1.4115388
Online-Z.1646,chinanews.com.102605::1,102,Prism-src,-2.183649
