SYS,seg_id,set_id,metric,score
Online-Z.1646,xinhua-zh-01.6565::1,0,chrF,73.33884874416889
Online-Z.1646,xinhua-zh-01.6565::2,1,chrF,49.13925883597249
Online-Z.1646,xinhua-zh-01.6565::3,2,chrF,52.919157608901855
Online-Z.1646,xinhua-zh-01.6565::4,3,chrF,54.25009957494502
Online-Z.1646,xinhua-zh-01.6565::5,4,chrF,51.503279733430084
Online-Z.1646,xinhua-zh-01.6565::6,5,chrF,76.3848522229872
Online-Z.1646,xinhua-zh-01.6565::7,6,chrF,68.03939463385204
Online-Z.1646,xinhua-zh-01.6565::8,7,chrF,55.92526065472491
Online-Z.1646,chinanews.com.102830::1,8,chrF,50.594535413597576
Online-Z.1646,chinanews.com.102830::2,9,chrF,46.77282384737245
Online-Z.1646,chinanews.com.102830::3,10,chrF,42.794873142020386
Online-Z.1646,chinanews.com.102830::4,11,chrF,52.42165856623586
Online-Z.1646,chinanews.com.102830::5,12,chrF,54.97015317381212
Online-Z.1646,chinanews.com.102830::6,13,chrF,58.852033873461565
Online-Z.1646,chinanews.com.102830::7,14,chrF,52.64473106568267
Online-Z.1646,chinanews.com.102830::8,15,chrF,50.79510527101013
Online-Z.1646,chinanews.com.102568::1,16,chrF,44.00711955606937
Online-Z.1646,chinanews.com.102568::2,17,chrF,57.83886430896683
Online-Z.1646,chinanews.com.102568::3,18,chrF,51.66709808004924
Online-Z.1646,chinanews.com.102568::4,19,chrF,32.641726911851364
Online-Z.1646,chinanews.com.102568::5,20,chrF,56.69162359773592
Online-Z.1646,chinanews.com.102568::6,21,chrF,43.9434092876052
Online-Z.1646,chinanews.com.102568::7,22,chrF,65.58174471419667
Online-Z.1646,chinanews.com.102568::8,23,chrF,65.92332544082525
Online-Z.1646,chinanews.com.102568::9,24,chrF,63.554283568713984
Online-Z.1646,chinanews.com.102568::10,25,chrF,55.986980295778956
Online-Z.1646,chinanews.com.102568::11,26,chrF,81.90773623697147
Online-Z.1646,international_times-zh.151::1,27,chrF,92.0192428183508
Online-Z.1646,international_times-zh.151::2,28,chrF,59.92951270246946
Online-Z.1646,international_times-zh.151::3,29,chrF,64.1290346164839
Online-Z.1646,international_times-zh.151::4,30,chrF,85.2364943385119
Online-Z.1646,international_times-zh.151::5,31,chrF,71.6253136655749
Online-Z.1646,chinanews.com.102642::1,32,chrF,46.35286934263358
Online-Z.1646,chinanews.com.102642::2,33,chrF,43.5235302497587
Online-Z.1646,chinanews.com.102642::3,34,chrF,46.12049107546506
Online-Z.1646,chinanews.com.102642::4,35,chrF,78.08156733705506
Online-Z.1646,chinanews.com.102642::5,36,chrF,53.29272180971692
Online-Z.1646,chinanews.com.102642::6,37,chrF,75.46300975725751
Online-Z.1646,chinanews.com.102642::7,38,chrF,46.585388707812356
Online-Z.1646,chinanews.com.102642::8,39,chrF,50.37348118075422
Online-Z.1646,xinhua-zh-01.6446::1,40,chrF,90.7523127056659
Online-Z.1646,xinhua-zh-01.6446::2,41,chrF,63.538835121285686
Online-Z.1646,xinhua-zh-01.6446::3,42,chrF,33.94114822329774
Online-Z.1646,xinhua-zh-01.6446::4,43,chrF,60.699284774360166
Online-Z.1646,xinhua-zh-01.6446::5,44,chrF,79.10094135060318
Online-Z.1646,xinhua-zh-01.6446::6,45,chrF,71.90112783793364
Online-Z.1646,xinhua-zh-01.6446::7,46,chrF,91.33901345922595
Online-Z.1646,chinanews.com.102876::1,47,chrF,36.4610486042648
Online-Z.1646,chinanews.com.102876::2,48,chrF,38.11349220992762
Online-Z.1646,chinanews.com.102876::3,49,chrF,32.7244013913751
Online-Z.1646,chinanews.com.102876::4,50,chrF,46.817467718350784
Online-Z.1646,chinanews.com.102876::5,51,chrF,28.155181978305755
Online-Z.1646,chinanews.com.102876::6,52,chrF,67.97775509357689
Online-Z.1646,chinanews.com.102876::7,53,chrF,42.16998266920171
Online-Z.1646,chinanews.com.102876::8,54,chrF,44.23494689625011
Online-Z.1646,chinanews.com.102876::9,55,chrF,45.37261655840788
Online-Z.1646,chinanews.com.102876::10,56,chrF,50.48432755031793
Online-Z.1646,chinanews.com.102876::11,57,chrF,39.35448907930906
Online-Z.1646,chinanews.com.102876::12,58,chrF,47.66481042789385
Online-Z.1646,chinanews.com.102876::13,59,chrF,40.03524235760194
Online-Z.1646,chinanews.com.102876::14,60,chrF,35.59735948085007
Online-Z.1646,chinanews.com.102876::15,61,chrF,37.697151571205026
Online-Z.1646,chinanews.com.102876::16,62,chrF,35.168008968170234
Online-Z.1646,chinanews.com.102876::17,63,chrF,38.12138816968267
Online-Z.1646,chinese.macao.1081::1,64,chrF,60.197962875151056
Online-Z.1646,chinese.macao.1081::2,65,chrF,50.856316951880785
Online-Z.1646,chinese.macao.1081::3,66,chrF,58.86776508316438
Online-Z.1646,chinese.macao.1081::4,67,chrF,50.04632788652135
Online-Z.1646,chinese.macao.1081::5,68,chrF,47.36150687479146
Online-Z.1646,chinese.macao.1081::6,69,chrF,63.09340153467823
Online-Z.1646,chinese.macao.1081::7,70,chrF,53.054162120822404
Online-Z.1646,chinese.macao.1081::8,71,chrF,44.02207479670672
Online-Z.1646,chinese.macao.1081::9,72,chrF,47.90707590977233
Online-Z.1646,chinese.macao.1081::10,73,chrF,58.193769082426414
Online-Z.1646,chinese.macao.1081::11,74,chrF,69.3845050462703
Online-Z.1646,chinese.macao.1081::12,75,chrF,54.52817786190366
Online-Z.1646,xinhua-zh-01.6632::1,76,chrF,52.87801605145
Online-Z.1646,xinhua-zh-01.6632::2,77,chrF,52.08602236738161
Online-Z.1646,xinhua-zh-01.6632::3,78,chrF,43.0381617452376
Online-Z.1646,xinhua-zh-01.6632::4,79,chrF,56.590457199536395
Online-Z.1646,xinhua-zh-01.6632::5,80,chrF,67.33921363034547
Online-Z.1646,xinhua-zh-01.6632::6,81,chrF,47.48673164135384
Online-Z.1646,xinhua-zh-01.6632::7,82,chrF,66.20685393511481
Online-Z.1646,xinhua-zh-01.6632::8,83,chrF,50.25869013984302
Online-Z.1646,xinhua-zh-01.6632::9,84,chrF,49.104490422351105
Online-Z.1646,xinhua-zh-01.6632::10,85,chrF,52.07568181625321
Online-Z.1646,xinhua-zh-01.6632::11,86,chrF,48.17320710449173
Online-Z.1646,tsrus.cn.2113::1,87,chrF,55.276836094706226
Online-Z.1646,tsrus.cn.2113::2,88,chrF,79.94445582737166
Online-Z.1646,tsrus.cn.2113::3,89,chrF,54.455344929790265
Online-Z.1646,tsrus.cn.2113::4,90,chrF,60.03060850842501
Online-Z.1646,tsrus.cn.2113::5,91,chrF,40.278377098770854
Online-Z.1646,tsrus.cn.2113::6,92,chrF,79.46503824683768
Online-Z.1646,tsrus.cn.2113::7,93,chrF,77.32709351233166
Online-Z.1646,tsrus.cn.2113::8,94,chrF,65.57603590760677
Online-Z.1646,hunan_ribao-zh.186::1,95,chrF,56.90503661458419
Online-Z.1646,hunan_ribao-zh.186::2,96,chrF,75.99759313646753
Online-Z.1646,hunan_ribao-zh.186::3,97,chrF,41.03478383760672
Online-Z.1646,hunan_ribao-zh.186::4,98,chrF,42.575352686478666
Online-Z.1646,hunan_ribao-zh.186::5,99,chrF,57.41297785349057
Online-Z.1646,hunan_ribao-zh.186::6,100,chrF,74.90925346505256
Online-Z.1646,hunan_ribao-zh.186::7,101,chrF,60.57660799517534
Online-Z.1646,chinanews.com.102605::1,102,chrF,38.49789526307036
Online-Z.1646,chinanews.com.102605::2,103,chrF,29.186526375114006
Online-Z.1646,chinanews.com.102605::3,104,chrF,44.05988800540337
Online-Z.1646,chinanews.com.102605::4,105,chrF,42.376074717118954
Online-Z.1646,chinanews.com.102605::5,106,chrF,41.35388947486124
Online-Z.1646,chinanews.com.102605::6,107,chrF,27.07356880346205
Online-Z.1646,chinanews.com.102605::7,108,chrF,67.89776157232284
Online-Z.1646,chinanews.com.102605::8,109,chrF,52.57572111510065
Online-Z.1646,chinanews.com.102605::9,110,chrF,55.52045042856817
Online-Z.1646,chinanews.com.102605::10,111,chrF,53.47331412698977
Online-Z.1646,chinanews.com.102605::11,112,chrF,62.9486668873092
Online-Z.1646,chinanews.com.102605::12,113,chrF,44.953363376514815
Online-Z.1646,chinanews.com.102605::13,114,chrF,41.78594921002291
Online-Z.1646,chinanews.com.102605::14,115,chrF,44.85748870707618
Online-Z.1646,chinanews.com.102605::15,116,chrF,27.85148365240851
Online-Z.1646,chinanews.com.102605::16,117,chrF,54.09183885887653
Online-Z.1646,chinanews.com.102605::17,118,chrF,47.389798788128985
Online-Z.1646,chinanews.com.102605::18,119,chrF,70.86832863816814
Online-Z.1646,chinanews.com.102605::19,120,chrF,68.26361926818883
Online-Z.1646,chinanews.com.102605::20,121,chrF,30.459974101696076
Online-Z.1646,chinanews.com.102605::21,122,chrF,51.972182021337446
Online-Z.1646,chinanews.com.102605::22,123,chrF,48.77391303625461
Online-Z.1646,chinanews.com.102605::23,124,chrF,36.95261669527265
Online-Z.1646,chinanews.com.102605::24,125,chrF,31.084855578112847
Online-Z.1646,chinanews.com.102605::25,126,chrF,48.046739169768784
Online-Z.1646,chinanews.com.102605::26,127,chrF,54.55414944905996
Online-Z.1646,chinanews.com.102574::1,128,chrF,53.22934422115034
Online-Z.1646,chinanews.com.102574::2,129,chrF,44.44746119311495
Online-Z.1646,chinanews.com.102574::3,130,chrF,63.210092625525945
Online-Z.1646,chinanews.com.102574::4,131,chrF,52.178057444705175
Online-Z.1646,chinanews.com.102574::5,132,chrF,54.55775898448619
Online-Z.1646,chinanews.com.102574::6,133,chrF,100.0
Online-Z.1646,chinanews.com.102574::7,134,chrF,46.45350408033844
Online-Z.1646,chinanews.com.102574::8,135,chrF,58.196216390029385
Online-Z.1646,chinanews.com.102574::9,136,chrF,44.37652592766633
Online-Z.1646,chinanews.com.102574::10,137,chrF,35.772741001481066
Online-Z.1646,chinanews.com.102574::11,138,chrF,43.761929912565634
Online-Z.1646,chinanews.com.102574::12,139,chrF,55.57022212539682
Online-Z.1646,chinanews.com.102574::13,140,chrF,44.085956536661165
Online-Z.1646,chinanews.com.102574::14,141,chrF,45.88236245862142
Online-Z.1646,chinanews.com.102574::15,142,chrF,51.60969779758117
Online-Z.1646,chinanews.com.102574::16,143,chrF,42.14071283032902
Online-Z.1646,chinanews.com.102574::17,144,chrF,49.974620061705224
Online-Z.1646,chinanews.com.102574::18,145,chrF,42.087670909705224
Online-Z.1646,nikkei-.108::1,146,chrF,57.89137228416209
Online-Z.1646,nikkei-.108::2,147,chrF,35.176819624752916
Online-Z.1646,nikkei-.108::3,148,chrF,48.461547162134735
Online-Z.1646,nikkei-.108::4,149,chrF,100.0
Online-Z.1646,nikkei-.108::5,150,chrF,52.10306726519555
Online-Z.1646,nikkei-.108::6,151,chrF,38.42543011111611
Online-Z.1646,nikkei-.108::7,152,chrF,49.63479770158827
Online-Z.1646,nikkei-.108::8,153,chrF,44.82102123429387
Online-Z.1646,nikkei-.108::9,154,chrF,52.732289840854506
Online-Z.1646,nikkei-.108::10,155,chrF,32.49723644555354
Online-Z.1646,nikkei-.108::11,156,chrF,56.58502049791663
Online-Z.1646,nikkei-.108::12,157,chrF,51.52099318138672
Online-Z.1646,nikkei-.108::13,158,chrF,35.151845001578735
Online-Z.1646,chinanews.com.102535::1,159,chrF,48.30139539320116
Online-Z.1646,chinanews.com.102535::2,160,chrF,70.86643114864279
Online-Z.1646,chinanews.com.102535::3,161,chrF,39.637672726879885
Online-Z.1646,chinanews.com.102535::4,162,chrF,64.72153626736761
Online-Z.1646,chinanews.com.102535::5,163,chrF,62.19156725711051
Online-Z.1646,chinanews.com.102535::6,164,chrF,65.14010613691728
Online-Z.1646,chinanews.com.102535::7,165,chrF,84.3924760200046
Online-Z.1646,chinanews.com.102535::8,166,chrF,39.7551720443817
Online-Z.1646,chinanews.com.102535::9,167,chrF,53.58809335940635
Online-Z.1646,chinanews.com.102535::10,168,chrF,81.47508509892437
Online-Z.1646,chinanews.com.102535::11,169,chrF,51.453642315060655
Online-Z.1646,chinanews.com.102535::12,170,chrF,53.50414597279861
Online-Z.1646,chinanews.com.102535::13,171,chrF,62.71837952415504
Online-Z.1646,chinanews.com.102535::14,172,chrF,68.89662491906294
Online-Z.1646,chinanews.com.102535::15,173,chrF,79.0254838360265
Online-Z.1646,chinanews.com.102535::16,174,chrF,59.35929225350887
Online-Z.1646,chinanews.com.102535::17,175,chrF,61.04141993659421
Online-Z.1646,chinanews.com.102535::18,176,chrF,69.26508106923916
Online-Z.1646,chinanews.com.102535::19,177,chrF,50.11058693908376
Online-Z.1646,chinanews.com.102535::20,178,chrF,49.7788417791859
Online-Z.1646,chinanews.com.102535::21,179,chrF,74.60923351009254
Online-Z.1646,chinanews.com.102535::22,180,chrF,64.55885539734714
Online-Z.1646,chinanews.com.102535::23,181,chrF,68.28335886989461
Online-Z.1646,chinanews.com.102535::24,182,chrF,54.759057010886934
Online-Z.1646,chinanews.com.102535::25,183,chrF,55.77383879672509
Online-Z.1646,chinanews.com.102805::1,184,chrF,41.770167424444516
Online-Z.1646,chinanews.com.102805::2,185,chrF,54.25619464705959
Online-Z.1646,chinanews.com.102805::3,186,chrF,53.61619279873935
Online-Z.1646,chinanews.com.102860::1,187,chrF,38.287422766411524
Online-Z.1646,chinanews.com.102860::2,188,chrF,50.087728928188746
Online-Z.1646,chinanews.com.102860::3,189,chrF,60.078304417411445
Online-Z.1646,chinanews.com.102860::4,190,chrF,100.0
Online-Z.1646,chinanews.com.102860::5,191,chrF,58.937245140795866
Online-Z.1646,chinanews.com.102860::6,192,chrF,45.74888132800309
Online-Z.1646,chinanews.com.102860::7,193,chrF,49.100796918046875
Online-Z.1646,chinanews.com.102860::8,194,chrF,80.66935419007419
Online-Z.1646,chinanews.com.102860::9,195,chrF,62.66663810040599
Online-Z.1646,chinanews.com.102860::10,196,chrF,46.77813564520955
Online-Z.1646,chinanews.com.102860::11,197,chrF,45.83299791463787
Online-Z.1646,chinanews.com.102860::12,198,chrF,63.54833040945237
Online-Z.1646,chinanews.com.102645::1,199,chrF,54.93381369810627
Online-Z.1646,chinanews.com.102645::2,200,chrF,47.856719378255704
Online-Z.1646,chinanews.com.102645::3,201,chrF,46.85227543666238
Online-Z.1646,chinanews.com.102645::4,202,chrF,53.450154882848054
Online-Z.1646,chinanews.com.102645::5,203,chrF,41.14087623113458
Online-Z.1646,chinanews.com.102645::6,204,chrF,60.4361177282576
Online-Z.1646,chinanews.com.102645::7,205,chrF,52.35725600794204
Online-Z.1646,chinanews.com.102645::8,206,chrF,27.930172037536817
