SYS,seg_id,set_id,metric,score
SJTU-NICT.320,xinhua-zh-01.6565::1,0,Prism-ref,-1.8686903
SJTU-NICT.320,xinhua-zh-01.6565::2,1,Prism-ref,-1.7782583
SJTU-NICT.320,xinhua-zh-01.6565::3,2,Prism-ref,-1.0212914
SJTU-NICT.320,xinhua-zh-01.6565::4,3,Prism-ref,-1.1973033
SJTU-NICT.320,xinhua-zh-01.6565::5,4,Prism-ref,-1.8430092
SJTU-NICT.320,xinhua-zh-01.6565::6,5,Prism-ref,-0.9660039
SJTU-NICT.320,xinhua-zh-01.6565::7,6,Prism-ref,-1.2058746
SJTU-NICT.320,xinhua-zh-01.6565::8,7,Prism-ref,-1.9140236
SJTU-NICT.320,chinanews.com.102830::1,8,Prism-ref,-2.5261192
SJTU-NICT.320,chinanews.com.102830::2,9,Prism-ref,-2.3125083
SJTU-NICT.320,chinanews.com.102830::3,10,Prism-ref,-1.6356045
SJTU-NICT.320,chinanews.com.102830::4,11,Prism-ref,-2.0082386
SJTU-NICT.320,chinanews.com.102830::5,12,Prism-ref,-2.1411347
SJTU-NICT.320,chinanews.com.102830::6,13,Prism-ref,-1.2285068
SJTU-NICT.320,chinanews.com.102830::7,14,Prism-ref,-1.5208507
SJTU-NICT.320,chinanews.com.102830::8,15,Prism-ref,-1.8727756
SJTU-NICT.320,chinanews.com.102568::1,16,Prism-ref,-1.0672357
SJTU-NICT.320,chinanews.com.102568::2,17,Prism-ref,-1.1414089
SJTU-NICT.320,chinanews.com.102568::3,18,Prism-ref,-0.7108977
SJTU-NICT.320,chinanews.com.102568::4,19,Prism-ref,-0.85916495
SJTU-NICT.320,chinanews.com.102568::5,20,Prism-ref,-1.0995666
SJTU-NICT.320,chinanews.com.102568::6,21,Prism-ref,-1.1536577
SJTU-NICT.320,chinanews.com.102568::7,22,Prism-ref,-0.90403515
SJTU-NICT.320,chinanews.com.102568::8,23,Prism-ref,-1.1038377
SJTU-NICT.320,chinanews.com.102568::9,24,Prism-ref,-0.22684264
SJTU-NICT.320,chinanews.com.102568::10,25,Prism-ref,-1.0766802
SJTU-NICT.320,chinanews.com.102568::11,26,Prism-ref,-0.28954422
SJTU-NICT.320,international_times-zh.151::1,27,Prism-ref,-0.4832868
SJTU-NICT.320,international_times-zh.151::2,28,Prism-ref,-1.1034216
SJTU-NICT.320,international_times-zh.151::3,29,Prism-ref,-0.858919
SJTU-NICT.320,international_times-zh.151::4,30,Prism-ref,-0.98953766
SJTU-NICT.320,international_times-zh.151::5,31,Prism-ref,-0.2279973
SJTU-NICT.320,chinanews.com.102642::1,32,Prism-ref,-2.0975847
SJTU-NICT.320,chinanews.com.102642::2,33,Prism-ref,-1.8033891
SJTU-NICT.320,chinanews.com.102642::3,34,Prism-ref,-2.5428305
SJTU-NICT.320,chinanews.com.102642::4,35,Prism-ref,-1.2204326
SJTU-NICT.320,chinanews.com.102642::5,36,Prism-ref,-1.9223769
SJTU-NICT.320,chinanews.com.102642::6,37,Prism-ref,-1.2451193
SJTU-NICT.320,chinanews.com.102642::7,38,Prism-ref,-1.8394777
SJTU-NICT.320,chinanews.com.102642::8,39,Prism-ref,-1.5905979
SJTU-NICT.320,xinhua-zh-01.6446::1,40,Prism-ref,-0.50882334
SJTU-NICT.320,xinhua-zh-01.6446::2,41,Prism-ref,-1.9131479
SJTU-NICT.320,xinhua-zh-01.6446::3,42,Prism-ref,-1.0074973
SJTU-NICT.320,xinhua-zh-01.6446::4,43,Prism-ref,-1.4064918
SJTU-NICT.320,xinhua-zh-01.6446::5,44,Prism-ref,-1.483408
SJTU-NICT.320,xinhua-zh-01.6446::6,45,Prism-ref,-0.70895815
SJTU-NICT.320,xinhua-zh-01.6446::7,46,Prism-ref,-0.37347093
SJTU-NICT.320,chinanews.com.102876::1,47,Prism-ref,-1.4888276
SJTU-NICT.320,chinanews.com.102876::2,48,Prism-ref,-2.2611523
SJTU-NICT.320,chinanews.com.102876::3,49,Prism-ref,-1.9835248
SJTU-NICT.320,chinanews.com.102876::4,50,Prism-ref,-1.6638758
SJTU-NICT.320,chinanews.com.102876::5,51,Prism-ref,-2.7033124
SJTU-NICT.320,chinanews.com.102876::6,52,Prism-ref,-1.6628853
SJTU-NICT.320,chinanews.com.102876::7,53,Prism-ref,-1.9322188
SJTU-NICT.320,chinanews.com.102876::8,54,Prism-ref,-1.6999581
SJTU-NICT.320,chinanews.com.102876::9,55,Prism-ref,-2.1075292
SJTU-NICT.320,chinanews.com.102876::10,56,Prism-ref,-1.6205487
SJTU-NICT.320,chinanews.com.102876::11,57,Prism-ref,-1.8153127
SJTU-NICT.320,chinanews.com.102876::12,58,Prism-ref,-1.7412724
SJTU-NICT.320,chinanews.com.102876::13,59,Prism-ref,-2.3463116
SJTU-NICT.320,chinanews.com.102876::14,60,Prism-ref,-2.7180939
SJTU-NICT.320,chinanews.com.102876::15,61,Prism-ref,-1.7290145
SJTU-NICT.320,chinanews.com.102876::16,62,Prism-ref,-2.6690044
SJTU-NICT.320,chinanews.com.102876::17,63,Prism-ref,-2.1756952
SJTU-NICT.320,chinese.macao.1081::1,64,Prism-ref,-1.1611823
SJTU-NICT.320,chinese.macao.1081::2,65,Prism-ref,-1.7719371
SJTU-NICT.320,chinese.macao.1081::3,66,Prism-ref,-1.1351604
SJTU-NICT.320,chinese.macao.1081::4,67,Prism-ref,-1.6434603
SJTU-NICT.320,chinese.macao.1081::5,68,Prism-ref,-1.6868987
SJTU-NICT.320,chinese.macao.1081::6,69,Prism-ref,-1.1717833
SJTU-NICT.320,chinese.macao.1081::7,70,Prism-ref,-1.6065183
SJTU-NICT.320,chinese.macao.1081::8,71,Prism-ref,-2.0778
SJTU-NICT.320,chinese.macao.1081::9,72,Prism-ref,-1.4515511
SJTU-NICT.320,chinese.macao.1081::10,73,Prism-ref,-2.2270234
SJTU-NICT.320,chinese.macao.1081::11,74,Prism-ref,-0.97323334
SJTU-NICT.320,chinese.macao.1081::12,75,Prism-ref,-1.1575286
SJTU-NICT.320,xinhua-zh-01.6632::1,76,Prism-ref,-2.1787224
SJTU-NICT.320,xinhua-zh-01.6632::2,77,Prism-ref,-1.0791292
SJTU-NICT.320,xinhua-zh-01.6632::3,78,Prism-ref,-1.4164186
SJTU-NICT.320,xinhua-zh-01.6632::4,79,Prism-ref,-1.3255968
SJTU-NICT.320,xinhua-zh-01.6632::5,80,Prism-ref,-0.99359345
SJTU-NICT.320,xinhua-zh-01.6632::6,81,Prism-ref,-1.8082027
SJTU-NICT.320,xinhua-zh-01.6632::7,82,Prism-ref,-1.3883669
SJTU-NICT.320,xinhua-zh-01.6632::8,83,Prism-ref,-2.0964375
SJTU-NICT.320,xinhua-zh-01.6632::9,84,Prism-ref,-1.7369504
SJTU-NICT.320,xinhua-zh-01.6632::10,85,Prism-ref,-1.7347034
SJTU-NICT.320,xinhua-zh-01.6632::11,86,Prism-ref,-1.9701624
