SYS,seg_id,set_id,metric,score
SJTU-NICT.320,xinhua-zh-01.6565::1,0,Prism-src,-1.5658121
SJTU-NICT.320,xinhua-zh-01.6565::2,1,Prism-src,-1.6376245
SJTU-NICT.320,xinhua-zh-01.6565::3,2,Prism-src,-2.0486257
SJTU-NICT.320,xinhua-zh-01.6565::4,3,Prism-src,-1.3081872
SJTU-NICT.320,xinhua-zh-01.6565::5,4,Prism-src,-1.512125
SJTU-NICT.320,xinhua-zh-01.6565::6,5,Prism-src,-1.1805652
SJTU-NICT.320,xinhua-zh-01.6565::7,6,Prism-src,-1.4813823
SJTU-NICT.320,xinhua-zh-01.6565::8,7,Prism-src,-1.5595342
SJTU-NICT.320,chinanews.com.102830::1,8,Prism-src,-2.5474002
SJTU-NICT.320,chinanews.com.102830::2,9,Prism-src,-1.5322082
SJTU-NICT.320,chinanews.com.102830::3,10,Prism-src,-1.4463357
SJTU-NICT.320,chinanews.com.102830::4,11,Prism-src,-1.4637337
SJTU-NICT.320,chinanews.com.102830::5,12,Prism-src,-1.6136156
SJTU-NICT.320,chinanews.com.102830::6,13,Prism-src,-0.9025015
SJTU-NICT.320,chinanews.com.102830::7,14,Prism-src,-1.0723228
SJTU-NICT.320,chinanews.com.102830::8,15,Prism-src,-1.3814149
SJTU-NICT.320,chinanews.com.102568::1,16,Prism-src,-1.2567664
SJTU-NICT.320,chinanews.com.102568::2,17,Prism-src,-1.1005636
SJTU-NICT.320,chinanews.com.102568::3,18,Prism-src,-2.152522
SJTU-NICT.320,chinanews.com.102568::4,19,Prism-src,-1.0545802
SJTU-NICT.320,chinanews.com.102568::5,20,Prism-src,-1.7592888
SJTU-NICT.320,chinanews.com.102568::6,21,Prism-src,-1.4808757
SJTU-NICT.320,chinanews.com.102568::7,22,Prism-src,-1.3577285
SJTU-NICT.320,chinanews.com.102568::8,23,Prism-src,-1.1507475
SJTU-NICT.320,chinanews.com.102568::9,24,Prism-src,-1.2164867
SJTU-NICT.320,chinanews.com.102568::10,25,Prism-src,-1.4919659
SJTU-NICT.320,chinanews.com.102568::11,26,Prism-src,-0.7738395
SJTU-NICT.320,international_times-zh.151::1,27,Prism-src,-0.49935552
SJTU-NICT.320,international_times-zh.151::2,28,Prism-src,-0.9703978
SJTU-NICT.320,international_times-zh.151::3,29,Prism-src,-0.6720349
SJTU-NICT.320,international_times-zh.151::4,30,Prism-src,-0.8963316
SJTU-NICT.320,international_times-zh.151::5,31,Prism-src,-0.4730564
SJTU-NICT.320,chinanews.com.102642::1,32,Prism-src,-1.6706636
SJTU-NICT.320,chinanews.com.102642::2,33,Prism-src,-1.5593634
SJTU-NICT.320,chinanews.com.102642::3,34,Prism-src,-1.2396423
SJTU-NICT.320,chinanews.com.102642::4,35,Prism-src,-0.5541979
SJTU-NICT.320,chinanews.com.102642::5,36,Prism-src,-0.8634336
SJTU-NICT.320,chinanews.com.102642::6,37,Prism-src,-0.5268267
SJTU-NICT.320,chinanews.com.102642::7,38,Prism-src,-1.6491348
SJTU-NICT.320,chinanews.com.102642::8,39,Prism-src,-0.84378225
SJTU-NICT.320,xinhua-zh-01.6446::1,40,Prism-src,-0.82186836
SJTU-NICT.320,xinhua-zh-01.6446::2,41,Prism-src,-1.6584456
SJTU-NICT.320,xinhua-zh-01.6446::3,42,Prism-src,-0.7408544
SJTU-NICT.320,xinhua-zh-01.6446::4,43,Prism-src,-0.9354312
SJTU-NICT.320,xinhua-zh-01.6446::5,44,Prism-src,-1.6403307
SJTU-NICT.320,xinhua-zh-01.6446::6,45,Prism-src,-0.98566955
SJTU-NICT.320,xinhua-zh-01.6446::7,46,Prism-src,-0.5997175
SJTU-NICT.320,chinanews.com.102876::1,47,Prism-src,-1.5055104
SJTU-NICT.320,chinanews.com.102876::2,48,Prism-src,-1.2182401
SJTU-NICT.320,chinanews.com.102876::3,49,Prism-src,-1.7996331
SJTU-NICT.320,chinanews.com.102876::4,50,Prism-src,-1.2001066
SJTU-NICT.320,chinanews.com.102876::5,51,Prism-src,-1.7116272
SJTU-NICT.320,chinanews.com.102876::6,52,Prism-src,-1.611333
SJTU-NICT.320,chinanews.com.102876::7,53,Prism-src,-1.8505181
SJTU-NICT.320,chinanews.com.102876::8,54,Prism-src,-1.6028037
SJTU-NICT.320,chinanews.com.102876::9,55,Prism-src,-1.566785
SJTU-NICT.320,chinanews.com.102876::10,56,Prism-src,-1.7494104
SJTU-NICT.320,chinanews.com.102876::11,57,Prism-src,-1.5356573
SJTU-NICT.320,chinanews.com.102876::12,58,Prism-src,-1.529492
SJTU-NICT.320,chinanews.com.102876::13,59,Prism-src,-1.6423723
SJTU-NICT.320,chinanews.com.102876::14,60,Prism-src,-2.0379727
SJTU-NICT.320,chinanews.com.102876::15,61,Prism-src,-1.7315321
SJTU-NICT.320,chinanews.com.102876::16,62,Prism-src,-2.15649
SJTU-NICT.320,chinanews.com.102876::17,63,Prism-src,-1.3145258
SJTU-NICT.320,chinese.macao.1081::1,64,Prism-src,-1.2743393
SJTU-NICT.320,chinese.macao.1081::2,65,Prism-src,-1.4011414
SJTU-NICT.320,chinese.macao.1081::3,66,Prism-src,-1.5843344
SJTU-NICT.320,chinese.macao.1081::4,67,Prism-src,-1.037706
SJTU-NICT.320,chinese.macao.1081::5,68,Prism-src,-1.6093245
SJTU-NICT.320,chinese.macao.1081::6,69,Prism-src,-0.50414556
SJTU-NICT.320,chinese.macao.1081::7,70,Prism-src,-1.9888699
SJTU-NICT.320,chinese.macao.1081::8,71,Prism-src,-2.3050833
SJTU-NICT.320,chinese.macao.1081::9,72,Prism-src,-1.0922332
SJTU-NICT.320,chinese.macao.1081::10,73,Prism-src,-0.8364601
SJTU-NICT.320,chinese.macao.1081::11,74,Prism-src,-1.257578
SJTU-NICT.320,chinese.macao.1081::12,75,Prism-src,-1.3219639
SJTU-NICT.320,xinhua-zh-01.6632::1,76,Prism-src,-0.8161727
SJTU-NICT.320,xinhua-zh-01.6632::2,77,Prism-src,-0.60325503
SJTU-NICT.320,xinhua-zh-01.6632::3,78,Prism-src,-1.3213161
SJTU-NICT.320,xinhua-zh-01.6632::4,79,Prism-src,-0.9709462
SJTU-NICT.320,xinhua-zh-01.6632::5,80,Prism-src,-0.44495305
SJTU-NICT.320,xinhua-zh-01.6632::6,81,Prism-src,-1.9131916
SJTU-NICT.320,xinhua-zh-01.6632::7,82,Prism-src,-1.0177764
SJTU-NICT.320,xinhua-zh-01.6632::8,83,Prism-src,-2.2297773
SJTU-NICT.320,xinhua-zh-01.6632::9,84,Prism-src,-0.4856523
SJTU-NICT.320,xinhua-zh-01.6632::10,85,Prism-src,-1.5546495
SJTU-NICT.320,xinhua-zh-01.6632::11,86,Prism-src,-1.8381772
