SYS,seg_id,set_id,metric,score
SJTU-NICT.320,xinhua-zh-01.6565::1,0,ROUGE-L,0.8275862068965518
SJTU-NICT.320,xinhua-zh-01.6565::2,1,ROUGE-L,0.6153846153846154
SJTU-NICT.320,xinhua-zh-01.6565::3,2,ROUGE-L,0.7625
SJTU-NICT.320,xinhua-zh-01.6565::4,3,ROUGE-L,0.7912087912087913
SJTU-NICT.320,xinhua-zh-01.6565::5,4,ROUGE-L,0.5625
SJTU-NICT.320,xinhua-zh-01.6565::6,5,ROUGE-L,0.8636363636363636
SJTU-NICT.320,xinhua-zh-01.6565::7,6,ROUGE-L,0.7849462365591399
SJTU-NICT.320,xinhua-zh-01.6565::8,7,ROUGE-L,0.6063829787234042
SJTU-NICT.320,chinanews.com.102830::1,8,ROUGE-L,0.5384615384615384
SJTU-NICT.320,chinanews.com.102830::2,9,ROUGE-L,0.5428571428571428
SJTU-NICT.320,chinanews.com.102830::3,10,ROUGE-L,0.48484848484848486
SJTU-NICT.320,chinanews.com.102830::4,11,ROUGE-L,0.5619834710743801
SJTU-NICT.320,chinanews.com.102830::5,12,ROUGE-L,0.48484848484848486
SJTU-NICT.320,chinanews.com.102830::6,13,ROUGE-L,0.7346938775510204
SJTU-NICT.320,chinanews.com.102830::7,14,ROUGE-L,0.5895953757225433
SJTU-NICT.320,chinanews.com.102830::8,15,ROUGE-L,0.43410852713178294
SJTU-NICT.320,chinanews.com.102568::1,16,ROUGE-L,0.8108108108108107
SJTU-NICT.320,chinanews.com.102568::2,17,ROUGE-L,0.6027397260273972
SJTU-NICT.320,chinanews.com.102568::3,18,ROUGE-L,0.918918918918919
SJTU-NICT.320,chinanews.com.102568::4,19,ROUGE-L,0.7804878048780488
SJTU-NICT.320,chinanews.com.102568::5,20,ROUGE-L,0.7671232876712328
SJTU-NICT.320,chinanews.com.102568::6,21,ROUGE-L,0.591715976331361
SJTU-NICT.320,chinanews.com.102568::7,22,ROUGE-L,0.8727272727272727
SJTU-NICT.320,chinanews.com.102568::8,23,ROUGE-L,0.7912087912087913
