SYS,seg_id,set_id,metric,score
WMTBiomedBaseline.183,xinhua-zh-01.6565::1,0,Prism-ref,-2.8085363
WMTBiomedBaseline.183,xinhua-zh-01.6565::2,1,Prism-ref,-3.4170694
WMTBiomedBaseline.183,xinhua-zh-01.6565::3,2,Prism-ref,-3.185524
WMTBiomedBaseline.183,xinhua-zh-01.6565::4,3,Prism-ref,-2.4148111
WMTBiomedBaseline.183,xinhua-zh-01.6565::5,4,Prism-ref,-2.923608
WMTBiomedBaseline.183,xinhua-zh-01.6565::6,5,Prism-ref,-1.6569548
WMTBiomedBaseline.183,xinhua-zh-01.6565::7,6,Prism-ref,-3.6118135
WMTBiomedBaseline.183,xinhua-zh-01.6565::8,7,Prism-ref,-2.978912
WMTBiomedBaseline.183,chinanews.com.102830::1,8,Prism-ref,-3.657015
WMTBiomedBaseline.183,chinanews.com.102830::2,9,Prism-ref,-3.0813012
WMTBiomedBaseline.183,chinanews.com.102830::3,10,Prism-ref,-2.0588267
WMTBiomedBaseline.183,chinanews.com.102830::4,11,Prism-ref,-2.9968305
WMTBiomedBaseline.183,chinanews.com.102830::5,12,Prism-ref,-3.538376
WMTBiomedBaseline.183,chinanews.com.102830::6,13,Prism-ref,-1.377316
WMTBiomedBaseline.183,chinanews.com.102830::7,14,Prism-ref,-2.7846804
WMTBiomedBaseline.183,chinanews.com.102830::8,15,Prism-ref,-2.5241306
WMTBiomedBaseline.183,chinanews.com.102568::1,16,Prism-ref,-2.5295455
WMTBiomedBaseline.183,chinanews.com.102568::2,17,Prism-ref,-1.3895097
WMTBiomedBaseline.183,chinanews.com.102568::3,18,Prism-ref,-2.5353804
WMTBiomedBaseline.183,chinanews.com.102568::4,19,Prism-ref,-2.2917614
WMTBiomedBaseline.183,chinanews.com.102568::5,20,Prism-ref,-2.8745832
WMTBiomedBaseline.183,chinanews.com.102568::6,21,Prism-ref,-2.846418
WMTBiomedBaseline.183,chinanews.com.102568::7,22,Prism-ref,-2.0589402
WMTBiomedBaseline.183,chinanews.com.102568::8,23,Prism-ref,-2.3001604
WMTBiomedBaseline.183,chinanews.com.102568::9,24,Prism-ref,-1.642937
WMTBiomedBaseline.183,chinanews.com.102568::10,25,Prism-ref,-1.6484343
WMTBiomedBaseline.183,chinanews.com.102568::11,26,Prism-ref,-1.088139
WMTBiomedBaseline.183,international_times-zh.151::1,27,Prism-ref,-1.4021486
WMTBiomedBaseline.183,international_times-zh.151::2,28,Prism-ref,-1.4908814
WMTBiomedBaseline.183,international_times-zh.151::3,29,Prism-ref,-1.1489999
WMTBiomedBaseline.183,international_times-zh.151::4,30,Prism-ref,-0.9469208
WMTBiomedBaseline.183,international_times-zh.151::5,31,Prism-ref,-0.5268096
WMTBiomedBaseline.183,chinanews.com.102642::1,32,Prism-ref,-2.963883
WMTBiomedBaseline.183,chinanews.com.102642::2,33,Prism-ref,-2.0404615
WMTBiomedBaseline.183,chinanews.com.102642::3,34,Prism-ref,-2.923758
WMTBiomedBaseline.183,chinanews.com.102642::4,35,Prism-ref,-1.6869409
WMTBiomedBaseline.183,chinanews.com.102642::5,36,Prism-ref,-2.0849695
WMTBiomedBaseline.183,chinanews.com.102642::6,37,Prism-ref,-1.5111209
WMTBiomedBaseline.183,chinanews.com.102642::7,38,Prism-ref,-3.2265286
WMTBiomedBaseline.183,chinanews.com.102642::8,39,Prism-ref,-1.8650976
WMTBiomedBaseline.183,xinhua-zh-01.6446::1,40,Prism-ref,-1.9964452
WMTBiomedBaseline.183,xinhua-zh-01.6446::2,41,Prism-ref,-2.0945826
WMTBiomedBaseline.183,xinhua-zh-01.6446::3,42,Prism-ref,-1.120979
WMTBiomedBaseline.183,xinhua-zh-01.6446::4,43,Prism-ref,-1.7896357
WMTBiomedBaseline.183,xinhua-zh-01.6446::5,44,Prism-ref,-0.3719764
WMTBiomedBaseline.183,xinhua-zh-01.6446::6,45,Prism-ref,-1.4039677
WMTBiomedBaseline.183,xinhua-zh-01.6446::7,46,Prism-ref,-0.5326055
WMTBiomedBaseline.183,chinanews.com.102876::1,47,Prism-ref,-3.0453954
WMTBiomedBaseline.183,chinanews.com.102876::2,48,Prism-ref,-2.9983358
WMTBiomedBaseline.183,chinanews.com.102876::3,49,Prism-ref,-2.5533857
WMTBiomedBaseline.183,chinanews.com.102876::4,50,Prism-ref,-2.3212383
WMTBiomedBaseline.183,chinanews.com.102876::5,51,Prism-ref,-3.0578835
WMTBiomedBaseline.183,chinanews.com.102876::6,52,Prism-ref,-3.471529
WMTBiomedBaseline.183,chinanews.com.102876::7,53,Prism-ref,-3.4602666
WMTBiomedBaseline.183,chinanews.com.102876::8,54,Prism-ref,-3.1949987
WMTBiomedBaseline.183,chinanews.com.102876::9,55,Prism-ref,-3.1415496
WMTBiomedBaseline.183,chinanews.com.102876::10,56,Prism-ref,-2.569148
WMTBiomedBaseline.183,chinanews.com.102876::11,57,Prism-ref,-2.89853
WMTBiomedBaseline.183,chinanews.com.102876::12,58,Prism-ref,-2.4951065
WMTBiomedBaseline.183,chinanews.com.102876::13,59,Prism-ref,-3.647328
WMTBiomedBaseline.183,chinanews.com.102876::14,60,Prism-ref,-3.2949777
WMTBiomedBaseline.183,chinanews.com.102876::15,61,Prism-ref,-2.753676
WMTBiomedBaseline.183,chinanews.com.102876::16,62,Prism-ref,-3.8626666
WMTBiomedBaseline.183,chinanews.com.102876::17,63,Prism-ref,-2.9436488
WMTBiomedBaseline.183,chinese.macao.1081::1,64,Prism-ref,-2.1040404
WMTBiomedBaseline.183,chinese.macao.1081::2,65,Prism-ref,-2.6961932
WMTBiomedBaseline.183,chinese.macao.1081::3,66,Prism-ref,-2.9032106
WMTBiomedBaseline.183,chinese.macao.1081::4,67,Prism-ref,-2.0371766
WMTBiomedBaseline.183,chinese.macao.1081::5,68,Prism-ref,-2.5504866
WMTBiomedBaseline.183,chinese.macao.1081::6,69,Prism-ref,-1.3563201
WMTBiomedBaseline.183,chinese.macao.1081::7,70,Prism-ref,-4.0708117
WMTBiomedBaseline.183,chinese.macao.1081::8,71,Prism-ref,-3.0934138
WMTBiomedBaseline.183,chinese.macao.1081::9,72,Prism-ref,-2.7017713
WMTBiomedBaseline.183,chinese.macao.1081::10,73,Prism-ref,-2.2982829
WMTBiomedBaseline.183,chinese.macao.1081::11,74,Prism-ref,-1.0725868
WMTBiomedBaseline.183,chinese.macao.1081::12,75,Prism-ref,-2.340231
WMTBiomedBaseline.183,xinhua-zh-01.6632::1,76,Prism-ref,-2.0760865
WMTBiomedBaseline.183,xinhua-zh-01.6632::2,77,Prism-ref,-1.6951964
WMTBiomedBaseline.183,xinhua-zh-01.6632::3,78,Prism-ref,-2.4863791
WMTBiomedBaseline.183,xinhua-zh-01.6632::4,79,Prism-ref,-1.8921208
WMTBiomedBaseline.183,xinhua-zh-01.6632::5,80,Prism-ref,-1.073458
WMTBiomedBaseline.183,xinhua-zh-01.6632::6,81,Prism-ref,-3.510569
WMTBiomedBaseline.183,xinhua-zh-01.6632::7,82,Prism-ref,-1.3296278
WMTBiomedBaseline.183,xinhua-zh-01.6632::8,83,Prism-ref,-3.4736104
WMTBiomedBaseline.183,xinhua-zh-01.6632::9,84,Prism-ref,-1.5048445
WMTBiomedBaseline.183,xinhua-zh-01.6632::10,85,Prism-ref,-3.9546907
WMTBiomedBaseline.183,xinhua-zh-01.6632::11,86,Prism-ref,-2.4105136
WMTBiomedBaseline.183,tsrus.cn.2113::1,87,Prism-ref,-1.7747167
WMTBiomedBaseline.183,tsrus.cn.2113::2,88,Prism-ref,-1.3393233
WMTBiomedBaseline.183,tsrus.cn.2113::3,89,Prism-ref,-1.6925675
WMTBiomedBaseline.183,tsrus.cn.2113::4,90,Prism-ref,-1.7591969
WMTBiomedBaseline.183,tsrus.cn.2113::5,91,Prism-ref,-1.3064785
WMTBiomedBaseline.183,tsrus.cn.2113::6,92,Prism-ref,-0.52390397
WMTBiomedBaseline.183,tsrus.cn.2113::7,93,Prism-ref,-1.7142367
WMTBiomedBaseline.183,tsrus.cn.2113::8,94,Prism-ref,-0.86212134
