SYS,seg_id,set_id,metric,score
trans-base,xinhua-zh-01.6565::1,0,Prism-ref,-1.6300153
trans-base,xinhua-zh-01.6565::2,1,Prism-ref,-1.9532251
trans-base,xinhua-zh-01.6565::3,2,Prism-ref,-1.6360707
trans-base,xinhua-zh-01.6565::4,3,Prism-ref,-1.5695786
trans-base,xinhua-zh-01.6565::5,4,Prism-ref,-2.1346302
trans-base,xinhua-zh-01.6565::6,5,Prism-ref,-0.93892306
trans-base,xinhua-zh-01.6565::7,6,Prism-ref,-2.4649372
trans-base,xinhua-zh-01.6565::8,7,Prism-ref,-2.5286222
trans-base,chinanews.com.102830::1,8,Prism-ref,-3.6405232
trans-base,chinanews.com.102830::2,9,Prism-ref,-2.6551564
trans-base,chinanews.com.102830::3,10,Prism-ref,-2.2079709
trans-base,chinanews.com.102830::4,11,Prism-ref,-2.255866
trans-base,chinanews.com.102830::5,12,Prism-ref,-2.835238
trans-base,chinanews.com.102830::6,13,Prism-ref,-1.4463009
trans-base,chinanews.com.102830::7,14,Prism-ref,-1.854861
trans-base,chinanews.com.102830::8,15,Prism-ref,-2.270868
trans-base,chinanews.com.102568::1,16,Prism-ref,-1.061007
trans-base,chinanews.com.102568::2,17,Prism-ref,-1.2861066
trans-base,chinanews.com.102568::3,18,Prism-ref,-1.4055073
trans-base,chinanews.com.102568::4,19,Prism-ref,-1.062519
trans-base,chinanews.com.102568::5,20,Prism-ref,-1.6952298
trans-base,chinanews.com.102568::6,21,Prism-ref,-2.0114238
trans-base,chinanews.com.102568::7,22,Prism-ref,-1.3878691
trans-base,chinanews.com.102568::8,23,Prism-ref,-1.444387
trans-base,chinanews.com.102568::9,24,Prism-ref,-1.6215403
trans-base,chinanews.com.102568::10,25,Prism-ref,-1.1569766
trans-base,chinanews.com.102568::11,26,Prism-ref,-0.78810287
trans-base,international_times-zh.151::1,27,Prism-ref,-1.2013927
trans-base,international_times-zh.151::2,28,Prism-ref,-1.7770524
trans-base,international_times-zh.151::3,29,Prism-ref,-0.8616935
trans-base,international_times-zh.151::4,30,Prism-ref,-0.55416167
trans-base,international_times-zh.151::5,31,Prism-ref,-0.47032237
trans-base,chinanews.com.102642::1,32,Prism-ref,-2.086753
trans-base,chinanews.com.102642::2,33,Prism-ref,-2.4497461
trans-base,chinanews.com.102642::3,34,Prism-ref,-3.1826813
trans-base,chinanews.com.102642::4,35,Prism-ref,-1.1747086
trans-base,chinanews.com.102642::5,36,Prism-ref,-2.3633273
trans-base,chinanews.com.102642::6,37,Prism-ref,-1.2645102
trans-base,chinanews.com.102642::7,38,Prism-ref,-2.9398947
trans-base,chinanews.com.102642::8,39,Prism-ref,-1.3816247
trans-base,xinhua-zh-01.6446::1,40,Prism-ref,-0.3748567
trans-base,xinhua-zh-01.6446::2,41,Prism-ref,-1.6652793
trans-base,xinhua-zh-01.6446::3,42,Prism-ref,-1.0672153
trans-base,xinhua-zh-01.6446::4,43,Prism-ref,-2.540556
trans-base,xinhua-zh-01.6446::5,44,Prism-ref,-0.37197593
trans-base,xinhua-zh-01.6446::6,45,Prism-ref,-1.3026667
trans-base,xinhua-zh-01.6446::7,46,Prism-ref,-0.21602827
trans-base,chinanews.com.102876::1,47,Prism-ref,-1.7085056
trans-base,chinanews.com.102876::2,48,Prism-ref,-2.749881
trans-base,chinanews.com.102876::3,49,Prism-ref,-2.2703483
trans-base,chinanews.com.102876::4,50,Prism-ref,-1.9108899
trans-base,chinanews.com.102876::5,51,Prism-ref,-2.7507515
trans-base,chinanews.com.102876::6,52,Prism-ref,-2.4841328
trans-base,chinanews.com.102876::7,53,Prism-ref,-1.9693186
trans-base,chinanews.com.102876::8,54,Prism-ref,-2.168214
trans-base,chinanews.com.102876::9,55,Prism-ref,-2.4368453
trans-base,chinanews.com.102876::10,56,Prism-ref,-2.1055887
trans-base,chinanews.com.102876::11,57,Prism-ref,-1.3862265
trans-base,chinanews.com.102876::12,58,Prism-ref,-2.131835
trans-base,chinanews.com.102876::13,59,Prism-ref,-2.9140258
trans-base,chinanews.com.102876::14,60,Prism-ref,-3.0989776
trans-base,chinanews.com.102876::15,61,Prism-ref,-2.4803994
