SYS,seg_id,set_id,metric,score
trans-base,xinhua-zh-01.6565::1,0,Prism-src,-1.6181048
trans-base,xinhua-zh-01.6565::2,1,Prism-src,-1.3294227
trans-base,xinhua-zh-01.6565::3,2,Prism-src,-2.121852
trans-base,xinhua-zh-01.6565::4,3,Prism-src,-1.22611
trans-base,xinhua-zh-01.6565::5,4,Prism-src,-1.2878973
trans-base,xinhua-zh-01.6565::6,5,Prism-src,-1.0284755
trans-base,xinhua-zh-01.6565::7,6,Prism-src,-1.8605269
trans-base,xinhua-zh-01.6565::8,7,Prism-src,-1.3472201
trans-base,chinanews.com.102830::1,8,Prism-src,-1.6270546
trans-base,chinanews.com.102830::2,9,Prism-src,-2.0346615
trans-base,chinanews.com.102830::3,10,Prism-src,-1.4935952
trans-base,chinanews.com.102830::4,11,Prism-src,-1.6065377
trans-base,chinanews.com.102830::5,12,Prism-src,-1.5259495
trans-base,chinanews.com.102830::6,13,Prism-src,-0.7793885
trans-base,chinanews.com.102830::7,14,Prism-src,-1.295443
trans-base,chinanews.com.102830::8,15,Prism-src,-1.3530385
trans-base,chinanews.com.102568::1,16,Prism-src,-1.597352
trans-base,chinanews.com.102568::2,17,Prism-src,-1.1989228
trans-base,chinanews.com.102568::3,18,Prism-src,-2.1176867
trans-base,chinanews.com.102568::4,19,Prism-src,-0.8348073
trans-base,chinanews.com.102568::5,20,Prism-src,-2.422135
trans-base,chinanews.com.102568::6,21,Prism-src,-1.4711722
trans-base,chinanews.com.102568::7,22,Prism-src,-0.95249975
trans-base,chinanews.com.102568::8,23,Prism-src,-1.3105475
trans-base,chinanews.com.102568::9,24,Prism-src,-1.5759782
trans-base,chinanews.com.102568::10,25,Prism-src,-1.4301914
trans-base,chinanews.com.102568::11,26,Prism-src,-0.81488687
trans-base,international_times-zh.151::1,27,Prism-src,-0.8872483
trans-base,international_times-zh.151::2,28,Prism-src,-1.5894432
trans-base,international_times-zh.151::3,29,Prism-src,-0.49547055
trans-base,international_times-zh.151::4,30,Prism-src,-1.1431098
trans-base,international_times-zh.151::5,31,Prism-src,-0.49144393
trans-base,chinanews.com.102642::1,32,Prism-src,-1.3164686
trans-base,chinanews.com.102642::2,33,Prism-src,-1.2430376
trans-base,chinanews.com.102642::3,34,Prism-src,-1.3519841
trans-base,chinanews.com.102642::4,35,Prism-src,-0.61204994
trans-base,chinanews.com.102642::5,36,Prism-src,-0.9624282
trans-base,chinanews.com.102642::6,37,Prism-src,-0.6022038
trans-base,chinanews.com.102642::7,38,Prism-src,-1.9229393
trans-base,chinanews.com.102642::8,39,Prism-src,-0.8651323
trans-base,xinhua-zh-01.6446::1,40,Prism-src,-0.6759102
trans-base,xinhua-zh-01.6446::2,41,Prism-src,-0.93645185
trans-base,xinhua-zh-01.6446::3,42,Prism-src,-0.73501563
trans-base,xinhua-zh-01.6446::4,43,Prism-src,-1.954887
trans-base,xinhua-zh-01.6446::5,44,Prism-src,-0.44065788
trans-base,xinhua-zh-01.6446::6,45,Prism-src,-0.9895695
trans-base,xinhua-zh-01.6446::7,46,Prism-src,-0.33965853
trans-base,chinanews.com.102876::1,47,Prism-src,-1.4053705
trans-base,chinanews.com.102876::2,48,Prism-src,-1.8852004
trans-base,chinanews.com.102876::3,49,Prism-src,-1.9026074
trans-base,chinanews.com.102876::4,50,Prism-src,-1.2867451
trans-base,chinanews.com.102876::5,51,Prism-src,-1.6501294
trans-base,chinanews.com.102876::6,52,Prism-src,-1.3542788
trans-base,chinanews.com.102876::7,53,Prism-src,-1.7875232
trans-base,chinanews.com.102876::8,54,Prism-src,-1.6150929
trans-base,chinanews.com.102876::9,55,Prism-src,-1.6549479
trans-base,chinanews.com.102876::10,56,Prism-src,-1.3751997
trans-base,chinanews.com.102876::11,57,Prism-src,-1.7245955
trans-base,chinanews.com.102876::12,58,Prism-src,-1.5014108
trans-base,chinanews.com.102876::13,59,Prism-src,-1.618771
trans-base,chinanews.com.102876::14,60,Prism-src,-1.8022382
trans-base,chinanews.com.102876::15,61,Prism-src,-1.3064965
trans-base,chinanews.com.102876::16,62,Prism-src,-1.4227798
trans-base,chinanews.com.102876::17,63,Prism-src,-1.8466319
trans-base,chinese.macao.1081::1,64,Prism-src,-0.9307593
trans-base,chinese.macao.1081::2,65,Prism-src,-1.71132
trans-base,chinese.macao.1081::3,66,Prism-src,-1.4484253
trans-base,chinese.macao.1081::4,67,Prism-src,-0.80019873
trans-base,chinese.macao.1081::5,68,Prism-src,-1.7047315
trans-base,chinese.macao.1081::6,69,Prism-src,-0.8435252
trans-base,chinese.macao.1081::7,70,Prism-src,-1.9582351
trans-base,chinese.macao.1081::8,71,Prism-src,-1.6157037
trans-base,chinese.macao.1081::9,72,Prism-src,-0.74177605
trans-base,chinese.macao.1081::10,73,Prism-src,-0.8548226
trans-base,chinese.macao.1081::11,74,Prism-src,-1.1079701
trans-base,chinese.macao.1081::12,75,Prism-src,-1.8265882
trans-base,xinhua-zh-01.6632::1,76,Prism-src,-1.3425314
trans-base,xinhua-zh-01.6632::2,77,Prism-src,-0.83931315
trans-base,xinhua-zh-01.6632::3,78,Prism-src,-1.1811013
trans-base,xinhua-zh-01.6632::4,79,Prism-src,-0.8804755
trans-base,xinhua-zh-01.6632::5,80,Prism-src,-0.5576792
trans-base,xinhua-zh-01.6632::6,81,Prism-src,-1.771389
trans-base,xinhua-zh-01.6632::7,82,Prism-src,-1.1496866
trans-base,xinhua-zh-01.6632::8,83,Prism-src,-2.1600041
trans-base,xinhua-zh-01.6632::9,84,Prism-src,-0.48565134
trans-base,xinhua-zh-01.6632::10,85,Prism-src,-1.9137033
trans-base,xinhua-zh-01.6632::11,86,Prism-src,-1.1684045
trans-base,tsrus.cn.2113::1,87,Prism-src,-0.9132735
trans-base,tsrus.cn.2113::2,88,Prism-src,-0.6269681
trans-base,tsrus.cn.2113::3,89,Prism-src,-1.0804439
trans-base,tsrus.cn.2113::4,90,Prism-src,-0.8036259
trans-base,tsrus.cn.2113::5,91,Prism-src,-0.51418245
trans-base,tsrus.cn.2113::6,92,Prism-src,-0.3655718
trans-base,tsrus.cn.2113::7,93,Prism-src,-0.7023417
trans-base,tsrus.cn.2113::8,94,Prism-src,-0.68624544
trans-base,hunan_ribao-zh.186::1,95,Prism-src,-1.9059422
