SYS,seg_id,set_id,metric,score
trans-base,xinhua-zh-01.6565::1,0,chrF,79.65207586251378
trans-base,xinhua-zh-01.6565::2,1,chrF,60.362564423717025
trans-base,xinhua-zh-01.6565::3,2,chrF,58.52697145020686
trans-base,xinhua-zh-01.6565::4,3,chrF,73.70468370695785
trans-base,xinhua-zh-01.6565::5,4,chrF,59.031174715465895
trans-base,xinhua-zh-01.6565::6,5,chrF,76.7702749504649
trans-base,xinhua-zh-01.6565::7,6,chrF,55.14647340264436
trans-base,xinhua-zh-01.6565::8,7,chrF,40.726272115351456
trans-base,chinanews.com.102830::1,8,chrF,47.98624126333386
trans-base,chinanews.com.102830::2,9,chrF,54.476828134548015
trans-base,chinanews.com.102830::3,10,chrF,51.50288269912572
trans-base,chinanews.com.102830::4,11,chrF,60.69576066979335
trans-base,chinanews.com.102830::5,12,chrF,44.59214072666951
trans-base,chinanews.com.102830::6,13,chrF,62.00546381273442
trans-base,chinanews.com.102830::7,14,chrF,55.434256957426
trans-base,chinanews.com.102830::8,15,chrF,46.92347564913374
trans-base,chinanews.com.102568::1,16,chrF,77.92498602474379
trans-base,chinanews.com.102568::2,17,chrF,73.61385655982899
trans-base,chinanews.com.102568::3,18,chrF,68.08813001112345
trans-base,chinanews.com.102568::4,19,chrF,68.73560239856116
trans-base,chinanews.com.102568::5,20,chrF,53.47407085281281
trans-base,chinanews.com.102568::6,21,chrF,42.48882067962728
trans-base,chinanews.com.102568::7,22,chrF,72.65178645510505
trans-base,chinanews.com.102568::8,23,chrF,68.92190648766994
trans-base,chinanews.com.102568::9,24,chrF,62.76358955684823
trans-base,chinanews.com.102568::10,25,chrF,69.33122353435498
trans-base,chinanews.com.102568::11,26,chrF,85.21376232189401
trans-base,international_times-zh.151::1,27,chrF,57.8939301009729
trans-base,international_times-zh.151::2,28,chrF,69.6533762714495
trans-base,international_times-zh.151::3,29,chrF,71.62400979484143
trans-base,international_times-zh.151::4,30,chrF,76.29974080901688
