SYS,seg_id,set_id,metric,score
trans-large-ens4,xinhua-zh-01.6565::1,0,chrFpp,69.81780024396124
trans-large-ens4,xinhua-zh-01.6565::2,1,chrFpp,46.5967524385361
trans-large-ens4,xinhua-zh-01.6565::3,2,chrFpp,54.51082735177112
trans-large-ens4,xinhua-zh-01.6565::4,3,chrFpp,63.86288555671492
trans-large-ens4,xinhua-zh-01.6565::5,4,chrFpp,63.764885549359605
trans-large-ens4,xinhua-zh-01.6565::6,5,chrFpp,66.87169123347881
trans-large-ens4,xinhua-zh-01.6565::7,6,chrFpp,75.01668889824253
trans-large-ens4,xinhua-zh-01.6565::8,7,chrFpp,45.42829004722916
trans-large-ens4,chinanews.com.102830::1,8,chrFpp,58.26353764519645
trans-large-ens4,chinanews.com.102830::2,9,chrFpp,53.577509554660054
trans-large-ens4,chinanews.com.102830::3,10,chrFpp,50.322099807262134
trans-large-ens4,chinanews.com.102830::4,11,chrFpp,55.78829418632463
trans-large-ens4,chinanews.com.102830::5,12,chrFpp,63.5138114624997
trans-large-ens4,chinanews.com.102830::6,13,chrFpp,64.90500339076723
trans-large-ens4,chinanews.com.102830::7,14,chrFpp,55.43727871408023
trans-large-ens4,chinanews.com.102830::8,15,chrFpp,58.99615401168548
trans-large-ens4,chinanews.com.102568::1,16,chrFpp,72.43926051157308
trans-large-ens4,chinanews.com.102568::2,17,chrFpp,67.60306815962919
trans-large-ens4,chinanews.com.102568::3,18,chrFpp,59.88858545702853
trans-large-ens4,chinanews.com.102568::4,19,chrFpp,64.95341316651302
trans-large-ens4,chinanews.com.102568::5,20,chrFpp,90.95243421817915
trans-large-ens4,chinanews.com.102568::6,21,chrFpp,30.020496103040596
trans-large-ens4,chinanews.com.102568::7,22,chrFpp,67.93389608607234
trans-large-ens4,chinanews.com.102568::8,23,chrFpp,35.46602163955731
trans-large-ens4,chinanews.com.102568::9,24,chrFpp,53.249674535565674
trans-large-ens4,chinanews.com.102568::10,25,chrFpp,75.4376835646055
trans-large-ens4,chinanews.com.102568::11,26,chrFpp,83.63101873165263
trans-large-ens4,international_times-zh.151::1,27,chrFpp,67.86829322764424
trans-large-ens4,international_times-zh.151::2,28,chrFpp,63.22564257689989
trans-large-ens4,international_times-zh.151::3,29,chrFpp,52.97196240910769
trans-large-ens4,international_times-zh.151::4,30,chrFpp,84.8915829180646
trans-large-ens4,international_times-zh.151::5,31,chrFpp,77.06860481314266
trans-large-ens4,chinanews.com.102642::1,32,chrFpp,43.183607565963115
trans-large-ens4,chinanews.com.102642::2,33,chrFpp,38.599602675592934
trans-large-ens4,chinanews.com.102642::3,34,chrFpp,50.258600649641174
trans-large-ens4,chinanews.com.102642::4,35,chrFpp,74.4005560092998
trans-large-ens4,chinanews.com.102642::5,36,chrFpp,33.33003724792333
trans-large-ens4,chinanews.com.102642::6,37,chrFpp,77.6318557736058
trans-large-ens4,chinanews.com.102642::7,38,chrFpp,37.119484161777635
trans-large-ens4,chinanews.com.102642::8,39,chrFpp,49.75322511548354
trans-large-ens4,xinhua-zh-01.6446::1,40,chrFpp,82.50136909236069
trans-large-ens4,xinhua-zh-01.6446::2,41,chrFpp,62.91641469623038
trans-large-ens4,xinhua-zh-01.6446::3,42,chrFpp,54.81726717475522
trans-large-ens4,xinhua-zh-01.6446::4,43,chrFpp,71.37118703479564
trans-large-ens4,xinhua-zh-01.6446::5,44,chrFpp,79.29406211956615
trans-large-ens4,xinhua-zh-01.6446::6,45,chrFpp,40.30869122862996
trans-large-ens4,xinhua-zh-01.6446::7,46,chrFpp,92.1090795658125
trans-large-ens4,chinanews.com.102876::1,47,chrFpp,40.569140168730165
trans-large-ens4,chinanews.com.102876::2,48,chrFpp,26.39962933804928
trans-large-ens4,chinanews.com.102876::3,49,chrFpp,38.39133676722813
trans-large-ens4,chinanews.com.102876::4,50,chrFpp,42.463896658301785
trans-large-ens4,chinanews.com.102876::5,51,chrFpp,33.53298819944117
trans-large-ens4,chinanews.com.102876::6,52,chrFpp,50.31651331024446
trans-large-ens4,chinanews.com.102876::7,53,chrFpp,42.99607943193154
trans-large-ens4,chinanews.com.102876::8,54,chrFpp,39.82786051587032
trans-large-ens4,chinanews.com.102876::9,55,chrFpp,47.21306554440859
trans-large-ens4,chinanews.com.102876::10,56,chrFpp,44.19738271543893
trans-large-ens4,chinanews.com.102876::11,57,chrFpp,45.28641163491408
trans-large-ens4,chinanews.com.102876::12,58,chrFpp,39.8808475554475
trans-large-ens4,chinanews.com.102876::13,59,chrFpp,36.245833879123545
trans-large-ens4,chinanews.com.102876::14,60,chrFpp,25.515990196914522
trans-large-ens4,chinanews.com.102876::15,61,chrFpp,48.411562748438286
trans-large-ens4,chinanews.com.102876::16,62,chrFpp,41.17910309438075
trans-large-ens4,chinanews.com.102876::17,63,chrFpp,33.03617090058612
trans-large-ens4,chinese.macao.1081::1,64,chrFpp,65.34823042580015
trans-large-ens4,chinese.macao.1081::2,65,chrFpp,38.868819677374155
trans-large-ens4,chinese.macao.1081::3,66,chrFpp,49.76998897123476
trans-large-ens4,chinese.macao.1081::4,67,chrFpp,49.9274401383159
trans-large-ens4,chinese.macao.1081::5,68,chrFpp,31.5750592466076
trans-large-ens4,chinese.macao.1081::6,69,chrFpp,67.52056930137476
trans-large-ens4,chinese.macao.1081::7,70,chrFpp,64.89048281134879
trans-large-ens4,chinese.macao.1081::8,71,chrFpp,54.26975666286443
trans-large-ens4,chinese.macao.1081::9,72,chrFpp,70.32171396037793
trans-large-ens4,chinese.macao.1081::10,73,chrFpp,67.7027805213103
trans-large-ens4,chinese.macao.1081::11,74,chrFpp,67.12253873807293
trans-large-ens4,chinese.macao.1081::12,75,chrFpp,52.598763264962955
trans-large-ens4,xinhua-zh-01.6632::1,76,chrFpp,47.53855254409321
trans-large-ens4,xinhua-zh-01.6632::2,77,chrFpp,62.40051887911129
trans-large-ens4,xinhua-zh-01.6632::3,78,chrFpp,56.75500158422969
trans-large-ens4,xinhua-zh-01.6632::4,79,chrFpp,65.72429266607247
trans-large-ens4,xinhua-zh-01.6632::5,80,chrFpp,86.70128855417316
trans-large-ens4,xinhua-zh-01.6632::6,81,chrFpp,24.03343019805701
trans-large-ens4,xinhua-zh-01.6632::7,82,chrFpp,55.03051648432083
trans-large-ens4,xinhua-zh-01.6632::8,83,chrFpp,27.541027294188137
trans-large-ens4,xinhua-zh-01.6632::9,84,chrFpp,55.56087230325885
trans-large-ens4,xinhua-zh-01.6632::10,85,chrFpp,52.42899487287289
trans-large-ens4,xinhua-zh-01.6632::11,86,chrFpp,52.98955777868486
trans-large-ens4,tsrus.cn.2113::1,87,chrFpp,56.522460046751796
trans-large-ens4,tsrus.cn.2113::2,88,chrFpp,59.74542920961129
trans-large-ens4,tsrus.cn.2113::3,89,chrFpp,47.638567283775345
trans-large-ens4,tsrus.cn.2113::4,90,chrFpp,69.3864224296013
trans-large-ens4,tsrus.cn.2113::5,91,chrFpp,61.29815172115938
trans-large-ens4,tsrus.cn.2113::6,92,chrFpp,72.80768410296308
trans-large-ens4,tsrus.cn.2113::7,93,chrFpp,85.4444432264657
trans-large-ens4,tsrus.cn.2113::8,94,chrFpp,61.86636357728532
trans-large-ens4,hunan_ribao-zh.186::1,95,chrFpp,61.43635325270919
trans-large-ens4,hunan_ribao-zh.186::2,96,chrFpp,49.10733860677343
trans-large-ens4,hunan_ribao-zh.186::3,97,chrFpp,51.23463342047644
trans-large-ens4,hunan_ribao-zh.186::4,98,chrFpp,37.85958330636976
trans-large-ens4,hunan_ribao-zh.186::5,99,chrFpp,72.00032069909695
trans-large-ens4,hunan_ribao-zh.186::6,100,chrFpp,66.32258460849677
trans-large-ens4,hunan_ribao-zh.186::7,101,chrFpp,42.49368689498766
trans-large-ens4,chinanews.com.102605::1,102,chrFpp,40.21082647295358
trans-large-ens4,chinanews.com.102605::2,103,chrFpp,43.211655165281314
trans-large-ens4,chinanews.com.102605::3,104,chrFpp,29.564159234714488
trans-large-ens4,chinanews.com.102605::4,105,chrFpp,37.779256483739076
trans-large-ens4,chinanews.com.102605::5,106,chrFpp,35.06093532733759
trans-large-ens4,chinanews.com.102605::6,107,chrFpp,32.39648771548567
trans-large-ens4,chinanews.com.102605::7,108,chrFpp,69.6232541541477
trans-large-ens4,chinanews.com.102605::8,109,chrFpp,49.63592623149907
trans-large-ens4,chinanews.com.102605::9,110,chrFpp,57.873758290783805
trans-large-ens4,chinanews.com.102605::10,111,chrFpp,35.35151191396913
trans-large-ens4,chinanews.com.102605::11,112,chrFpp,48.689263704481384
trans-large-ens4,chinanews.com.102605::12,113,chrFpp,34.747636615185314
