SYS,seg_id,set_id,metric,score
trans-large,xinhua-zh-01.6565::1,0,METEOR,0.8035714285714286
trans-large,xinhua-zh-01.6565::2,1,METEOR,0.3239338103756708
trans-large,xinhua-zh-01.6565::3,2,METEOR,0.573225579176404
trans-large,xinhua-zh-01.6565::4,3,METEOR,0.6237762237762238
trans-large,xinhua-zh-01.6565::5,4,METEOR,0.6253874026033455
trans-large,xinhua-zh-01.6565::6,5,METEOR,0.8066971080669711
trans-large,xinhua-zh-01.6565::7,6,METEOR,0.6860986369399831
trans-large,xinhua-zh-01.6565::8,7,METEOR,0.3135595633602278
trans-large,chinanews.com.102830::1,8,METEOR,0.48891694725028073
trans-large,chinanews.com.102830::2,9,METEOR,0.5412845416756505
trans-large,chinanews.com.102830::3,10,METEOR,0.39289419087136923
trans-large,chinanews.com.102830::4,11,METEOR,0.5083426750294147
trans-large,chinanews.com.102830::5,12,METEOR,0.31794871794871804
trans-large,chinanews.com.102830::6,13,METEOR,0.5202408832385415
trans-large,chinanews.com.102830::7,14,METEOR,0.3660516605166052
trans-large,chinanews.com.102830::8,15,METEOR,0.5089456617692044
trans-large,chinanews.com.102568::1,16,METEOR,0.7619373219373219
trans-large,chinanews.com.102568::2,17,METEOR,0.8280170259697737
trans-large,chinanews.com.102568::3,18,METEOR,0.4200470088710289
trans-large,chinanews.com.102568::4,19,METEOR,0.6862486248624863
trans-large,chinanews.com.102568::5,20,METEOR,0.8835050207756232
trans-large,chinanews.com.102568::6,21,METEOR,0.3133574007220217
trans-large,chinanews.com.102568::7,22,METEOR,0.4715047150471505
trans-large,chinanews.com.102568::8,23,METEOR,0.457981981981982
trans-large,chinanews.com.102568::9,24,METEOR,0.7079365079365081
trans-large,chinanews.com.102568::10,25,METEOR,0.7920697917149512
trans-large,chinanews.com.102568::11,26,METEOR,0.8187284768211922
trans-large,international_times-zh.151::1,27,METEOR,0.722482853223594
trans-large,international_times-zh.151::2,28,METEOR,0.4813336184976593
trans-large,international_times-zh.151::3,29,METEOR,0.6539589442815249
trans-large,international_times-zh.151::4,30,METEOR,0.44874175875197325
trans-large,international_times-zh.151::5,31,METEOR,0.7945087691661417
trans-large,chinanews.com.102642::1,32,METEOR,0.3228198300192942
trans-large,chinanews.com.102642::2,33,METEOR,0.3437151437151436
trans-large,chinanews.com.102642::3,34,METEOR,0.35680000000000006
trans-large,chinanews.com.102642::4,35,METEOR,0.7407407407407408
trans-large,chinanews.com.102642::5,36,METEOR,0.22546355879689217
trans-large,chinanews.com.102642::6,37,METEOR,0.8153860333650803
trans-large,chinanews.com.102642::7,38,METEOR,0.20205903712247428
trans-large,chinanews.com.102642::8,39,METEOR,0.37328981179248555
trans-large,xinhua-zh-01.6446::1,40,METEOR,0.9995
trans-large,xinhua-zh-01.6446::2,41,METEOR,0.5436106101940474
trans-large,xinhua-zh-01.6446::3,42,METEOR,0.642554012345679
trans-large,xinhua-zh-01.6446::4,43,METEOR,0.6239528218694886
trans-large,xinhua-zh-01.6446::5,44,METEOR,0.7382726108718426
