SYS,seg_id,set_id,metric,score
trans-large,xinhua-zh-01.6565::1,0,Prism-ref,-1.6591507
trans-large,xinhua-zh-01.6565::2,1,Prism-ref,-1.7746296
trans-large,xinhua-zh-01.6565::3,2,Prism-ref,-1.3710638
trans-large,xinhua-zh-01.6565::4,3,Prism-ref,-1.9334695
trans-large,xinhua-zh-01.6565::5,4,Prism-ref,-1.8324678
trans-large,xinhua-zh-01.6565::6,5,Prism-ref,-0.9387479
trans-large,xinhua-zh-01.6565::7,6,Prism-ref,-1.4184337
trans-large,xinhua-zh-01.6565::8,7,Prism-ref,-2.3067842
trans-large,chinanews.com.102830::1,8,Prism-ref,-3.368253
trans-large,chinanews.com.102830::2,9,Prism-ref,-2.6071892
trans-large,chinanews.com.102830::3,10,Prism-ref,-2.0753474
trans-large,chinanews.com.102830::4,11,Prism-ref,-2.2042365
trans-large,chinanews.com.102830::5,12,Prism-ref,-2.8157718
trans-large,chinanews.com.102830::6,13,Prism-ref,-1.5061927
trans-large,chinanews.com.102830::7,14,Prism-ref,-2.2499433
trans-large,chinanews.com.102830::8,15,Prism-ref,-2.3416848
trans-large,chinanews.com.102568::1,16,Prism-ref,-0.8850254
trans-large,chinanews.com.102568::2,17,Prism-ref,-0.9524902
trans-large,chinanews.com.102568::3,18,Prism-ref,-1.8243735
trans-large,chinanews.com.102568::4,19,Prism-ref,-1.2254081
trans-large,chinanews.com.102568::5,20,Prism-ref,-1.3373535
trans-large,chinanews.com.102568::6,21,Prism-ref,-1.9681171
trans-large,chinanews.com.102568::7,22,Prism-ref,-2.1547792
trans-large,chinanews.com.102568::8,23,Prism-ref,-2.2163591
trans-large,chinanews.com.102568::9,24,Prism-ref,-1.4699936
trans-large,chinanews.com.102568::10,25,Prism-ref,-0.9256778
trans-large,chinanews.com.102568::11,26,Prism-ref,-0.7229482
trans-large,international_times-zh.151::1,27,Prism-ref,-1.2539815
trans-large,international_times-zh.151::2,28,Prism-ref,-1.7103761
trans-large,international_times-zh.151::3,29,Prism-ref,-0.96405125
trans-large,international_times-zh.151::4,30,Prism-ref,-1.1253402
trans-large,international_times-zh.151::5,31,Prism-ref,-0.4703226
trans-large,chinanews.com.102642::1,32,Prism-ref,-2.387746
trans-large,chinanews.com.102642::2,33,Prism-ref,-2.3268452
trans-large,chinanews.com.102642::3,34,Prism-ref,-2.8705106
trans-large,chinanews.com.102642::4,35,Prism-ref,-1.2101233
trans-large,chinanews.com.102642::5,36,Prism-ref,-2.3573446
trans-large,chinanews.com.102642::6,37,Prism-ref,-1.1248918
trans-large,chinanews.com.102642::7,38,Prism-ref,-3.11531
trans-large,chinanews.com.102642::8,39,Prism-ref,-1.4645238
trans-large,xinhua-zh-01.6446::1,40,Prism-ref,-0.23764813
trans-large,xinhua-zh-01.6446::2,41,Prism-ref,-1.9059055
trans-large,xinhua-zh-01.6446::3,42,Prism-ref,-0.8561009
trans-large,xinhua-zh-01.6446::4,43,Prism-ref,-2.0478776
trans-large,xinhua-zh-01.6446::5,44,Prism-ref,-0.77560735
trans-large,xinhua-zh-01.6446::6,45,Prism-ref,-2.7082405
trans-large,xinhua-zh-01.6446::7,46,Prism-ref,-0.28756678
trans-large,chinanews.com.102876::1,47,Prism-ref,-1.4888277
trans-large,chinanews.com.102876::2,48,Prism-ref,-2.2034092
trans-large,chinanews.com.102876::3,49,Prism-ref,-2.1062856
trans-large,chinanews.com.102876::4,50,Prism-ref,-1.7854403
trans-large,chinanews.com.102876::5,51,Prism-ref,-3.1171477
trans-large,chinanews.com.102876::6,52,Prism-ref,-2.1308103
trans-large,chinanews.com.102876::7,53,Prism-ref,-1.9823259
trans-large,chinanews.com.102876::8,54,Prism-ref,-2.5831623
trans-large,chinanews.com.102876::9,55,Prism-ref,-2.0004125
trans-large,chinanews.com.102876::10,56,Prism-ref,-1.7647274
trans-large,chinanews.com.102876::11,57,Prism-ref,-1.7789474
trans-large,chinanews.com.102876::12,58,Prism-ref,-2.0920992
trans-large,chinanews.com.102876::13,59,Prism-ref,-2.8132472
trans-large,chinanews.com.102876::14,60,Prism-ref,-3.2515035
trans-large,chinanews.com.102876::15,61,Prism-ref,-2.499342
trans-large,chinanews.com.102876::16,62,Prism-ref,-1.935745
trans-large,chinanews.com.102876::17,63,Prism-ref,-3.0629501
trans-large,chinese.macao.1081::1,64,Prism-ref,-1.2991862
trans-large,chinese.macao.1081::2,65,Prism-ref,-2.0312304
trans-large,chinese.macao.1081::3,66,Prism-ref,-1.7331461
trans-large,chinese.macao.1081::4,67,Prism-ref,-1.5721929
trans-large,chinese.macao.1081::5,68,Prism-ref,-2.3311987
trans-large,chinese.macao.1081::6,69,Prism-ref,-1.1018555
trans-large,chinese.macao.1081::7,70,Prism-ref,-1.4661236
trans-large,chinese.macao.1081::8,71,Prism-ref,-2.324956
trans-large,chinese.macao.1081::9,72,Prism-ref,-2.0735312
trans-large,chinese.macao.1081::10,73,Prism-ref,-1.9098061
trans-large,chinese.macao.1081::11,74,Prism-ref,-0.8502276
trans-large,chinese.macao.1081::12,75,Prism-ref,-1.6799374
trans-large,xinhua-zh-01.6632::1,76,Prism-ref,-2.1210856
trans-large,xinhua-zh-01.6632::2,77,Prism-ref,-1.1970034
trans-large,xinhua-zh-01.6632::3,78,Prism-ref,-1.5866787
trans-large,xinhua-zh-01.6632::4,79,Prism-ref,-1.2831869
trans-large,xinhua-zh-01.6632::5,80,Prism-ref,-0.43410817
trans-large,xinhua-zh-01.6632::6,81,Prism-ref,-2.2485557
trans-large,xinhua-zh-01.6632::7,82,Prism-ref,-1.759618
trans-large,xinhua-zh-01.6632::8,83,Prism-ref,-2.542855
trans-large,xinhua-zh-01.6632::9,84,Prism-ref,-1.7369502
trans-large,xinhua-zh-01.6632::10,85,Prism-ref,-2.5452828
trans-large,xinhua-zh-01.6632::11,86,Prism-ref,-1.6732775
trans-large,tsrus.cn.2113::1,87,Prism-ref,-1.3491886
trans-large,tsrus.cn.2113::2,88,Prism-ref,-1.4565428
trans-large,tsrus.cn.2113::3,89,Prism-ref,-2.2805192
trans-large,tsrus.cn.2113::4,90,Prism-ref,-1.5476087
trans-large,tsrus.cn.2113::5,91,Prism-ref,-1.2051796
trans-large,tsrus.cn.2113::6,92,Prism-ref,-1.2207925
trans-large,tsrus.cn.2113::7,93,Prism-ref,-0.7525292
trans-large,tsrus.cn.2113::8,94,Prism-ref,-0.9588069
trans-large,hunan_ribao-zh.186::1,95,Prism-ref,-2.488347
trans-large,hunan_ribao-zh.186::2,96,Prism-ref,-1.4098675
trans-large,hunan_ribao-zh.186::3,97,Prism-ref,-1.6257502
trans-large,hunan_ribao-zh.186::4,98,Prism-ref,-2.5538428
trans-large,hunan_ribao-zh.186::5,99,Prism-ref,-1.1532316
trans-large,hunan_ribao-zh.186::6,100,Prism-ref,-1.5063025
trans-large,hunan_ribao-zh.186::7,101,Prism-ref,-2.1847663
trans-large,chinanews.com.102605::1,102,Prism-ref,-2.1838758
trans-large,chinanews.com.102605::2,103,Prism-ref,-2.1917658
trans-large,chinanews.com.102605::3,104,Prism-ref,-3.2672992
trans-large,chinanews.com.102605::4,105,Prism-ref,-3.1612015
trans-large,chinanews.com.102605::5,106,Prism-ref,-2.704601
trans-large,chinanews.com.102605::6,107,Prism-ref,-3.8205123
trans-large,chinanews.com.102605::7,108,Prism-ref,-1.6194766
trans-large,chinanews.com.102605::8,109,Prism-ref,-1.5368832
trans-large,chinanews.com.102605::9,110,Prism-ref,-1.1933756
trans-large,chinanews.com.102605::10,111,Prism-ref,-2.1765046
trans-large,chinanews.com.102605::11,112,Prism-ref,-2.2315319
trans-large,chinanews.com.102605::12,113,Prism-ref,-3.0951042
trans-large,chinanews.com.102605::13,114,Prism-ref,-3.2386334
trans-large,chinanews.com.102605::14,115,Prism-ref,-2.7867727
trans-large,chinanews.com.102605::15,116,Prism-ref,-3.0717278
trans-large,chinanews.com.102605::16,117,Prism-ref,-1.4695008
trans-large,chinanews.com.102605::17,118,Prism-ref,-1.6218174
