SYS,seg_id,set_id,metric,score
trans-large,xinhua-zh-01.6565::1,0,ROUGE-3,0.41666666666666663
trans-large,xinhua-zh-01.6565::2,1,ROUGE-3,0.3260869565217391
trans-large,xinhua-zh-01.6565::3,2,ROUGE-3,0.4697986577181208
trans-large,xinhua-zh-01.6565::4,3,ROUGE-3,0.28915662650602414
trans-large,xinhua-zh-01.6565::5,4,ROUGE-3,0.31343283582089554
trans-large,xinhua-zh-01.6565::6,5,ROUGE-3,0.6341463414634146
trans-large,xinhua-zh-01.6565::7,6,ROUGE-3,0.4333333333333333
trans-large,xinhua-zh-01.6565::8,7,ROUGE-3,0.21768707482993196
trans-large,chinanews.com.102830::1,8,ROUGE-3,0.14285714285714288
trans-large,chinanews.com.102830::2,9,ROUGE-3,0.16216216216216214
trans-large,chinanews.com.102830::3,10,ROUGE-3,0.06976744186046513
trans-large,chinanews.com.102830::4,11,ROUGE-3,0.1379310344827586
trans-large,chinanews.com.102830::5,12,ROUGE-3,0.175
trans-large,chinanews.com.102830::6,13,ROUGE-3,0.15
trans-large,chinanews.com.102830::7,14,ROUGE-3,0.08759124087591241
trans-large,chinanews.com.102830::8,15,ROUGE-3,0.21705426356589147
trans-large,chinanews.com.102568::1,16,ROUGE-3,0.5161290322580646
trans-large,chinanews.com.102568::2,17,ROUGE-3,0.5797101449275363
trans-large,chinanews.com.102568::3,18,ROUGE-3,0.3548387096774193
trans-large,chinanews.com.102568::4,19,ROUGE-3,0.2
trans-large,chinanews.com.102568::5,20,ROUGE-3,0.6956521739130436
trans-large,chinanews.com.102568::6,21,ROUGE-3,0.0736196319018405
trans-large,chinanews.com.102568::7,22,ROUGE-3,0.22222222222222224
trans-large,chinanews.com.102568::8,23,ROUGE-3,0.2891566265060241
trans-large,chinanews.com.102568::9,24,ROUGE-3,0.18181818181818182
trans-large,chinanews.com.102568::10,25,ROUGE-3,0.5116279069767442
trans-large,chinanews.com.102568::11,26,ROUGE-3,0.47457627118644075
trans-large,international_times-zh.151::1,27,ROUGE-3,0.5277777777777778
trans-large,international_times-zh.151::2,28,ROUGE-3,0.3255813953488372
trans-large,international_times-zh.151::3,29,ROUGE-3,0.18181818181818182
trans-large,international_times-zh.151::4,30,ROUGE-3,0.0689655172413793
trans-large,international_times-zh.151::5,31,ROUGE-3,0.6153846153846153
trans-large,chinanews.com.102642::1,32,ROUGE-3,0.08333333333333333
trans-large,chinanews.com.102642::2,33,ROUGE-3,0.0
trans-large,chinanews.com.102642::3,34,ROUGE-3,0.1333333333333333
trans-large,chinanews.com.102642::4,35,ROUGE-3,0.6666666666666666
trans-large,chinanews.com.102642::5,36,ROUGE-3,0.1
trans-large,chinanews.com.102642::6,37,ROUGE-3,0.6122448979591836
trans-large,chinanews.com.102642::7,38,ROUGE-3,0.04545454545454545
trans-large,chinanews.com.102642::8,39,ROUGE-3,0.3255813953488372
trans-large,xinhua-zh-01.6446::1,40,ROUGE-3,1.0
trans-large,xinhua-zh-01.6446::2,41,ROUGE-3,0.24324324324324326
trans-large,xinhua-zh-01.6446::3,42,ROUGE-3,0.24242424242424243
trans-large,xinhua-zh-01.6446::4,43,ROUGE-3,0.3076923076923077
trans-large,xinhua-zh-01.6446::5,44,ROUGE-3,0.4615384615384615
trans-large,xinhua-zh-01.6446::6,45,ROUGE-3,0.0
trans-large,xinhua-zh-01.6446::7,46,ROUGE-3,0.625
trans-large,chinanews.com.102876::1,47,ROUGE-3,0.5
trans-large,chinanews.com.102876::2,48,ROUGE-3,0.10714285714285715
trans-large,chinanews.com.102876::3,49,ROUGE-3,0.22641509433962265
trans-large,chinanews.com.102876::4,50,ROUGE-3,0.1794871794871795
trans-large,chinanews.com.102876::5,51,ROUGE-3,0.10309278350515463
trans-large,chinanews.com.102876::6,52,ROUGE-3,0.09523809523809523
trans-large,chinanews.com.102876::7,53,ROUGE-3,0.2553191489361702
trans-large,chinanews.com.102876::8,54,ROUGE-3,0.1904761904761905
trans-large,chinanews.com.102876::9,55,ROUGE-3,0.20952380952380956
trans-large,chinanews.com.102876::10,56,ROUGE-3,0.17391304347826086
trans-large,chinanews.com.102876::11,57,ROUGE-3,0.36363636363636365
trans-large,chinanews.com.102876::12,58,ROUGE-3,0.044444444444444446
trans-large,chinanews.com.102876::13,59,ROUGE-3,0.05882352941176471
trans-large,chinanews.com.102876::14,60,ROUGE-3,0.02531645569620253
