SYS,seg_id,set_id,metric,score
trans-large,xinhua-zh-01.6565::1,0,TER,-38.46153846153847
trans-large,xinhua-zh-01.6565::2,1,TER,-67.24137931034483
trans-large,xinhua-zh-01.6565::3,2,TER,-38.78787878787879
trans-large,xinhua-zh-01.6565::4,3,TER,-55.55555555555556
trans-large,xinhua-zh-01.6565::5,4,TER,-56.00000000000001
trans-large,xinhua-zh-01.6565::6,5,TER,-24.390243902439025
trans-large,xinhua-zh-01.6565::7,6,TER,-43.01075268817204
trans-large,xinhua-zh-01.6565::8,7,TER,-70.2127659574468
trans-large,chinanews.com.102830::1,8,TER,-62.5
trans-large,chinanews.com.102830::2,9,TER,-63.76811594202898
trans-large,chinanews.com.102830::3,10,TER,-65.3061224489796
trans-large,chinanews.com.102830::4,11,TER,-71.9298245614035
trans-large,chinanews.com.102830::5,12,TER,-76.28865979381443
trans-large,chinanews.com.102830::6,13,TER,-48.97959183673469
trans-large,chinanews.com.102830::7,14,TER,-75.15151515151514
trans-large,chinanews.com.102830::8,15,TER,-64.0
trans-large,chinanews.com.102568::1,16,TER,-41.17647058823529
trans-large,chinanews.com.102568::2,17,TER,-33.33333333333333
trans-large,chinanews.com.102568::3,18,TER,-55.88235294117647
trans-large,chinanews.com.102568::4,19,TER,-45.97701149425287
trans-large,chinanews.com.102568::5,20,TER,-24.65753424657534
trans-large,chinanews.com.102568::6,21,TER,-79.24528301886792
trans-large,chinanews.com.102568::7,22,TER,-78.57142857142857
trans-large,chinanews.com.102568::8,23,TER,-63.73626373626373
trans-large,chinanews.com.102568::9,24,TER,-76.92307692307693
trans-large,chinanews.com.102568::10,25,TER,-29.213483146067414
trans-large,chinanews.com.102568::11,26,TER,-39.34426229508197
trans-large,international_times-zh.151::1,27,TER,-36.144578313253014
trans-large,international_times-zh.151::2,28,TER,-69.23076923076923
trans-large,international_times-zh.151::3,29,TER,-46.3768115942029
trans-large,international_times-zh.151::4,30,TER,-81.25
trans-large,international_times-zh.151::5,31,TER,-23.333333333333332
trans-large,chinanews.com.102642::1,32,TER,-64.03940886699507
trans-large,chinanews.com.102642::2,33,TER,-70.17543859649122
trans-large,chinanews.com.102642::3,34,TER,-80.76923076923077
trans-large,chinanews.com.102642::4,35,TER,-26.666666666666668
trans-large,chinanews.com.102642::5,36,TER,-83.63636363636363
trans-large,chinanews.com.102642::6,37,TER,-20.0
trans-large,chinanews.com.102642::7,38,TER,-89.65517241379311
trans-large,chinanews.com.102642::8,39,TER,-73.46938775510205
trans-large,xinhua-zh-01.6446::1,40,TER,-0.0
trans-large,xinhua-zh-01.6446::2,41,TER,-55.55555555555556
trans-large,xinhua-zh-01.6446::3,42,TER,-55.55555555555556
trans-large,xinhua-zh-01.6446::4,43,TER,-63.1578947368421
trans-large,xinhua-zh-01.6446::5,44,TER,-34.285714285714285
trans-large,xinhua-zh-01.6446::6,45,TER,-36.36363636363637
trans-large,xinhua-zh-01.6446::7,46,TER,-10.526315789473683
trans-large,chinanews.com.102876::1,47,TER,-33.33333333333333
trans-large,chinanews.com.102876::2,48,TER,-71.875
trans-large,chinanews.com.102876::3,49,TER,-64.51612903225806
trans-large,chinanews.com.102876::4,50,TER,-84.84848484848484
trans-large,chinanews.com.102876::5,51,TER,-93.02325581395348
trans-large,chinanews.com.102876::6,52,TER,-66.66666666666666
trans-large,chinanews.com.102876::7,53,TER,-69.17293233082707
trans-large,chinanews.com.102876::8,54,TER,-74.19354838709677
trans-large,chinanews.com.102876::9,55,TER,-65.34653465346535
trans-large,chinanews.com.102876::10,56,TER,-75.72815533980582
trans-large,chinanews.com.102876::11,57,TER,-69.56521739130434
trans-large,chinanews.com.102876::12,58,TER,-75.47169811320755
trans-large,chinanews.com.102876::13,59,TER,-73.21428571428571
trans-large,chinanews.com.102876::14,60,TER,-69.90291262135922
trans-large,chinanews.com.102876::15,61,TER,-61.53846153846154
trans-large,chinanews.com.102876::16,62,TER,-66.66666666666666
trans-large,chinanews.com.102876::17,63,TER,-78.16091954022988
trans-large,chinese.macao.1081::1,64,TER,-53.52112676056338
