SYS,seg_id,set_id,metric,score
trans-large,xinhua-zh-01.6565::1,0,chrF,73.84664087928392
trans-large,xinhua-zh-01.6565::2,1,chrF,52.59582548961447
trans-large,xinhua-zh-01.6565::3,2,chrF,67.59628438208938
trans-large,xinhua-zh-01.6565::4,3,chrF,68.90217744813907
trans-large,xinhua-zh-01.6565::5,4,chrF,63.046390271842746
trans-large,xinhua-zh-01.6565::6,5,chrF,74.63746504179899
trans-large,xinhua-zh-01.6565::7,6,chrF,76.21754841048389
trans-large,xinhua-zh-01.6565::8,7,chrF,43.653903050633474
trans-large,chinanews.com.102830::1,8,chrF,60.013740595067475
trans-large,chinanews.com.102830::2,9,chrF,59.10463912649991
trans-large,chinanews.com.102830::3,10,chrF,51.174482405198276
trans-large,chinanews.com.102830::4,11,chrF,57.773961941913356
trans-large,chinanews.com.102830::5,12,chrF,44.68391464131623
trans-large,chinanews.com.102830::6,13,chrF,60.271653125669076
trans-large,chinanews.com.102830::7,14,chrF,45.6755369423194
trans-large,chinanews.com.102830::8,15,chrF,55.7160881799925
trans-large,chinanews.com.102568::1,16,chrF,82.05490215243414
trans-large,chinanews.com.102568::2,17,chrF,75.4774009603607
trans-large,chinanews.com.102568::3,18,chrF,63.128007953255974
trans-large,chinanews.com.102568::4,19,chrF,66.3887055386273
trans-large,chinanews.com.102568::5,20,chrF,83.6784478943135
trans-large,chinanews.com.102568::6,21,chrF,43.44123871669283
trans-large,chinanews.com.102568::7,22,chrF,53.78669074395198
trans-large,chinanews.com.102568::8,23,chrF,59.736313152546806
trans-large,chinanews.com.102568::9,24,chrF,54.97973711653814
trans-large,chinanews.com.102568::10,25,chrF,75.05263799944628
trans-large,chinanews.com.102568::11,26,chrF,80.68198295163663
trans-large,international_times-zh.151::1,27,chrF,77.37322846370938
trans-large,international_times-zh.151::2,28,chrF,69.34657195959446
trans-large,international_times-zh.151::3,29,chrF,58.33279213978889
trans-large,international_times-zh.151::4,30,chrF,58.84571321213714
trans-large,international_times-zh.151::5,31,chrF,78.17884921849
trans-large,chinanews.com.102642::1,32,chrF,36.10312801111202
trans-large,chinanews.com.102642::2,33,chrF,44.70286730281114
trans-large,chinanews.com.102642::3,34,chrF,46.67529747121178
trans-large,chinanews.com.102642::4,35,chrF,81.67210812468319
trans-large,chinanews.com.102642::5,36,chrF,39.760981281962515
trans-large,chinanews.com.102642::6,37,chrF,77.86822842907034
trans-large,chinanews.com.102642::7,38,chrF,37.46118612742059
trans-large,chinanews.com.102642::8,39,chrF,53.656820265911264
trans-large,xinhua-zh-01.6446::1,40,chrF,84.69879515345062
trans-large,xinhua-zh-01.6446::2,41,chrF,51.88069555268934
trans-large,xinhua-zh-01.6446::3,42,chrF,63.357728750078735
trans-large,xinhua-zh-01.6446::4,43,chrF,69.27466395242602
trans-large,xinhua-zh-01.6446::5,44,chrF,79.17907227082051
trans-large,xinhua-zh-01.6446::6,45,chrF,43.292721510902965
trans-large,xinhua-zh-01.6446::7,46,chrF,94.32578632633859
trans-large,chinanews.com.102876::1,47,chrF,52.385125418227986
trans-large,chinanews.com.102876::2,48,chrF,36.006079732231086
trans-large,chinanews.com.102876::3,49,chrF,46.19680143273587
trans-large,chinanews.com.102876::4,50,chrF,45.36906404943013
trans-large,chinanews.com.102876::5,51,chrF,39.07257169405149
trans-large,chinanews.com.102876::6,52,chrF,58.981090867502886
trans-large,chinanews.com.102876::7,53,chrF,47.06968512957012
trans-large,chinanews.com.102876::8,54,chrF,49.24579511517144
trans-large,chinanews.com.102876::9,55,chrF,47.89626186908163
trans-large,chinanews.com.102876::10,56,chrF,52.144662712474975
trans-large,chinanews.com.102876::11,57,chrF,40.36888927200964
