SYS,seg_id,set_id,metric,score
trans-large,xinhua-zh-01.6565::1,0,wmt20-comet-da,0.5896995663642883
trans-large,xinhua-zh-01.6565::2,1,wmt20-comet-da,-0.26477479934692383
trans-large,xinhua-zh-01.6565::3,2,wmt20-comet-da,0.29151880741119385
trans-large,xinhua-zh-01.6565::4,3,wmt20-comet-da,0.38876521587371826
trans-large,xinhua-zh-01.6565::5,4,wmt20-comet-da,0.29229438304901123
trans-large,xinhua-zh-01.6565::6,5,wmt20-comet-da,0.7380465269088745
trans-large,xinhua-zh-01.6565::7,6,wmt20-comet-da,0.3146972954273224
trans-large,xinhua-zh-01.6565::8,7,wmt20-comet-da,0.09104282408952713
trans-large,chinanews.com.102830::1,8,wmt20-comet-da,0.16997763514518738
trans-large,chinanews.com.102830::2,9,wmt20-comet-da,-0.1881757229566574
trans-large,chinanews.com.102830::3,10,wmt20-comet-da,0.6009458303451538
trans-large,chinanews.com.102830::4,11,wmt20-comet-da,-0.012595605105161667
trans-large,chinanews.com.102830::5,12,wmt20-comet-da,-0.306186318397522
trans-large,chinanews.com.102830::6,13,wmt20-comet-da,0.8730536103248596
trans-large,chinanews.com.102830::7,14,wmt20-comet-da,0.1662740558385849
trans-large,chinanews.com.102830::8,15,wmt20-comet-da,0.09477704018354416
trans-large,chinanews.com.102568::1,16,wmt20-comet-da,0.5940575003623962
trans-large,chinanews.com.102568::2,17,wmt20-comet-da,0.6746784448623657
trans-large,chinanews.com.102568::3,18,wmt20-comet-da,-0.035702526569366455
trans-large,chinanews.com.102568::4,19,wmt20-comet-da,0.6627374887466431
trans-large,chinanews.com.102568::5,20,wmt20-comet-da,0.6867766380310059
trans-large,chinanews.com.102568::6,21,wmt20-comet-da,-0.467838853597641
trans-large,chinanews.com.102568::7,22,wmt20-comet-da,0.3808506429195404
trans-large,chinanews.com.102568::8,23,wmt20-comet-da,0.2854929268360138
trans-large,chinanews.com.102568::9,24,wmt20-comet-da,0.43346014618873596
trans-large,chinanews.com.102568::10,25,wmt20-comet-da,0.7591308355331421
trans-large,chinanews.com.102568::11,26,wmt20-comet-da,0.8841355443000793
trans-large,international_times-zh.151::1,27,wmt20-comet-da,0.6947893500328064
trans-large,international_times-zh.151::2,28,wmt20-comet-da,0.6983139514923096
trans-large,international_times-zh.151::3,29,wmt20-comet-da,0.8565258979797363
trans-large,international_times-zh.151::4,30,wmt20-comet-da,0.7630074620246887
trans-large,international_times-zh.151::5,31,wmt20-comet-da,0.8729027509689331
trans-large,chinanews.com.102642::1,32,wmt20-comet-da,-0.05981379747390747
trans-large,chinanews.com.102642::2,33,wmt20-comet-da,0.29655298590660095
trans-large,chinanews.com.102642::3,34,wmt20-comet-da,0.036608412861824036
trans-large,chinanews.com.102642::4,35,wmt20-comet-da,0.6643664836883545
trans-large,chinanews.com.102642::5,36,wmt20-comet-da,0.09749147295951843
trans-large,chinanews.com.102642::6,37,wmt20-comet-da,0.8533672094345093
trans-large,chinanews.com.102642::7,38,wmt20-comet-da,0.07005703449249268
trans-large,chinanews.com.102642::8,39,wmt20-comet-da,0.34907275438308716
trans-large,xinhua-zh-01.6446::1,40,wmt20-comet-da,1.124786138534546
trans-large,xinhua-zh-01.6446::2,41,wmt20-comet-da,0.3403252363204956
trans-large,xinhua-zh-01.6446::3,42,wmt20-comet-da,0.6478140950202942
trans-large,xinhua-zh-01.6446::4,43,wmt20-comet-da,0.3877038359642029
trans-large,xinhua-zh-01.6446::5,44,wmt20-comet-da,0.8780949711799622
trans-large,xinhua-zh-01.6446::6,45,wmt20-comet-da,-0.3193734288215637
trans-large,xinhua-zh-01.6446::7,46,wmt20-comet-da,1.1318210363388062
trans-large,chinanews.com.102876::1,47,wmt20-comet-da,0.7770131826400757
trans-large,chinanews.com.102876::2,48,wmt20-comet-da,0.26222801208496094
trans-large,chinanews.com.102876::3,49,wmt20-comet-da,0.35930579900741577
trans-large,chinanews.com.102876::4,50,wmt20-comet-da,0.20939333736896515
trans-large,chinanews.com.102876::5,51,wmt20-comet-da,-0.880307674407959
trans-large,chinanews.com.102876::6,52,wmt20-comet-da,-0.28443241119384766
trans-large,chinanews.com.102876::7,53,wmt20-comet-da,-0.3178330361843109
trans-large,chinanews.com.102876::8,54,wmt20-comet-da,0.3795011043548584
trans-large,chinanews.com.102876::9,55,wmt20-comet-da,0.25546908378601074
trans-large,chinanews.com.102876::10,56,wmt20-comet-da,0.11919347196817398
trans-large,chinanews.com.102876::11,57,wmt20-comet-da,0.553877592086792
trans-large,chinanews.com.102876::12,58,wmt20-comet-da,0.34762150049209595
trans-large,chinanews.com.102876::13,59,wmt20-comet-da,-0.2961955964565277
trans-large,chinanews.com.102876::14,60,wmt20-comet-da,-0.5921825766563416
trans-large,chinanews.com.102876::15,61,wmt20-comet-da,0.3359593451023102
trans-large,chinanews.com.102876::16,62,wmt20-comet-da,0.2882557809352875
trans-large,chinanews.com.102876::17,63,wmt20-comet-da,-0.6768159866333008
trans-large,chinese.macao.1081::1,64,wmt20-comet-da,0.557767927646637
trans-large,chinese.macao.1081::2,65,wmt20-comet-da,0.26353442668914795
trans-large,chinese.macao.1081::3,66,wmt20-comet-da,-0.04967872425913811
trans-large,chinese.macao.1081::4,67,wmt20-comet-da,0.7850993275642395
trans-large,chinese.macao.1081::5,68,wmt20-comet-da,-0.182601660490036
trans-large,chinese.macao.1081::6,69,wmt20-comet-da,0.859839916229248
trans-large,chinese.macao.1081::7,70,wmt20-comet-da,0.41228434443473816
trans-large,chinese.macao.1081::8,71,wmt20-comet-da,0.046078652143478394
trans-large,chinese.macao.1081::9,72,wmt20-comet-da,0.25543537735939026
trans-large,chinese.macao.1081::10,73,wmt20-comet-da,0.629023551940918
trans-large,chinese.macao.1081::11,74,wmt20-comet-da,0.8068180084228516
trans-large,chinese.macao.1081::12,75,wmt20-comet-da,0.5919365286827087
trans-large,xinhua-zh-01.6632::1,76,wmt20-comet-da,0.2759804427623749
trans-large,xinhua-zh-01.6632::2,77,wmt20-comet-da,0.549159586429596
trans-large,xinhua-zh-01.6632::3,78,wmt20-comet-da,0.37348300218582153
trans-large,xinhua-zh-01.6632::4,79,wmt20-comet-da,0.6352342963218689
trans-large,xinhua-zh-01.6632::5,80,wmt20-comet-da,0.9049611687660217
trans-large,xinhua-zh-01.6632::6,81,wmt20-comet-da,-1.1718767881393433
trans-large,xinhua-zh-01.6632::7,82,wmt20-comet-da,0.29260191321372986
trans-large,xinhua-zh-01.6632::8,83,wmt20-comet-da,-1.282891035079956
trans-large,xinhua-zh-01.6632::9,84,wmt20-comet-da,0.8427310585975647
trans-large,xinhua-zh-01.6632::10,85,wmt20-comet-da,-0.5381370782852173
trans-large,xinhua-zh-01.6632::11,86,wmt20-comet-da,0.22514212131500244
trans-large,tsrus.cn.2113::1,87,wmt20-comet-da,0.7308664917945862
trans-large,tsrus.cn.2113::2,88,wmt20-comet-da,0.9066078662872314
trans-large,tsrus.cn.2113::3,89,wmt20-comet-da,0.6303132176399231
trans-large,tsrus.cn.2113::4,90,wmt20-comet-da,0.6057475209236145
trans-large,tsrus.cn.2113::5,91,wmt20-comet-da,0.850403368473053
trans-large,tsrus.cn.2113::6,92,wmt20-comet-da,1.0121662616729736
trans-large,tsrus.cn.2113::7,93,wmt20-comet-da,0.9771812558174133
trans-large,tsrus.cn.2113::8,94,wmt20-comet-da,0.8586881756782532
trans-large,hunan_ribao-zh.186::1,95,wmt20-comet-da,-0.13145126402378082
trans-large,hunan_ribao-zh.186::2,96,wmt20-comet-da,0.5974452495574951
trans-large,hunan_ribao-zh.186::3,97,wmt20-comet-da,0.6044250726699829
trans-large,hunan_ribao-zh.186::4,98,wmt20-comet-da,-0.1191602349281311
trans-large,hunan_ribao-zh.186::5,99,wmt20-comet-da,0.7145500183105469
trans-large,hunan_ribao-zh.186::6,100,wmt20-comet-da,0.7432096600532532
trans-large,hunan_ribao-zh.186::7,101,wmt20-comet-da,0.1902080923318863
trans-large,chinanews.com.102605::1,102,wmt20-comet-da,0.13254059851169586
trans-large,chinanews.com.102605::2,103,wmt20-comet-da,-0.09456203132867813
trans-large,chinanews.com.102605::3,104,wmt20-comet-da,-0.5844470262527466
trans-large,chinanews.com.102605::4,105,wmt20-comet-da,-0.9062297940254211
trans-large,chinanews.com.102605::5,106,wmt20-comet-da,-0.7326557040214539
trans-large,chinanews.com.102605::6,107,wmt20-comet-da,-1.173895001411438
trans-large,chinanews.com.102605::7,108,wmt20-comet-da,-0.29555806517601013
trans-large,chinanews.com.102605::8,109,wmt20-comet-da,0.3295421004295349
trans-large,chinanews.com.102605::9,110,wmt20-comet-da,0.6497403383255005
trans-large,chinanews.com.102605::10,111,wmt20-comet-da,-0.3417348861694336
trans-large,chinanews.com.102605::11,112,wmt20-comet-da,-0.15823709964752197
trans-large,chinanews.com.102605::12,113,wmt20-comet-da,-0.6452596187591553
trans-large,chinanews.com.102605::13,114,wmt20-comet-da,-0.6962096095085144
trans-large,chinanews.com.102605::14,115,wmt20-comet-da,-0.5179266929626465
trans-large,chinanews.com.102605::15,116,wmt20-comet-da,-0.4690566956996918
trans-large,chinanews.com.102605::16,117,wmt20-comet-da,0.32475292682647705
trans-large,chinanews.com.102605::17,118,wmt20-comet-da,0.11175919324159622
trans-large,chinanews.com.102605::18,119,wmt20-comet-da,0.8261948823928833
trans-large,chinanews.com.102605::19,120,wmt20-comet-da,0.7789132595062256
trans-large,chinanews.com.102605::20,121,wmt20-comet-da,-1.0393315553665161
trans-large,chinanews.com.102605::21,122,wmt20-comet-da,-1.1999589204788208
trans-large,chinanews.com.102605::22,123,wmt20-comet-da,0.38287606835365295
trans-large,chinanews.com.102605::23,124,wmt20-comet-da,0.08681792765855789
trans-large,chinanews.com.102605::24,125,wmt20-comet-da,-1.007760763168335
trans-large,chinanews.com.102605::25,126,wmt20-comet-da,0.2044062614440918
trans-large,chinanews.com.102605::26,127,wmt20-comet-da,0.32695329189300537
trans-large,chinanews.com.102574::1,128,wmt20-comet-da,-1.3762538433074951
trans-large,chinanews.com.102574::2,129,wmt20-comet-da,0.8320968747138977
trans-large,chinanews.com.102574::3,130,wmt20-comet-da,0.47683143615722656
trans-large,chinanews.com.102574::4,131,wmt20-comet-da,0.26186931133270264
trans-large,chinanews.com.102574::5,132,wmt20-comet-da,0.3189857006072998
trans-large,chinanews.com.102574::6,133,wmt20-comet-da,1.0234484672546387
trans-large,chinanews.com.102574::7,134,wmt20-comet-da,0.7022063136100769
trans-large,chinanews.com.102574::8,135,wmt20-comet-da,-0.09579266607761383
trans-large,chinanews.com.102574::9,136,wmt20-comet-da,-0.13132964074611664
trans-large,chinanews.com.102574::10,137,wmt20-comet-da,0.193759486079216
trans-large,chinanews.com.102574::11,138,wmt20-comet-da,0.655504584312439
trans-large,chinanews.com.102574::12,139,wmt20-comet-da,0.6657023429870605
trans-large,chinanews.com.102574::13,140,wmt20-comet-da,-0.19084154069423676
trans-large,chinanews.com.102574::14,141,wmt20-comet-da,-0.848060667514801
trans-large,chinanews.com.102574::15,142,wmt20-comet-da,0.7053521275520325
trans-large,chinanews.com.102574::16,143,wmt20-comet-da,0.5731397867202759
trans-large,chinanews.com.102574::17,144,wmt20-comet-da,0.7275908589363098
trans-large,chinanews.com.102574::18,145,wmt20-comet-da,0.5754023790359497
trans-large,nikkei-.108::1,146,wmt20-comet-da,0.8128992915153503
trans-large,nikkei-.108::2,147,wmt20-comet-da,0.563954770565033
trans-large,nikkei-.108::3,148,wmt20-comet-da,0.3636021912097931
trans-large,nikkei-.108::4,149,wmt20-comet-da,1.189644455909729
trans-large,nikkei-.108::5,150,wmt20-comet-da,0.7447001934051514
trans-large,nikkei-.108::6,151,wmt20-comet-da,0.5509611368179321
trans-large,nikkei-.108::7,152,wmt20-comet-da,0.5513612031936646
trans-large,nikkei-.108::8,153,wmt20-comet-da,0.6115979552268982
trans-large,nikkei-.108::9,154,wmt20-comet-da,0.658132016658783
trans-large,nikkei-.108::10,155,wmt20-comet-da,-0.1462153047323227
trans-large,nikkei-.108::11,156,wmt20-comet-da,0.5265963673591614
trans-large,nikkei-.108::12,157,wmt20-comet-da,0.4962539076805115
trans-large,nikkei-.108::13,158,wmt20-comet-da,0.8477777242660522
trans-large,chinanews.com.102535::1,159,wmt20-comet-da,-0.20177267491817474
trans-large,chinanews.com.102535::2,160,wmt20-comet-da,0.7453758120536804
trans-large,chinanews.com.102535::3,161,wmt20-comet-da,0.6583235263824463
trans-large,chinanews.com.102535::4,162,wmt20-comet-da,0.7973735928535461
trans-large,chinanews.com.102535::5,163,wmt20-comet-da,0.1583806425333023
trans-large,chinanews.com.102535::6,164,wmt20-comet-da,0.7640846371650696
trans-large,chinanews.com.102535::7,165,wmt20-comet-da,1.0639324188232422
trans-large,chinanews.com.102535::8,166,wmt20-comet-da,0.8254382610321045
trans-large,chinanews.com.102535::9,167,wmt20-comet-da,0.44173479080200195
trans-large,chinanews.com.102535::10,168,wmt20-comet-da,0.9144058227539062
trans-large,chinanews.com.102535::11,169,wmt20-comet-da,0.9937966465950012
trans-large,chinanews.com.102535::12,170,wmt20-comet-da,0.4396696388721466
trans-large,chinanews.com.102535::13,171,wmt20-comet-da,0.8587286472320557
trans-large,chinanews.com.102535::14,172,wmt20-comet-da,0.2516588568687439
trans-large,chinanews.com.102535::15,173,wmt20-comet-da,0.8568177819252014
trans-large,chinanews.com.102535::16,174,wmt20-comet-da,0.6975873112678528
trans-large,chinanews.com.102535::17,175,wmt20-comet-da,0.6589643359184265
trans-large,chinanews.com.102535::18,176,wmt20-comet-da,0.915128767490387
trans-large,chinanews.com.102535::19,177,wmt20-comet-da,0.6882580518722534
trans-large,chinanews.com.102535::20,178,wmt20-comet-da,-0.3163503408432007
trans-large,chinanews.com.102535::21,179,wmt20-comet-da,0.8810614347457886
trans-large,chinanews.com.102535::22,180,wmt20-comet-da,0.9499966502189636
trans-large,chinanews.com.102535::23,181,wmt20-comet-da,0.7047753930091858
trans-large,chinanews.com.102535::24,182,wmt20-comet-da,0.7809598445892334
trans-large,chinanews.com.102535::25,183,wmt20-comet-da,-0.06532587856054306
trans-large,chinanews.com.102805::1,184,wmt20-comet-da,0.2723415791988373
trans-large,chinanews.com.102805::2,185,wmt20-comet-da,0.5218384265899658
trans-large,chinanews.com.102805::3,186,wmt20-comet-da,-0.4041997790336609
trans-large,chinanews.com.102860::1,187,wmt20-comet-da,-0.32754290103912354
trans-large,chinanews.com.102860::2,188,wmt20-comet-da,0.4234749972820282
trans-large,chinanews.com.102860::3,189,wmt20-comet-da,0.46884405612945557
trans-large,chinanews.com.102860::4,190,wmt20-comet-da,0.6710782051086426
trans-large,chinanews.com.102860::5,191,wmt20-comet-da,0.6760961413383484
trans-large,chinanews.com.102860::6,192,wmt20-comet-da,0.48880070447921753
trans-large,chinanews.com.102860::7,193,wmt20-comet-da,0.6217256188392639
trans-large,chinanews.com.102860::8,194,wmt20-comet-da,0.9725317358970642
trans-large,chinanews.com.102860::9,195,wmt20-comet-da,0.8238685727119446
trans-large,chinanews.com.102860::10,196,wmt20-comet-da,0.22738724946975708
trans-large,chinanews.com.102860::11,197,wmt20-comet-da,0.6675983667373657
trans-large,chinanews.com.102860::12,198,wmt20-comet-da,0.6381403207778931
trans-large,chinanews.com.102645::1,199,wmt20-comet-da,0.16469474136829376
trans-large,chinanews.com.102645::2,200,wmt20-comet-da,0.4202880561351776
trans-large,chinanews.com.102645::3,201,wmt20-comet-da,0.7018061876296997
trans-large,chinanews.com.102645::4,202,wmt20-comet-da,0.6681527495384216
trans-large,chinanews.com.102645::5,203,wmt20-comet-da,0.7046716809272766
trans-large,chinanews.com.102645::6,204,wmt20-comet-da,0.7217869162559509
trans-large,chinanews.com.102645::7,205,wmt20-comet-da,0.7726276516914368
